'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ALBION PARK (SHELLHARBOUR AIRPORT) New South Wales for September 2024,,,,,,,,,,
Issued at 22:35 GMT on Tuesday 01 October 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ALBION PARK (SHELLHARBOUR AIRPORT),01/09/2024,5.4,0.0, ,26.3,5.0,96,18,5.04,17.35
ALBION PARK (SHELLHARBOUR AIRPORT),02/09/2024,6.8,0.0, ,23.2,6.9,87,18,11.54,17.42
ALBION PARK (SHELLHARBOUR AIRPORT),03/09/2024,3.8,0.0, ,18.8,9.3,94,28,5.15,17.67
ALBION PARK (SHELLHARBOUR AIRPORT),04/09/2024,3.3,0.0, ,22.8,3.2,99,29,2.48,17.37
ALBION PARK (SHELLHARBOUR AIRPORT),05/09/2024,3.4,0.0, ,26.7,5.7,99,29,2.44,11.70
ALBION PARK (SHELLHARBOUR AIRPORT),06/09/2024,5.5,0.0, ,30.6,9.8,86,20,3.72,18.08
ALBION PARK (SHELLHARBOUR AIRPORT),07/09/2024,2.4,0.0, ,22.0,18.0,100,40,2.70,7.26
ALBION PARK (SHELLHARBOUR AIRPORT),08/09/2024,3.5,0.8, ,22.4,11.9,100,27,3.29,13.64
ALBION PARK (SHELLHARBOUR AIRPORT),09/09/2024,5.4,0.0, ,24.0,7.3,92,31,7.67,18.64
ALBION PARK (SHELLHARBOUR AIRPORT),10/09/2024,2.9,0.0, ,21.1,9.9,99,45,2.43,16.23
ALBION PARK (SHELLHARBOUR AIRPORT),11/09/2024,2.9,0.0, ,22.5,7.4,100,45,1.92,17.27
ALBION PARK (SHELLHARBOUR AIRPORT),12/09/2024,2.4,0.0, ,19.9,11.2,95,60,3.94,9.84
ALBION PARK (SHELLHARBOUR AIRPORT),13/09/2024,3.2,0.4, ,19.4,9.8,97,41,3.41,18.17
ALBION PARK (SHELLHARBOUR AIRPORT),14/09/2024,4.7,0.0, ,23.5,4.7,99,17,3.98,19.51
ALBION PARK (SHELLHARBOUR AIRPORT),15/09/2024,4.5,0.0, ,16.9,9.2,59,35,6.93,18.11
ALBION PARK (SHELLHARBOUR AIRPORT),16/09/2024,3.7,0.0, ,20.2,2.3,89,22,2.78,19.85
ALBION PARK (SHELLHARBOUR AIRPORT),17/09/2024,3.4,0.0, ,19.6,6.6,91,39,2.93,20.05
ALBION PARK (SHELLHARBOUR AIRPORT),18/09/2024,6.6,0.0, ,25.0,8.4,76,14,6.77,20.23
ALBION PARK (SHELLHARBOUR AIRPORT),19/09/2024,6.6,0.0, ,26.1,3.6,92,15,6.44,20.37
ALBION PARK (SHELLHARBOUR AIRPORT),20/09/2024,6.6,0.0, ,23.5,12.2,54,20,6.86,20.62
ALBION PARK (SHELLHARBOUR AIRPORT),21/09/2024,6.2,0.0, ,23.2,12.0,57,24,6.66,20.78
ALBION PARK (SHELLHARBOUR AIRPORT),22/09/2024,5.5,0.0, ,25.4,12.6,62,27,5.17,15.20
ALBION PARK (SHELLHARBOUR AIRPORT),23/09/2024,6.1,0.0, ,28.0,9.7,81,23,4.90,21.17
ALBION PARK (SHELLHARBOUR AIRPORT),24/09/2024,3.0,0.0, ,22.4,11.4,97,59,2.23,17.32
ALBION PARK (SHELLHARBOUR AIRPORT),25/09/2024,3.7,0.0, ,26.3,13.3,99,33,3.23,11.80
ALBION PARK (SHELLHARBOUR AIRPORT),26/09/2024,1.4,12.0, ,15.0,10.1,99,68,4.11,4.20
ALBION PARK (SHELLHARBOUR AIRPORT),27/09/2024,3.0,17.8, ,17.5,9.4,96,52,3.56,17.73
ALBION PARK (SHELLHARBOUR AIRPORT),28/09/2024,2.6,6.2, ,19.3,10.9,99,57,2.81,14.04
ALBION PARK (SHELLHARBOUR AIRPORT),29/09/2024,2.5,1.2, ,20.5,9.0,100,66,2.52,14.81
ALBION PARK (SHELLHARBOUR AIRPORT),30/09/2024,2.6,7.4, ,19.0,14.4,100,66,2.97,15.08
Totals:,,123.6,45.8, ,,,,,, 
