'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ALBION PARK (SHELLHARBOUR AIRPORT) New South Wales for October 2024,,,,,,,,,,
Issued at 22:35 GMT on Friday 01 November 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ALBION PARK (SHELLHARBOUR AIRPORT),01/10/2024,3.2,0.2, ,20.6,7.0,100,59,1.85,22.66
ALBION PARK (SHELLHARBOUR AIRPORT),02/10/2024,2.7,7.8, ,19.0,13.9,99,53,2.64,14.07
ALBION PARK (SHELLHARBOUR AIRPORT),03/10/2024,2.9,0.4, ,20.0,9.8,100,58,2.96,16.32
ALBION PARK (SHELLHARBOUR AIRPORT),04/10/2024,3.3,0.0, ,23.6,7.7,99,61,2.51,19.63
ALBION PARK (SHELLHARBOUR AIRPORT),05/10/2024,5.4,1.0, ,26.4,13.0,99,28,5.02,19.92
ALBION PARK (SHELLHARBOUR AIRPORT),06/10/2024,5.4,0.0, ,25.4,8.0,99,34,5.64,23.10
ALBION PARK (SHELLHARBOUR AIRPORT),07/10/2024,5.8,0.0, ,28.6,9.3,94,27,4.78,19.29
ALBION PARK (SHELLHARBOUR AIRPORT),08/10/2024,2.1,0.2, ,15.1,12.3,93,52,3.26,7.44
ALBION PARK (SHELLHARBOUR AIRPORT),09/10/2024,3.1,0.0, ,18.6,12.0,93,44,3.08,15.07
ALBION PARK (SHELLHARBOUR AIRPORT),10/10/2024,4.6,0.0, ,24.3,10.1,99,43,3.52,24.38
ALBION PARK (SHELLHARBOUR AIRPORT),11/10/2024,3.3,0.0, ,22.0,11.2,99,62,2.87,19.73
ALBION PARK (SHELLHARBOUR AIRPORT),12/10/2024,3.2,0.0, ,19.0,14.3,94,47,3.90,14.33
ALBION PARK (SHELLHARBOUR AIRPORT),13/10/2024,3.8,0.0, ,20.9,6.8,97,51,3.90,21.74
ALBION PARK (SHELLHARBOUR AIRPORT),14/10/2024,2.6,0.0, ,23.0,9.7,99,53,2.91,8.56
ALBION PARK (SHELLHARBOUR AIRPORT),15/10/2024,2.5,6.8, ,17.6,14.5,93,53,3.09,9.89
ALBION PARK (SHELLHARBOUR AIRPORT),16/10/2024,3.8,0.0, ,20.2,7.1,99,42,2.56,23.93
ALBION PARK (SHELLHARBOUR AIRPORT),17/10/2024, ,0.0, , ,7.0,99,59,2.57,25.60
ALBION PARK (SHELLHARBOUR AIRPORT),18/10/2024, , , ,22.7, ,99,72,2.99,15.63
ALBION PARK (SHELLHARBOUR AIRPORT),19/10/2024,3.4,4.0, ,24.6,15.5,100,53,3.83,13.90
ALBION PARK (SHELLHARBOUR AIRPORT),20/10/2024,4.4,0.4, ,22.0,15.0,96,50,3.39,25.34
ALBION PARK (SHELLHARBOUR AIRPORT),21/10/2024,4.3,0.0, ,21.7,15.8,80,53,5.72,17.86
ALBION PARK (SHELLHARBOUR AIRPORT),22/10/2024,3.9,0.0, ,21.1,7.0,99,52,2.66,25.12
ALBION PARK (SHELLHARBOUR AIRPORT),23/10/2024, ,0.0, , ,9.3,100,48,1.48,17.28
ALBION PARK (SHELLHARBOUR AIRPORT),24/10/2024, , , ,21.1, ,100,60,2.93,12.71
ALBION PARK (SHELLHARBOUR AIRPORT),25/10/2024,3.9,0.4, ,20.6,8.8,100,41,2.85,22.51
ALBION PARK (SHELLHARBOUR AIRPORT),26/10/2024,4.7,0.0, ,19.6,10.9,93,31,3.53,27.16
ALBION PARK (SHELLHARBOUR AIRPORT),27/10/2024,4.8,0.0, ,25.1,7.5,96,36,3.08,24.28
ALBION PARK (SHELLHARBOUR AIRPORT),28/10/2024,3.9,0.0, ,26.0,8.9,99,31,2.57,14.09
ALBION PARK (SHELLHARBOUR AIRPORT),29/10/2024, ,0.0, , ,11.6,99,63,2.52,26.01
ALBION PARK (SHELLHARBOUR AIRPORT),30/10/2024,4.8, , ,24.2,14.3,97,57,3.33,27.59
ALBION PARK (SHELLHARBOUR AIRPORT),31/10/2024,4.0,0.0, ,25.0,10.8,100,55,2.30,21.58
Totals:,,99.8,21.2, ,,,,,, 
