'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ALBION PARK (SHELLHARBOUR AIRPORT) New South Wales for July 2025,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 August 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ALBION PARK (SHELLHARBOUR AIRPORT),01/07/2025,1.0,23.2, ,16.0,11.5,96,85,8.01,3.26
ALBION PARK (SHELLHARBOUR AIRPORT),02/07/2025,1.5,100.6, ,15.8,11.7,98,72,8.69,5.91
ALBION PARK (SHELLHARBOUR AIRPORT),03/07/2025,2.9,15.0, ,17.9,12.8,89,47,7.93,10.61
ALBION PARK (SHELLHARBOUR AIRPORT),04/07/2025,1.8,0.0, ,18.2,10.2,99,51,3.64,10.82
ALBION PARK (SHELLHARBOUR AIRPORT),05/07/2025,0.9,0.0, ,18.5,3.3,100,60,0.91,8.61
ALBION PARK (SHELLHARBOUR AIRPORT),06/07/2025,1.8,0.0, ,22.7,8.9,99,47,2.23,10.29
ALBION PARK (SHELLHARBOUR AIRPORT),07/07/2025,1.8,1.6, ,16.6,8.0,99,57,5.28,6.78
ALBION PARK (SHELLHARBOUR AIRPORT),08/07/2025,1.3,0.0, ,16.2,7.8,99,55,2.57,6.49
ALBION PARK (SHELLHARBOUR AIRPORT),09/07/2025,1.3,0.0, ,18.0,2.1,99,48,1.69,10.96
ALBION PARK (SHELLHARBOUR AIRPORT),10/07/2025,2.9,0.0, ,15.5,4.6,99,39,9.73,10.86
ALBION PARK (SHELLHARBOUR AIRPORT),11/07/2025,3.8,0.0, ,17.7,10.7,61,44,8.56,11.21
ALBION PARK (SHELLHARBOUR AIRPORT),12/07/2025,2.2,0.0, ,19.0,11.9,97,38,3.39,11.30
ALBION PARK (SHELLHARBOUR AIRPORT),13/07/2025,2.4,0.0, ,19.3,3.1,99,30,3.41,10.44
ALBION PARK (SHELLHARBOUR AIRPORT),14/07/2025,2.6,0.0, ,18.9,8.7,92,30,3.89,11.41
ALBION PARK (SHELLHARBOUR AIRPORT),15/07/2025, ,0.0, ,15.8,2.1,94,43,5.59, 
ALBION PARK (SHELLHARBOUR AIRPORT),16/07/2025,2.6,0.0, ,18.5,8.9,96,34,4.67,11.54
ALBION PARK (SHELLHARBOUR AIRPORT),17/07/2025,1.6,0.0, ,18.5,1.4,99,34,1.70,11.36
ALBION PARK (SHELLHARBOUR AIRPORT),18/07/2025,1.5,0.0, ,16.0,5.2,97,55,3.20,7.97
ALBION PARK (SHELLHARBOUR AIRPORT),19/07/2025,1.9,0.0, ,18.7,1.8,99,35,2.20,11.74
ALBION PARK (SHELLHARBOUR AIRPORT),20/07/2025,2.0,0.0, ,18.5,3.2,99,46,3.36,10.08
ALBION PARK (SHELLHARBOUR AIRPORT),21/07/2025,1.3,1.8, ,18.8,9.0,100,67,1.73,10.71
ALBION PARK (SHELLHARBOUR AIRPORT),22/07/2025,1.6,0.0, ,19.2,8.6,100,59,2.81,10.12
ALBION PARK (SHELLHARBOUR AIRPORT),23/07/2025,2.9,0.4, ,18.3,10.2,99,33,5.53,11.85
ALBION PARK (SHELLHARBOUR AIRPORT),24/07/2025,3.4,0.0, ,18.1,8.6,77,29,5.57,12.21
ALBION PARK (SHELLHARBOUR AIRPORT),25/07/2025,1.7,0.0, ,17.5,1.8,99,43,2.08,11.05
ALBION PARK (SHELLHARBOUR AIRPORT),26/07/2025,1.4,0.4, ,17.5,10.6,99,64,3.12,7.27
ALBION PARK (SHELLHARBOUR AIRPORT),27/07/2025,2.3,0.0, ,19.4,4.8,100,44,3.95,10.56
ALBION PARK (SHELLHARBOUR AIRPORT),28/07/2025, ,0.0, , ,11.4,64,41,7.26,12.09
ALBION PARK (SHELLHARBOUR AIRPORT),29/07/2025,2.9, , ,18.1,11.5,89,40,5.67,9.91
ALBION PARK (SHELLHARBOUR AIRPORT),30/07/2025,1.1,2.2, ,11.9,6.4,99,70,3.33,5.14
ALBION PARK (SHELLHARBOUR AIRPORT),31/07/2025,1.6,30.6, ,14.1,10.0,93,68,5.28,9.69
Totals:,,58,175.8, ,,,,,, 
