'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ALBURY AIRPORT New South Wales for December 2024,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 January 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ALBURY AIRPORT,01/12/2024,6.2,6.4, ,28.9,17.4,96,30,3.87,24.67
ALBURY AIRPORT,02/12/2024,6.5,0.2, ,33.1,13.3,87,24,1.76,30.66
ALBURY AIRPORT,03/12/2024,5.4,10.6, ,31.5,19.7,94,47,4.78,17.64
ALBURY AIRPORT,04/12/2024,6.9,5.6, ,32.3,18.0,91,22,2.10,31.61
ALBURY AIRPORT,05/12/2024,5.9,0.0, ,34.1,18.9,74,42,1.89,24.84
ALBURY AIRPORT,06/12/2024,5.7,0.0, ,34.1,21.5,90,49,3.64,19.88
ALBURY AIRPORT,07/12/2024,6.8,15.4, ,33.3,22.1,93,42,3.27,27.51
ALBURY AIRPORT,08/12/2024,7.1,0.2, ,26.2,16.8,81,29,4.52,31.90
ALBURY AIRPORT,09/12/2024,4.1,0.0, ,25.1,12.5,81,30,1.79,17.49
ALBURY AIRPORT,10/12/2024,6.6,0.0, ,28.7,11.5,83,21,2.61,31.43
ALBURY AIRPORT,11/12/2024,6.7,0.0, ,27.9,11.9,86,22,2.99,31.93
ALBURY AIRPORT,12/12/2024,7.0,0.0, ,31.1,13.6,74,24,2.36,31.96
ALBURY AIRPORT,13/12/2024,7.4,0.0, ,32.8,14.1,82,26,2.86,31.82
ALBURY AIRPORT,14/12/2024,6.4,0.0, ,33.1,14.2,72,21,1.89,27.69
ALBURY AIRPORT,15/12/2024,7.0,0.0, ,35.3,16.1,73,23,1.62,32.03
ALBURY AIRPORT,16/12/2024,9.7,0.0, ,39.7,18.2,73,23,4.06,31.14
ALBURY AIRPORT,17/12/2024,8.7,0.0, ,30.2,26.1,55,15,5.58,22.35
ALBURY AIRPORT,18/12/2024,7.9,0.0, ,28.1,13.0,61,25,4.89,32.08
ALBURY AIRPORT,19/12/2024,6.4,0.0, ,29.4,12.7,69,24,1.86,32.08
ALBURY AIRPORT,20/12/2024,6.7,0.0, ,32.6,13.6,84,25,1.82,31.89
ALBURY AIRPORT,21/12/2024,8.0,0.0, ,33.4,16.8,75,14,3.04,31.68
ALBURY AIRPORT,22/12/2024,7.7,0.0, ,29.8,13.4,71,13,3.49,31.39
ALBURY AIRPORT,23/12/2024,6.9,0.0, ,22.9,11.2,66,26,7.17,26.22
ALBURY AIRPORT,24/12/2024,6.9,0.0, ,28.3,10.6,67,31,3.46,31.98
ALBURY AIRPORT,25/12/2024,6.8,0.0, ,34.1,14.7,78,20,1.57,31.99
ALBURY AIRPORT,26/12/2024,10.3,0.0, ,38.0,15.0,80,13,4.86,31.63
ALBURY AIRPORT,27/12/2024,8.7,0.0, ,27.2,18.1,51,20,6.02,30.59
ALBURY AIRPORT,28/12/2024,6.7,0.0, ,27.3,11.6,82,24,3.58,30.26
ALBURY AIRPORT,29/12/2024,6.9,0.0, ,29.8,13.9,83,23,2.71,31.84
ALBURY AIRPORT,30/12/2024,7.2,0.0, ,33.1,13.0,76,19,2.30,31.29
ALBURY AIRPORT,31/12/2024,8.3,0.0, ,33.9,17.3,65,12,3.14,31.61
Totals:,,219.5,38.4, ,,,,,, 
