'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ALBURY AIRPORT New South Wales for March 2025,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 April 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ALBURY AIRPORT,01/03/2025,6.2,0.0, ,35.9,15.8,80,16,2.25,24.18
ALBURY AIRPORT,02/03/2025,6.0,0.0, ,32.7,13.6,70,16,2.78,20.48
ALBURY AIRPORT,03/03/2025,6.1,0.0, ,32.7,15.5,73,24,2.77,23.74
ALBURY AIRPORT,04/03/2025,5.6,0.0, ,33.7,16.0,76,27,2.19,23.12
ALBURY AIRPORT,05/03/2025,5.5,0.0, ,34.2,15.5,71,24,1.96,23.30
ALBURY AIRPORT,06/03/2025,6.2,0.0, ,35.2,16.1,70,16,2.43,23.03
ALBURY AIRPORT,07/03/2025,5.0,0.0, ,32.2,15.4,70,22,1.60,22.86
ALBURY AIRPORT,08/03/2025,5.3,0.0, ,33.0,15.6,87,23,2.11,22.59
ALBURY AIRPORT,09/03/2025,5.6,0.0, ,33.5,16.2,84,29,2.80,21.24
ALBURY AIRPORT,10/03/2025,3.1,4.4, ,28.2,21.4,95,59,1.84,13.02
ALBURY AIRPORT,11/03/2025,5.3,7.0, ,33.7,18.3,94,29,2.28,21.74
ALBURY AIRPORT,12/03/2025,4.8,0.0, ,32.9,18.5,88,33,1.61,21.98
ALBURY AIRPORT,13/03/2025,5.3,0.0, ,36.0,18.1,82,24,1.99,20.47
ALBURY AIRPORT,14/03/2025,5.8,0.0, ,36.8,19.2,74,15,2.23,21.00
ALBURY AIRPORT,15/03/2025,4.5,0.0, ,37.6,14.7,66,14,1.33,17.33
ALBURY AIRPORT,16/03/2025,5.0,0.0, ,31.2,19.0,86,29,5.03,6.08
ALBURY AIRPORT,17/03/2025,4.5,3.8, ,22.4,9.3,69,30,3.46,20.81
ALBURY AIRPORT,18/03/2025,4.1,0.0, ,27.2,8.7,77,24,1.91,20.01
ALBURY AIRPORT,19/03/2025,5.9,0.0, ,34.3,13.3,70,27,3.25,19.21
ALBURY AIRPORT,20/03/2025,2.2,0.0, ,25.2,17.6,96,50,2.52,4.66
ALBURY AIRPORT,21/03/2025,3.9,38.4, ,28.0,19.8,97,43,2.78,16.72
ALBURY AIRPORT,22/03/2025,3.6,0.0, ,27.5,12.8,93,40,1.49,19.80
ALBURY AIRPORT,23/03/2025,3.8,0.0, ,29.7,14.4,90,42,1.52,19.51
ALBURY AIRPORT,24/03/2025,3.5,0.0, ,30.9,15.7,91,39,1.02,18.54
ALBURY AIRPORT,25/03/2025,3.9,0.0, ,31.5,17.3,84,38,1.41,18.60
ALBURY AIRPORT,26/03/2025,3.7,0.0, ,32.1,17.1,89,33,0.97,19.25
ALBURY AIRPORT,27/03/2025,4.0,0.0, ,31.2,17.0,88,33,1.55,19.11
ALBURY AIRPORT,28/03/2025,2.4,0.0, ,26.9,16.3,89,45,1.08,10.19
ALBURY AIRPORT,29/03/2025,3.1,0.2, ,27.2,18.5,87,42,2.69,9.34
ALBURY AIRPORT,30/03/2025,4.8,0.0, ,25.6,17.1,74,44,6.10,13.54
ALBURY AIRPORT,31/03/2025,5.3,0.8, ,24.5,17.9,59,39,5.58,18.29
Totals:,,144,54.6, ,,,,,, 
