'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ALBURY AIRPORT New South Wales for April 2025,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 May 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ALBURY AIRPORT,01/04/2025,5.1,0.0, ,24.8,15.5,62,32,4.79,18.16
ALBURY AIRPORT,02/04/2025,3.5,0.0, ,25.0,10.0,73,30,1.95,17.37
ALBURY AIRPORT,03/04/2025,3.6,0.0, ,27.2,8.3,83,26,2.06,15.84
ALBURY AIRPORT,04/04/2025,3.5,0.0, ,24.5,9.4,83,35,2.42,17.06
ALBURY AIRPORT,05/04/2025,3.8,0.0, ,21.7,8.6,77,30,3.45,17.17
ALBURY AIRPORT,06/04/2025,3.0,0.0, ,22.3,4.3,84,33,2.35,13.97
ALBURY AIRPORT,07/04/2025,3.4,0.0, ,21.2,8.1,86,35,3.21,16.63
ALBURY AIRPORT,08/04/2025,2.7,0.0, ,24.8,6.5,91,36,1.26,16.80
ALBURY AIRPORT,09/04/2025,3.3,0.0, ,26.7,7.2,90,25,1.75,16.63
ALBURY AIRPORT,10/04/2025, ,0.0, , ,12.5,75,26,0.97,13.96
ALBURY AIRPORT,11/04/2025, , , ,28.7, ,82,28,0.86,15.81
ALBURY AIRPORT,12/04/2025,2.7,0.0, ,30.3,10.6,85,25,0.87,16.05
ALBURY AIRPORT,13/04/2025,2.5,0.0, ,29.2,10.7,84,30,0.73,15.23
ALBURY AIRPORT,14/04/2025,3.2,0.0, ,30.1,11.2,87,28,1.65,14.56
ALBURY AIRPORT,15/04/2025,2.9,0.0, ,27.7,12.0,87,35,1.60,14.60
ALBURY AIRPORT,16/04/2025,2.7,0.0, ,26.3,9.9,91,34,1.49,15.12
ALBURY AIRPORT,17/04/2025,2.3,0.0, ,27.3,8.7,91,34,0.81,15.27
ALBURY AIRPORT,18/04/2025,2.4,0.0, ,28.0,10.1,92,33,0.91,15.08
ALBURY AIRPORT,19/04/2025,3.1,0.0, ,29.6,10.7,88,20,1.61,13.91
ALBURY AIRPORT,20/04/2025,3.4,0.0, ,28.8,11.4,95,25,2.48,10.02
ALBURY AIRPORT,21/04/2025,1.9,6.0, ,21.8,12.4,97,49,1.03,12.87
ALBURY AIRPORT,22/04/2025,3.1,0.0, ,24.7,9.2,95,42,3.13,14.41
ALBURY AIRPORT,23/04/2025,3.3,0.0, ,26.9,15.8,78,40,2.83,12.69
ALBURY AIRPORT,24/04/2025,2.2,0.0, ,26.5,14.8,86,36,1.17,11.65
ALBURY AIRPORT,25/04/2025,2.4,0.0, ,27.6,11.1,89,37,1.23,13.52
ALBURY AIRPORT,26/04/2025,2.2,0.0, ,26.6,13.3,90,42,1.26,12.16
ALBURY AIRPORT,27/04/2025,2.3,0.0, ,26.4,11.6,94,39,1.25,13.53
ALBURY AIRPORT,28/04/2025,2.5,0.0, ,25.2,11.4,89,43,2.19,11.92
ALBURY AIRPORT,29/04/2025,2.3,0.0, ,23.5,8.4,95,42,1.85,12.53
ALBURY AIRPORT,30/04/2025,3.3,0.8, ,21.3,12.9,78,32,3.91,11.85
Totals:,,82.6,6.8, ,,,,,, 
