'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ALBURY AIRPORT New South Wales for May 2025,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 June 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ALBURY AIRPORT,01/05/2025,2.5,0.0, ,20.0,6.5,78,30,2.26,13.27
ALBURY AIRPORT,02/05/2025,1.8,0.0, ,21.0,4.0,84,31,1.10,13.12
ALBURY AIRPORT,03/05/2025,1.7,0.0, ,21.9,3.1,90,34,0.96,12.96
ALBURY AIRPORT,04/05/2025,1.6,0.0, ,21.9,3.2,90,39,0.93,12.55
ALBURY AIRPORT,05/05/2025,1.6,0.0, ,23.0,4.8,94,44,1.10,10.18
ALBURY AIRPORT,06/05/2025,3.1,0.0, ,26.7,6.7,95,28,2.59,12.09
ALBURY AIRPORT,07/05/2025,2.7,0.0, ,23.4,9.1,83,47,3.50,10.08
ALBURY AIRPORT,08/05/2025,2.1,0.0, ,18.7,5.0,80,32,2.15,12.07
ALBURY AIRPORT,09/05/2025,1.5,0.0, ,20.8,3.7,85,30,0.89,12.23
ALBURY AIRPORT,10/05/2025,1.5,0.0, ,21.9,2.5,90,38,0.81,12.20
ALBURY AIRPORT,11/05/2025,1.5,0.0, ,23.5,4.5,91,41,0.79,11.88
ALBURY AIRPORT,12/05/2025,1.4,0.0, ,24.2,5.4,94,35,0.69,11.97
ALBURY AIRPORT,13/05/2025,1.4,0.0, ,23.3,6.0,93,47,0.81,10.50
ALBURY AIRPORT,14/05/2025,1.7,0.0, ,23.2,7.0,94,30,1.12,11.75
ALBURY AIRPORT,15/05/2025,1.4,0.0, ,22.1,3.3,92,37,0.81,11.64
ALBURY AIRPORT,16/05/2025,1.3,0.0, ,21.4,4.4,92,42,0.76,10.70
ALBURY AIRPORT,17/05/2025,1.3,0.0, ,18.8,1.8,96,40,1.10,11.05
ALBURY AIRPORT,18/05/2025,3.1,0.0, ,16.4,7.9,56,38,5.08,11.37
ALBURY AIRPORT,19/05/2025,1.9,0.0, ,17.8,2.4,76,32,2.05,11.29
ALBURY AIRPORT,20/05/2025,1.3,0.0, ,17.9,0.6,85,30,0.99,11.22
ALBURY AIRPORT,21/05/2025,1.3,0.0, ,19.7,1.9,86,37,0.94,9.57
ALBURY AIRPORT,22/05/2025,1.2,0.0, ,19.0,8.1,94,49,1.06,6.68
ALBURY AIRPORT,23/05/2025,1.2,20.0, ,17.6,11.2,96,70,2.85,5.31
ALBURY AIRPORT,24/05/2025,2.2,8.2, ,19.0,12.9,92,42,3.64,9.19
ALBURY AIRPORT,25/05/2025,1.4,0.2, ,18.9,3.8,94,40,1.54,7.28
ALBURY AIRPORT,26/05/2025,2.6,0.0, ,17.3,7.1,89,41,5.58,3.79
ALBURY AIRPORT,27/05/2025,1.4,2.8, ,11.0,7.1,89,55,3.43,6.86
ALBURY AIRPORT,28/05/2025,1.8,2.0, ,17.6,7.5,91,49,3.37,10.51
ALBURY AIRPORT,29/05/2025,1.0,0.0, ,17.9,2.5,96,47,0.78,10.58
ALBURY AIRPORT,30/05/2025,1.0,0.0, ,18.7,1.4,97,37,0.75,10.40
ALBURY AIRPORT,31/05/2025,0.8,0.0, ,17.4,0.3,96,47,0.49,10.46
Totals:,,52.3,33.2, ,,,,,, 
