'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ALBURY AIRPORT New South Wales for June 2025,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 July 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ALBURY AIRPORT,01/06/2025,0.9,0.0, ,17.4,0.2,95,49,0.75,10.41
ALBURY AIRPORT,02/06/2025,0.7,0.0, ,14.2,1.5,96,59,0.59,8.92
ALBURY AIRPORT,03/06/2025,1.2,0.2, ,16.5,1.8,96,54,1.97,8.60
ALBURY AIRPORT,04/06/2025,1.3,0.0, ,14.6,-0.7,88,38,1.73,10.27
ALBURY AIRPORT,05/06/2025,0.9,0.0, ,14.8,-1.5,91,37,0.85,10.20
ALBURY AIRPORT,06/06/2025,1.4,0.0, ,15.3,2.5,89,41,2.11,6.93
ALBURY AIRPORT,07/06/2025,1.1,7.4, ,11.1,5.3,94,68,4.02,5.99
ALBURY AIRPORT,08/06/2025,0.6,18.0, ,8.3,6.7,97,84,3.55,5.69
ALBURY AIRPORT,09/06/2025,0.6,3.0, ,10.1,3.2,97,85,1.57,3.78
ALBURY AIRPORT,10/06/2025,0.5,0.2, ,7.9,2.0,98,88,1.14,4.94
ALBURY AIRPORT,11/06/2025,0.7,0.0, ,12.1,5.5,96,66,1.12,7.51
ALBURY AIRPORT,12/06/2025,0.7,0.0, ,13.5,2.2,97,54,0.75,8.76
ALBURY AIRPORT,13/06/2025,0.8,0.2, ,14.6,0.6,98,48,0.78,9.90
ALBURY AIRPORT,14/06/2025,0.7,0.2, ,13.6,-0.9,98,58,0.70,9.89
ALBURY AIRPORT,15/06/2025,0.5,5.6, ,8.7,3.2,97,90,0.94,3.06
ALBURY AIRPORT,16/06/2025,0.8,3.0, ,12.4,5.1,97,66,1.64,7.27
ALBURY AIRPORT,17/06/2025,0.9,1.4, ,12.9,3.2,97,62,2.00,6.72
ALBURY AIRPORT,18/06/2025,0.6,0.6, ,10.8,1.0,98,66,1.00,7.41
ALBURY AIRPORT,19/06/2025, ,0.0, , ,0.5,99,69,0.60,9.13
ALBURY AIRPORT,20/06/2025, , , ,11.2, ,99,65,0.74,8.07
ALBURY AIRPORT,21/06/2025,0.7,0.2, ,13.0,-0.4,99,53,0.87,9.61
ALBURY AIRPORT,22/06/2025,0.7,0.0, ,12.6,-2.7,99,50,0.78,9.90
ALBURY AIRPORT,23/06/2025,1.8,0.2, ,19.5,1.0,98,54,3.58,9.06
ALBURY AIRPORT,24/06/2025,2.0,8.6, ,14.0,7.7,90,54,7.18,7.18
ALBURY AIRPORT,25/06/2025,1.5,7.4, ,11.0,6.3,92,60,6.41,7.96
ALBURY AIRPORT,26/06/2025,0.8,1.8, ,12.3,-1.1,98,55,1.33,10.04
ALBURY AIRPORT,27/06/2025,0.6,0.2, ,13.1,-1.0,99,52,0.67,10.06
ALBURY AIRPORT,28/06/2025,0.7,0.0, ,14.3,-1.4,99,55,0.66,10.08
ALBURY AIRPORT,29/06/2025,0.7,0.2, ,12.6,0.1,99,60,0.87,9.41
ALBURY AIRPORT,30/06/2025,0.8,0.0, ,14.0,-0.6,99,47,0.98,9.73
Totals:,,25.2,58.4, ,,,,,, 
