'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ARMIDALE AIRPORT New South Wales for February 2025,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 March 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ARMIDALE AIRPORT,01/02/2025,3.8,1.0, ,23.2,17.2,98,68,6.50,19.16
ARMIDALE AIRPORT,02/02/2025,5.5,0.2, ,23.7,13.9,91,55,6.92,28.76
ARMIDALE AIRPORT,03/02/2025,5.0,0.0, ,25.7,14.2,97,60,5.82,25.64
ARMIDALE AIRPORT,04/02/2025,4.6,0.0, ,25.4,14.7,93,43,3.93,18.23
ARMIDALE AIRPORT,05/02/2025,5.3,0.0, ,27.7,14.4,97,41,3.21,24.02
ARMIDALE AIRPORT,06/02/2025,5.6,1.6, ,25.7,14.2,98,41,3.86,27.41
ARMIDALE AIRPORT,07/02/2025,5.9,0.2, ,25.5,13.6,96,38,4.13,28.90
ARMIDALE AIRPORT,08/02/2025,5.7,0.0, ,27.4,11.0,98,37,3.02,27.73
ARMIDALE AIRPORT,09/02/2025,4.7,0.2, ,26.3,14.0,96,50,4.39,20.11
ARMIDALE AIRPORT,10/02/2025,4.2,2.2, ,25.1,14.4,97,53,4.05,18.70
ARMIDALE AIRPORT,11/02/2025,4.9,0.0, ,28.2,13.4,97,48,4.75,18.75
ARMIDALE AIRPORT,12/02/2025,3.9,1.0, ,26.2,14.1,97,56,4.39,15.43
ARMIDALE AIRPORT,13/02/2025,5.0,41.4, ,25.1,14.9,96,56,5.73,24.50
ARMIDALE AIRPORT,14/02/2025,4.4,0.2, ,25.9,14.6,93,50,3.66,19.06
ARMIDALE AIRPORT,15/02/2025,4.3,0.0, ,25.5,17.0,96,52,5.03,17.39
ARMIDALE AIRPORT,16/02/2025,5.4,0.0, ,22.3,8.7,89,30,4.03,27.69
ARMIDALE AIRPORT,17/02/2025,5.4,0.0, ,24.1,5.9,92,36,4.07,27.55
ARMIDALE AIRPORT,18/02/2025,5.0,0.0, ,24.4,10.8,97,39,4.03,23.46
ARMIDALE AIRPORT,19/02/2025,5.2,0.0, ,26.3,12.7,98,34,4.03,21.86
ARMIDALE AIRPORT,20/02/2025,3.8,0.0, ,22.9,14.1,96,61,4.36,18.79
ARMIDALE AIRPORT,21/02/2025,5.2,8.8, ,23.9,13.3,96,49,5.74,26.21
ARMIDALE AIRPORT,22/02/2025,4.4,0.0, ,23.2,12.7,97,62,4.97,24.70
ARMIDALE AIRPORT,23/02/2025,5.4,0.0, ,25.8,10.7,98,38,3.90,26.60
ARMIDALE AIRPORT,24/02/2025,5.9,0.2, ,28.7,10.9,95,34,3.71,26.49
ARMIDALE AIRPORT,25/02/2025, ,0.0, ,26.5,13.7,96,52,4.30, 
ARMIDALE AIRPORT,26/02/2025,5.6,0.0, ,27.0,15.6,95,42,4.58,25.74
ARMIDALE AIRPORT,27/02/2025,5.5,0.0, ,28.1,12.3,99,37,3.94,24.10
ARMIDALE AIRPORT,28/02/2025,5.8,0.2, ,31.7,12.0,96,30,3.36,22.13
Totals:,,135.4,57.2, ,,,,,, 
