'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ARMIDALE AIRPORT New South Wales for March 2025,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 April 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ARMIDALE AIRPORT,01/03/2025,6.2,0.0, ,29.5,14.4,95,35,4.47,25.60
ARMIDALE AIRPORT,02/03/2025,6.1,0.0, ,29.1,12.5,97,35,4.76,25.43
ARMIDALE AIRPORT,03/03/2025,4.9,0.0, ,25.1,14.5,96,46,5.50,21.63
ARMIDALE AIRPORT,04/03/2025,4.6,0.0, ,23.5,14.8,96,49,6.07,20.67
ARMIDALE AIRPORT,05/03/2025,3.3,0.8, ,21.7,14.7,97,68,6.51,17.18
ARMIDALE AIRPORT,06/03/2025,3.4,4.6, ,23.0,15.0,98,72,7.70,18.81
ARMIDALE AIRPORT,07/03/2025,1.8,3.4, ,18.2,14.2,97,84,8.57,9.70
ARMIDALE AIRPORT,08/03/2025,1.5,2.0, ,19.0,14.6,98,93,8.40,10.70
ARMIDALE AIRPORT,09/03/2025,2.1,10.2, ,20.5,16.7,98,77,7.11,8.64
ARMIDALE AIRPORT,10/03/2025,1.4,12.6, ,17.8,14.0,98,89,6.82,8.13
ARMIDALE AIRPORT,11/03/2025,1.7,5.0, ,20.7,15.2,98,78,4.84,5.94
ARMIDALE AIRPORT,12/03/2025,3.9,4.8, ,24.1,14.4,98,56,4.25,18.91
ARMIDALE AIRPORT,13/03/2025,4.1,0.2, ,25.4,12.2,98,53,3.46,20.15
ARMIDALE AIRPORT,14/03/2025,4.6,0.6, ,27.3,12.4,99,36,2.57,22.32
ARMIDALE AIRPORT,15/03/2025,4.9,0.0, ,27.1,11.3,98,32,2.89,23.02
ARMIDALE AIRPORT,16/03/2025,4.9,0.0, ,26.6,12.6,87,47,4.12,22.87
ARMIDALE AIRPORT,17/03/2025,5.2,0.0, ,27.2,13.0,95,38,5.05,20.75
ARMIDALE AIRPORT,18/03/2025,3.6,0.0, ,22.0,10.9,97,64,6.19,20.09
ARMIDALE AIRPORT,19/03/2025,3.2,0.0, ,21.9,13.0,95,65,4.78,16.73
ARMIDALE AIRPORT,20/03/2025,4.3,0.0, ,26.2,9.2,98,37,2.40,21.88
ARMIDALE AIRPORT,21/03/2025,3.1,0.0, ,25.3,13.2,98,57,3.38,13.04
ARMIDALE AIRPORT,22/03/2025,4.3,19.4, ,25.8,13.6,99,31,2.53,20.45
ARMIDALE AIRPORT,23/03/2025,3.7,0.2, ,24.8,15.7,96,59,4.59,17.57
ARMIDALE AIRPORT,24/03/2025,2.4,0.0, ,21.5,15.9,97,72,4.94,10.77
ARMIDALE AIRPORT,25/03/2025,2.2,0.8, ,20.5,14.9,98,76,6.03,11.04
ARMIDALE AIRPORT,26/03/2025,1.4,0.2, ,17.1,13.3,98,88,5.20,8.18
ARMIDALE AIRPORT,27/03/2025,1.2,2.4, ,15.8,14.3,97,92,6.50,7.55
ARMIDALE AIRPORT,28/03/2025,1.4,3.8, ,17.1,13.1,98,89,6.57,8.55
ARMIDALE AIRPORT,29/03/2025,1.7,25.8, ,21.5,13.4,99,81,4.20,7.69
ARMIDALE AIRPORT,30/03/2025,2.4,10.6, ,21.9,13.4,99,69,4.47,11.12
ARMIDALE AIRPORT,31/03/2025,2.9,0.0, ,22.4,10.5,97,55,2.48,15.44
Totals:,,102.4,107.4, ,,,,,, 
