'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BADGERYS CREEK New South Wales for October 2024,,,,,,,,,,
Issued at 22:35 GMT on Friday 01 November 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BADGERYS CREEK,01/10/2024,3.9,0.0, ,24.9,8.1,99,38,1.58,23.04
BADGERYS CREEK,02/10/2024,2.1,7.6, ,19.2,13.4,100,61,1.89,9.86
BADGERYS CREEK,03/10/2024,3.4,3.2, ,22.1,12.0,96,45,1.70,19.51
BADGERYS CREEK,04/10/2024,3.7,0.0, ,26.1,7.4,99,40,1.55,20.65
BADGERYS CREEK,05/10/2024,5.1,1.8, ,26.0,13.5,99,30,4.39,20.55
BADGERYS CREEK,06/10/2024,5.0,0.0, ,27.7,9.3,89,27,2.75,23.02
BADGERYS CREEK,07/10/2024,5.3,0.0, ,29.6,8.8,95,28,2.74,23.02
BADGERYS CREEK,08/10/2024,1.8,0.0, ,14.7,13.5,98,60,2.83,8.10
BADGERYS CREEK,09/10/2024,2.3,1.0, ,17.1,12.0,91,52,2.80,9.41
BADGERYS CREEK,10/10/2024,4.3,0.4, ,24.9,10.0,99,44,2.11,24.66
BADGERYS CREEK,11/10/2024,4.1,0.0, ,25.7,12.6,92,49,2.44,21.21
BADGERYS CREEK,12/10/2024,3.1,0.0, ,19.6,14.8,80,48,3.61,10.04
BADGERYS CREEK,13/10/2024,3.7,0.0, ,22.4,7.6,88,42,2.44,19.62
BADGERYS CREEK,14/10/2024,3.8,0.0, ,26.7,9.0,98,46,1.86,18.98
BADGERYS CREEK,15/10/2024,2.1,13.0, ,17.5,12.4,99,59,2.69,9.28
BADGERYS CREEK,16/10/2024,2.8,0.4, ,19.8,12.4,95,54,1.75,15.14
BADGERYS CREEK,17/10/2024,4.6,0.0, ,25.9,7.5,99,36,2.12,25.78
BADGERYS CREEK,18/10/2024,2.6,1.2, ,26.0,14.1,100,60,2.13,10.06
BADGERYS CREEK,19/10/2024,3.7,7.8, ,27.1,14.5,100,49,2.25,16.97
BADGERYS CREEK,20/10/2024,4.6,0.6, ,25.0,15.1,100,49,2.34,25.95
BADGERYS CREEK,21/10/2024,4.5,0.0, ,23.6,14.5,83,45,3.86,20.40
BADGERYS CREEK,22/10/2024,4.7,0.0, ,27.0,8.2,95,25,1.77,24.73
BADGERYS CREEK,23/10/2024,3.9,0.0, ,29.7,9.5,99,33,1.15,19.21
BADGERYS CREEK,24/10/2024,4.5,0.0, ,24.7,14.7,98,41,3.37,20.69
BADGERYS CREEK,25/10/2024,5.1,5.2, ,24.0,8.8,99,28,3.08,26.87
BADGERYS CREEK,26/10/2024,4.9,0.0, ,21.6,10.6,80,25,2.38,27.29
BADGERYS CREEK,27/10/2024,4.7,0.0, ,27.2,8.1,93,29,1.53,25.58
BADGERYS CREEK,28/10/2024,5.2,0.0, ,30.2,8.9,94,22,2.45,19.93
BADGERYS CREEK,29/10/2024,5.1,0.6, ,26.3,14.4,92,37,2.11,26.66
BADGERYS CREEK,30/10/2024,5.8,0.0, ,30.1,16.0,88,37,2.40,26.95
BADGERYS CREEK,31/10/2024,5.5,0.0, ,31.3,11.2,99,20,2.31,21.68
Totals:,,125.9,42.8, ,,,,,, 
