'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BADGERYS CREEK New South Wales for February 2025,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 March 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BADGERYS CREEK,01/02/2025,3.4,0.0, ,29.2,19.3,86,54,2.37,10.95
BADGERYS CREEK,02/02/2025,5.6,0.0, ,31.2,16.7,99,42,2.18,26.24
BADGERYS CREEK,03/02/2025,5.9,0.0, ,33.0,16.8,90,42,2.62,25.03
BADGERYS CREEK,04/02/2025,6.4,0.0, ,36.0,17.5,98,36,2.12,27.22
BADGERYS CREEK,05/02/2025,5.9,0.0, ,35.0,19.2,98,34,2.50,22.62
BADGERYS CREEK,06/02/2025,6.2,0.0, ,32.5,19.8,94,43,2.52,27.92
BADGERYS CREEK,07/02/2025,6.9,0.0, ,35.5,16.6,99,28,2.66,28.40
BADGERYS CREEK,08/02/2025,5.3,0.0, ,35.3,18.4,98,38,2.16,20.05
BADGERYS CREEK,09/02/2025,5.0,15.8, ,30.9,18.3,96,53,2.56,22.68
BADGERYS CREEK,10/02/2025,2.3,0.2, ,25.3,19.2,99,67,2.57,8.02
BADGERYS CREEK,11/02/2025,4.8,18.0, ,29.9,17.4,100,49,2.08,22.65
BADGERYS CREEK,12/02/2025,4.9,0.0, ,30.4,17.1,100,47,2.22,22.82
BADGERYS CREEK,13/02/2025,5.1,0.0, ,31.8,20.3,100,53,2.82,22.28
BADGERYS CREEK,14/02/2025,2.4,0.0, ,27.4,19.9,100,67,1.71,9.28
BADGERYS CREEK,15/02/2025,6.3,10.6, ,29.9,18.4,100,28,3.63,26.83
BADGERYS CREEK,16/02/2025,5.3,0.2, ,24.5,10.7,96,27,3.16,27.13
BADGERYS CREEK,17/02/2025,5.5,0.0, ,25.9,10.8,84,30,3.05,26.99
BADGERYS CREEK,18/02/2025,5.1,0.0, ,29.4,10.3,95,32,1.76,26.03
BADGERYS CREEK,19/02/2025,5.2,0.0, ,29.8,14.6,95,37,2.52,23.27
BADGERYS CREEK,20/02/2025,2.8,0.0, ,23.1,18.4,88,55,3.14,8.70
BADGERYS CREEK,21/02/2025,4.2,0.0, ,28.9,17.2,99,48,2.41,18.64
BADGERYS CREEK,22/02/2025,5.1,5.8, ,31.1,18.8,100,42,2.12,23.25
BADGERYS CREEK,23/02/2025,4.8,0.0, ,32.4,14.4,100,38,1.78,21.94
BADGERYS CREEK,24/02/2025,5.4,0.2, ,31.7,17.4,98,50,2.67,24.93
BADGERYS CREEK,25/02/2025,1.7,0.0, ,23.0,19.2,92,68,2.23,4.32
BADGERYS CREEK,26/02/2025,4.9,0.0, ,31.8,17.5,92,48,2.34,21.28
BADGERYS CREEK,27/02/2025,5.8,0.0, ,34.7,19.9,97,39,2.30,24.44
BADGERYS CREEK,28/02/2025,5.8,0.0, ,38.9,17.6,98,23,1.69,23.19
Totals:,,138,50.8, ,,,,,, 
