'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BADGERYS CREEK New South Wales for July 2025,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 August 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BADGERYS CREEK,01/07/2025,1.5,5.8, ,14.6,9.8,97,71,9.19,4.03
BADGERYS CREEK,02/07/2025,2.4,48.0, ,17.7,10.2,98,56,8.88,7.89
BADGERYS CREEK,03/07/2025,2.7,2.4, ,18.0,11.7,77,47,5.62,10.25
BADGERYS CREEK,04/07/2025,1.6,0.0, ,19.8,6.9,96,41,1.90,11.20
BADGERYS CREEK,05/07/2025,1.0,0.0, ,18.0,2.5,100,60,1.01,10.23
BADGERYS CREEK,06/07/2025,1.7,0.0, ,21.7,7.5,99,53,2.35,10.91
BADGERYS CREEK,07/07/2025,1.3,2.8, ,17.1,4.8,99,56,2.08,8.47
BADGERYS CREEK,08/07/2025,1.1,0.0, ,15.8,2.5,99,56,1.71,7.22
BADGERYS CREEK,09/07/2025,1.5,0.0, ,19.6,2.6,97,43,1.55,11.19
BADGERYS CREEK,10/07/2025,2.4,0.2, ,14.7,3.9,99,41,6.96,11.34
BADGERYS CREEK,11/07/2025,2.7,0.0, ,17.5,6.5,73,44,5.13,11.42
BADGERYS CREEK,12/07/2025,1.7,0.0, ,19.5,3.9,88,36,1.76,11.51
BADGERYS CREEK,13/07/2025,1.5,0.0, ,17.0,1.7,98,47,2.25,10.23
BADGERYS CREEK,14/07/2025,2.7,0.0, ,18.9,7.5,78,26,3.47,11.62
BADGERYS CREEK,15/07/2025, ,0.0, ,14.4,1.9,91,52,1.70, 
BADGERYS CREEK,16/07/2025, ,0.0, , ,-0.1,94,37,1.28,11.77
BADGERYS CREEK,17/07/2025, , , ,17.1, ,99,40,1.32,11.70
BADGERYS CREEK,18/07/2025,1.4,0.0, ,15.5,2.9,91,56,2.42,7.60
BADGERYS CREEK,19/07/2025,1.7,0.6, ,18.6,2.6,95,37,1.88,11.98
BADGERYS CREEK,20/07/2025,1.7,0.2, ,19.4,0.7,95,49,2.23,11.43
BADGERYS CREEK,21/07/2025,1.5,0.0, ,20.0,6.3,100,56,1.78,10.07
BADGERYS CREEK,22/07/2025,1.3,0.2, ,18.2,5.9,100,63,1.71,8.91
BADGERYS CREEK,23/07/2025,2.1,2.8, ,18.6,8.5,100,39,2.88,11.51
BADGERYS CREEK,24/07/2025,2.2,0.0, ,17.5,4.0,83,33,2.71,12.40
BADGERYS CREEK,25/07/2025,1.6,0.0, ,17.8,-0.5,98,40,1.66,11.12
BADGERYS CREEK,26/07/2025,2.1,2.2, ,19.5,7.9,99,50,3.64,9.22
BADGERYS CREEK,27/07/2025,2.7,0.0, ,19.2,7.7,86,43,4.72,11.14
BADGERYS CREEK,28/07/2025,2.5,0.0, ,18.7,6.9,77,41,3.37,11.70
BADGERYS CREEK,29/07/2025,1.5,0.0, ,15.3,5.7,86,54,2.02,8.05
BADGERYS CREEK,30/07/2025,0.9,0.2, ,12.0,7.6,99,79,3.22,5.39
BADGERYS CREEK,31/07/2025,2.2,14.4, ,16.2,8.8,86,53,4.89,10.70
Totals:,,51.2,79.8, ,,,,,, 
