'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BALLINA AIRPORT New South Wales for April 2025,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 May 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BALLINA AIRPORT,01/04/2025,2.8,0.0, ,24.8,21.2,94,69,4.63,10.88
BALLINA AIRPORT,02/04/2025,1.2,17.4, ,21.7,20.3,98,93,3.12,5.29
BALLINA AIRPORT,03/04/2025,2.0,50.2, ,23.4,18.7,98,85,4.08,10.70
BALLINA AIRPORT,04/04/2025,2.8,8.6, ,26.4,18.5,97,54,3.01,9.47
BALLINA AIRPORT,05/04/2025,3.8,0.0, ,28.4,17.1,97,48,1.69,20.07
BALLINA AIRPORT,06/04/2025,3.5,0.0, ,26.1,16.7,96,58,3.04,17.86
BALLINA AIRPORT,07/04/2025,3.9,0.0, ,26.6,15.0,97,36,2.13,19.95
BALLINA AIRPORT,08/04/2025,3.4,0.0, ,26.4,13.0,98,55,1.96,19.46
BALLINA AIRPORT,09/04/2025,2.1,22.4, ,22.6,17.6,97,80,2.81,11.60
BALLINA AIRPORT,10/04/2025,3.3,31.8, ,25.7,15.7,98,66,2.81,18.57
BALLINA AIRPORT,11/04/2025,3.1,1.2, ,26.3,16.8,98,69,2.33,17.69
BALLINA AIRPORT,12/04/2025,3.7,4.0, ,26.8,19.6,95,64,4.42,17.89
BALLINA AIRPORT,13/04/2025,4.0,4.8, ,26.0,19.6,92,53,4.85,16.91
BALLINA AIRPORT,14/04/2025,3.0,4.0, ,25.3,17.5,93,66,4.37,12.60
BALLINA AIRPORT,15/04/2025,3.8,8.4, ,25.9,18.3,95,56,5.61,15.27
BALLINA AIRPORT,16/04/2025,3.7,3.8, ,23.8,16.4,95,53,6.21,14.70
BALLINA AIRPORT,17/04/2025,4.3,0.6, ,25.2,16.5,82,54,5.88,17.88
BALLINA AIRPORT,18/04/2025,3.3,0.0, ,24.6,14.3,96,56,3.12,18.24
BALLINA AIRPORT,19/04/2025,3.0,0.0, ,26.6,13.7,98,55,1.33,18.04
BALLINA AIRPORT,20/04/2025,3.1,0.0, ,27.6,14.5,98,59,1.89,17.86
BALLINA AIRPORT,21/04/2025,2.7,0.0, ,29.6,16.0,98,58,2.22,10.61
BALLINA AIRPORT,22/04/2025,3.1,48.4, ,24.0,15.4,97,59,3.32,17.35
BALLINA AIRPORT,23/04/2025,2.7,0.4, ,24.1,14.9,95,67,4.93,12.41
BALLINA AIRPORT,24/04/2025,3.6,7.8, ,25.3,19.3,89,62,6.28,14.27
BALLINA AIRPORT,25/04/2025,2.0,4.2, ,24.2,18.9,95,74,4.29,7.20
BALLINA AIRPORT,26/04/2025,2.0,11.8, ,24.0,19.6,96,80,2.95,9.93
BALLINA AIRPORT,27/04/2025,3.2,11.0, ,27.1,16.1,98,48,3.04,13.19
BALLINA AIRPORT,28/04/2025,4.2,0.0, ,25.2,17.9,75,54,5.76,16.27
BALLINA AIRPORT,29/04/2025,3.1,0.0, ,24.1,17.7,89,64,4.63,14.71
BALLINA AIRPORT,30/04/2025,3.0,0.0, ,24.3,15.0,96,63,4.24,16.46
Totals:,,93.4,240.8, ,,,,,, 
