'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BANKSTOWN AIRPORT New South Wales for May 2025,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 June 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BANKSTOWN AIRPORT,01/05/2025,2.5,4.0, ,20.4,12.3,95,52,4.25,11.29
BANKSTOWN AIRPORT,02/05/2025,2.0,7.6, ,20.9,11.2,96,58,2.64,10.94
BANKSTOWN AIRPORT,03/05/2025,2.1,0.0, ,21.9,10.7,95,48,1.70,13.10
BANKSTOWN AIRPORT,04/05/2025,1.8,0.0, ,22.8,9.9,97,54,1.25,12.61
BANKSTOWN AIRPORT,05/05/2025,2.1,2.0, ,24.4,12.6,99,52,1.39,13.65
BANKSTOWN AIRPORT,06/05/2025,1.9,0.0, ,26.1,12.1,99,38,0.97,11.79
BANKSTOWN AIRPORT,07/05/2025,2.2,0.0, ,27.3,11.9,98,35,1.25,12.48
BANKSTOWN AIRPORT,08/05/2025,2.2,0.0, ,20.6,10.7,87,53,3.23,9.71
BANKSTOWN AIRPORT,09/05/2025,1.8,0.0, ,19.5,10.6,92,57,2.19,9.71
BANKSTOWN AIRPORT,10/05/2025,1.8,0.0, ,22.1,10.4,97,53,1.69,10.45
BANKSTOWN AIRPORT,11/05/2025,1.4,0.0, ,22.3,11.4,97,63,1.13,9.03
BANKSTOWN AIRPORT,12/05/2025,1.6,3.0, ,23.7,15.6,99,65,1.11,9.89
BANKSTOWN AIRPORT,13/05/2025,1.2,0.0, ,21.8,14.1,99,69,0.69,7.04
BANKSTOWN AIRPORT,14/05/2025,1.5,10.2, ,24.3,12.1,99,54,0.64,11.72
BANKSTOWN AIRPORT,15/05/2025,1.1,0.0, ,20.1,12.5,99,78,1.67,6.17
BANKSTOWN AIRPORT,16/05/2025,1.2,14.6, ,20.8,15.3,99,76,1.47,7.19
BANKSTOWN AIRPORT,17/05/2025,1.8,2.4, ,22.4,12.1,99,61,2.15,11.57
BANKSTOWN AIRPORT,18/05/2025,1.4,1.4, ,16.4,12.9,98,64,3.64,5.84
BANKSTOWN AIRPORT,19/05/2025,2.1,41.8, ,18.1,11.8,98,57,6.01,8.47
BANKSTOWN AIRPORT,20/05/2025,2.1,1.2, ,20.1,13.2,93,58,4.41,9.06
BANKSTOWN AIRPORT,21/05/2025,1.1,2.0, ,19.3,13.6,99,82,2.11,6.38
BANKSTOWN AIRPORT,22/05/2025,0.7,13.8, ,19.1,16.1,100,95,3.81,4.06
BANKSTOWN AIRPORT,23/05/2025,1.4,99.0, ,21.0,17.1,100,71,2.92,6.89
BANKSTOWN AIRPORT,24/05/2025,2.1,2.4, ,21.8,10.8,92,48,2.75,11.72
BANKSTOWN AIRPORT,25/05/2025,1.4,0.0, ,19.5,9.9,95,40,1.39,5.87
BANKSTOWN AIRPORT,26/05/2025,1.2,0.0, ,17.8,7.8,99,50,1.36,7.16
BANKSTOWN AIRPORT,27/05/2025,2.3,4.4, ,18.8,11.3,99,36,3.70,11.00
BANKSTOWN AIRPORT,28/05/2025,2.6,0.0, ,19.8,10.2,72,40,3.57,11.61
BANKSTOWN AIRPORT,29/05/2025,1.4,0.0, ,18.4,10.7,91,58,2.13,7.28
BANKSTOWN AIRPORT,30/05/2025,1.4,0.0, ,21.2,7.0,96,49,1.18,11.32
BANKSTOWN AIRPORT,31/05/2025,1.2,0.0, ,19.8,9.8,98,60,1.20,9.15
Totals:,,52.6,209.8, ,,,,,, 
