'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BATHURST AIRPORT New South Wales for October 2024,,,,,,,,,,
Issued at 22:35 GMT on Friday 01 November 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BATHURST AIRPORT,01/10/2024,3.5,0.0, ,19.0,3.0,100,29,1.78,22.89
BATHURST AIRPORT,02/10/2024,3.4,0.0, ,19.0,8.1,99,41,3.56,17.16
BATHURST AIRPORT,03/10/2024,3.7,0.0, ,20.6,4.2,100,43,2.79,22.83
BATHURST AIRPORT,04/10/2024,3.1,0.0, ,20.2,2.6,100,44,2.57,16.44
BATHURST AIRPORT,05/10/2024,3.9,1.8, ,20.0,10.7,100,41,5.66,17.24
BATHURST AIRPORT,06/10/2024,4.2,0.0, ,20.1,7.4,89,45,4.50,24.04
BATHURST AIRPORT,07/10/2024,4.5,0.0, ,23.0,4.7,100,34,3.41,23.80
BATHURST AIRPORT,08/10/2024,4.4,0.0, ,23.4,5.9,100,32,2.89,22.87
BATHURST AIRPORT,09/10/2024,3.0,0.0, ,15.4,7.4,91,55,4.73,17.00
BATHURST AIRPORT,10/10/2024,4.1,0.0, ,21.9,4.8,100,39,2.65,24.25
BATHURST AIRPORT,11/10/2024,4.0,0.0, ,24.1,4.8,100,33,1.98,21.51
BATHURST AIRPORT,12/10/2024,3.4,0.0, ,17.9,4.4,100,51,3.59,22.30
BATHURST AIRPORT,13/10/2024,4.2,0.0, ,21.4,3.9,95,41,3.28,24.37
BATHURST AIRPORT,14/10/2024,3.4,0.0, ,22.1,7.7,100,55,3.93,16.70
BATHURST AIRPORT,15/10/2024,2.7,14.2, ,18.6,9.6,100,57,3.68,13.62
BATHURST AIRPORT,16/10/2024,2.1,0.0, ,16.0,8.6,100,75,2.36,12.77
BATHURST AIRPORT,17/10/2024, ,0.0, , ,6.0,100,42,2.04,23.60
BATHURST AIRPORT,18/10/2024, , , ,23.6, ,100,69,4.97,11.84
BATHURST AIRPORT,19/10/2024,2.6,0.8, ,19.0,12.1,100,68,4.72,13.53
BATHURST AIRPORT,20/10/2024,4.7,0.2, ,24.1,7.2,100,25,2.20,24.96
BATHURST AIRPORT,21/10/2024,4.7,0.0, ,22.2,7.6,100,36,3.01,26.52
BATHURST AIRPORT,22/10/2024,4.8,0.0, ,24.9,2.2,100,28,2.41,24.96
BATHURST AIRPORT,23/10/2024,3.9,0.0, ,25.9,6.1,100,33,2.17,16.72
BATHURST AIRPORT,24/10/2024,5.3,0.0, ,21.9,8.8,89,30,4.21,26.93
BATHURST AIRPORT,25/10/2024,4.4,0.0, ,17.4,1.4,89,30,4.19,27.02
BATHURST AIRPORT,26/10/2024,4.2,0.0, ,19.6,2.1,99,27,1.84,27.12
BATHURST AIRPORT,27/10/2024,4.9,0.0, ,23.6,6.4,99,22,2.36,25.90
BATHURST AIRPORT,28/10/2024,6.0,0.0, ,26.1,4.4,99,19,4.05,24.68
BATHURST AIRPORT,29/10/2024,4.9,0.0, ,24.7,7.7,100,34,2.10,27.61
BATHURST AIRPORT,30/10/2024,5.2,0.0, ,26.4,8.3,100,24,1.99,27.59
BATHURST AIRPORT,31/10/2024,5.0,0.0, ,26.2,5.7,88,21,3.11,18.80
Totals:,,118.2,17, ,,,,,, 
