'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BATHURST AIRPORT New South Wales for May 2025,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 June 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BATHURST AIRPORT,01/05/2025,2.2,0.2, ,15.3,5.8,96,49,4.00,12.44
BATHURST AIRPORT,02/05/2025,2.2,0.0, ,17.3,5.1,100,48,3.09,13.80
BATHURST AIRPORT,03/05/2025,2.4,0.0, ,19.6,2.6,100,41,2.76,13.48
BATHURST AIRPORT,04/05/2025,2.1,0.0, ,20.8,1.0,100,37,1.53,14.10
BATHURST AIRPORT,05/05/2025,1.9,0.2, ,21.6,4.7,100,45,1.27,13.20
BATHURST AIRPORT,06/05/2025,2.2,0.0, ,22.0,6.9,100,39,1.95,11.19
BATHURST AIRPORT,07/05/2025,2.7,0.0, ,22.3,8.0,100,41,3.54,11.84
BATHURST AIRPORT,08/05/2025,2.6,0.0, ,19.8,6.4,100,16,2.39,13.43
BATHURST AIRPORT,09/05/2025,2.1,0.0, ,19.3,3.6,100,36,2.05,13.45
BATHURST AIRPORT,10/05/2025,2.2,0.0, ,19.4,4.4,100,44,2.70,13.29
BATHURST AIRPORT,11/05/2025,1.6,0.0, ,19.2,7.3,100,59,2.17,9.22
BATHURST AIRPORT,12/05/2025,1.8,0.2, ,21.1,7.4,100,48,1.62,10.58
BATHURST AIRPORT,13/05/2025,1.9,0.0, ,20.5,9.9,100,52,2.32,10.16
BATHURST AIRPORT,14/05/2025,1.5,0.0, ,19.4,6.9,100,54,1.52,9.49
BATHURST AIRPORT,15/05/2025,1.9,0.2, ,19.7,5.1,100,51,2.62,10.28
BATHURST AIRPORT,16/05/2025,1.5,0.0, ,18.9,8.8,100,56,1.82,8.75
BATHURST AIRPORT,17/05/2025,1.8,0.2, ,18.3,4.7,100,30,1.75,11.40
BATHURST AIRPORT,18/05/2025,1.3,0.0, ,14.0,3.0,100,62,2.91,6.73
BATHURST AIRPORT,19/05/2025,2.4,6.6, ,13.1,8.3,81,49,6.20,10.54
BATHURST AIRPORT,20/05/2025,2.0,0.0, ,14.9,7.9,86,61,5.03,11.63
BATHURST AIRPORT,21/05/2025,1.2,0.0, ,15.3,11.0,99,75,4.29,6.41
BATHURST AIRPORT,22/05/2025,1.1,4.0, ,16.1,11.6,100,73,3.66,4.23
BATHURST AIRPORT,23/05/2025,1.7,5.8, ,17.4,12.3,100,56,3.31,9.21
BATHURST AIRPORT,24/05/2025,1.4,0.0, ,14.3,6.4,100,62,4.33,6.10
BATHURST AIRPORT,25/05/2025,1.7,0.2, ,15.9,3.7,100,33,2.19,6.52
BATHURST AIRPORT,26/05/2025,1.1,0.0, ,13.2,1.4,100,69,3.09,4.58
BATHURST AIRPORT,27/05/2025,1.7,16.0, ,11.8,6.0,100,53,5.79,9.48
BATHURST AIRPORT,28/05/2025,1.4,1.8, ,12.3,6.1,98,63,4.90,10.09
BATHURST AIRPORT,29/05/2025,1.1,0.0, ,13.3,3.1,100,63,1.62,9.33
BATHURST AIRPORT,30/05/2025,1.5,0.0, ,17.8,-0.1,100,47,1.76,11.71
BATHURST AIRPORT,31/05/2025,1.1,0.2, ,16.5,-0.1,100,53,1.12,10.85
Totals:,,55.3,35.6, ,,,,,, 
