'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BATHURST AIRPORT New South Wales for July 2025,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 August 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BATHURST AIRPORT,01/07/2025, ,0.2, , ,-0.1,100,84,4.77,4.69
BATHURST AIRPORT,02/07/2025, , , ,10.3, ,99,85,8.09,7.34
BATHURST AIRPORT,03/07/2025,1.3,0.2, ,12.8,6.0,100,63,4.61,9.75
BATHURST AIRPORT,04/07/2025,1.2,0.0, ,14.3,4.2,100,50,1.62,10.91
BATHURST AIRPORT,05/07/2025,1.0,0.2, ,14.7,-1.7,100,48,1.07,8.67
BATHURST AIRPORT,06/07/2025,1.7,0.0, ,18.0,2.7,99,58,3.90,8.87
BATHURST AIRPORT,07/07/2025,1.0,9.6, ,10.9,3.3,99,70,3.05,8.48
BATHURST AIRPORT,08/07/2025,1.2,0.0, ,11.3,2.6,100,62,3.61,8.31
BATHURST AIRPORT,09/07/2025,1.8,0.0, ,15.0,2.2,100,48,3.88,10.76
BATHURST AIRPORT,10/07/2025,1.2,0.0, ,7.4,4.8,99,66,7.85,7.44
BATHURST AIRPORT,11/07/2025,1.0,2.0, ,10.0,3.4,100,75,4.90,8.59
BATHURST AIRPORT,12/07/2025,1.5,0.0, ,12.2,5.7,100,54,3.82,9.68
BATHURST AIRPORT,13/07/2025,1.2,0.0, ,13.4,-2.2,100,50,1.83,9.85
BATHURST AIRPORT,14/07/2025,1.5,0.2, ,11.1,0.2,99,47,3.27,11.95
BATHURST AIRPORT,15/07/2025, ,0.0, ,7.9,-2.1,100,95,2.83, 
BATHURST AIRPORT,16/07/2025,1.4,0.6, ,12.0,-4.1,100,39,1.91,12.09
BATHURST AIRPORT,17/07/2025,1.3,0.2, ,12.5,-4.0,100,46,1.75,11.62
BATHURST AIRPORT,18/07/2025,1.4,0.0, ,12.8,-4.0,99,48,2.47,11.87
BATHURST AIRPORT,19/07/2025,1.1,0.2, ,12.5,-2.8,100,48,1.15,10.92
BATHURST AIRPORT,20/07/2025,1.9,0.0, ,14.9,-5.4,100,34,2.60,12.38
BATHURST AIRPORT,21/07/2025,1.9,0.2, ,16.8,-0.9,100,48,3.27,12.22
BATHURST AIRPORT,22/07/2025,2.0,0.0, ,15.9,2.8,100,54,5.72,8.91
BATHURST AIRPORT,23/07/2025,1.4,10.6, ,11.1,5.8,100,48,2.92,10.44
BATHURST AIRPORT,24/07/2025,1.3,0.2, ,10.5,-0.3,100,51,2.40,12.39
BATHURST AIRPORT,25/07/2025,1.4,0.0, ,13.0,-4.7,100,36,1.75,9.78
BATHURST AIRPORT,26/07/2025,1.9,5.4, ,13.6,-0.7,100,59,7.53,8.07
BATHURST AIRPORT,27/07/2025,0.9,4.0, ,9.8,6.4,100,81,6.71,7.89
BATHURST AIRPORT,28/07/2025,0.5,3.0, ,8.3,5.1,100,97,5.95,7.54
BATHURST AIRPORT,29/07/2025,1.4,4.0, ,11.0,4.3,100,54,2.78,10.12
BATHURST AIRPORT,30/07/2025, ,5.0, , ,4.1,100,75,2.71,5.64
BATHURST AIRPORT,31/07/2025, , , ,11.1, ,88,53,3.81,10.79
Totals:,,35.4,45.8, ,,,,,, 
