'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BEGA New South Wales for September 2024,,,,,,,,,,
Issued at 22:35 GMT on Tuesday 01 October 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BEGA,01/09/2024, , , , , ,100,100,0.00,16.55
BEGA,02/09/2024, , , , , ,100,100,0.00,14.50
BEGA,03/09/2024, , , ,20.2, ,100,33,1.68,16.83
BEGA,04/09/2024,2.6, , ,23.0,0.9,99,36,1.39,16.60
BEGA,05/09/2024,3.8,0.0, ,28.5,6.2,99,19,2.33,14.02
BEGA,06/09/2024,6.2,0.0, ,30.7,11.3,84,20,5.04,17.27
BEGA,07/09/2024,2.7,0.4, ,19.9,13.5,99,53,2.85,15.75
BEGA,08/09/2024,3.3,0.2, ,22.7,2.8,100,25,2.32,17.63
BEGA,09/09/2024,2.8,0.0, ,22.0,3.8,99,44,2.05,17.35
BEGA,10/09/2024,2.9,0.0, ,21.6,2.5,100,37,1.86,18.13
BEGA,11/09/2024,2.2,0.0, ,20.7,6.4,100,58,1.53,14.58
BEGA,12/09/2024,2.2,0.0, ,17.6,9.6,97,45,3.02,8.07
BEGA,13/09/2024,2.4,0.2, ,19.8,-0.5,99,44,1.60,16.42
BEGA,14/09/2024,2.7,0.2, ,19.4,2.6,100,45,3.43,12.72
BEGA,15/09/2024,3.2,4.4, ,14.3,5.8,82,46,6.83,18.26
BEGA,16/09/2024,3.4,0.0, ,17.4,2.6,85,44,5.56,18.05
BEGA,17/09/2024,2.9,0.0, ,20.2,1.7,99,34,1.75,19.09
BEGA,18/09/2024,4.8,0.0, ,24.0,-0.2,99,16,3.74,19.64
BEGA,19/09/2024,4.7,0.0, ,22.0,8.7,91,22,4.96,18.04
BEGA,20/09/2024,3.3,0.0, ,20.5,2.2,93,31,2.35,19.30
BEGA,21/09/2024,4.6,0.0, ,23.4,5.5,98,23,4.19,19.94
BEGA,22/09/2024,3.7,0.0, ,24.5,4.6,99,28,2.08,19.36
BEGA,23/09/2024,3.7,0.0, ,25.3,3.0,100,31,1.95,20.65
BEGA,24/09/2024,2.4,0.0, ,21.4,6.9,100,54,1.52,13.43
BEGA,25/09/2024,2.1,0.0, ,22.3,12.0,99,50,2.38,6.05
BEGA,26/09/2024,3.2,8.8, ,16.6,8.4,89,43,4.95,15.99
BEGA,27/09/2024,2.9,0.2, ,17.6,1.2,99,40,1.80,21.37
BEGA,28/09/2024,3.4,0.0, ,20.8,1.5,99,51,3.26,21.55
BEGA,29/09/2024,3.7,0.0, ,22.9,5.8,96,47,3.57,18.86
BEGA,30/09/2024,3.1,0.0, ,20.3,12.3,99,50,2.75,17.57
Totals:,,88.9,14.4, ,,,,,, 
