'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BEGA New South Wales for November 2024,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 December 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BEGA,01/11/2024,3.7,0.0, ,21.2,11.6,99,47,2.25,20.18
BEGA,02/11/2024,5.0,0.0, ,23.5,3.7,97,44,4.55,27.74
BEGA,03/11/2024,7.1,0.0, ,35.8,12.2,94,16,4.28,14.23
BEGA,04/11/2024,2.4,0.0, ,19.2,11.7,90,61,2.11,10.83
BEGA,05/11/2024,2.0,0.0, ,20.1,12.7,95,70,2.47,7.92
BEGA,06/11/2024,5.2,0.0, ,32.0,12.6,99,48,2.15,24.30
BEGA,07/11/2024,2.8,0.2, ,20.8,16.9,87,66,2.98,12.36
BEGA,08/11/2024,6.4,0.0, ,28.9,8.1,99,19,3.17,28.26
BEGA,09/11/2024,3.9,0.0, ,21.7,12.0,89,57,3.47,20.87
BEGA,10/11/2024,4.2,0.0, ,22.1,10.2,99,49,3.04,24.08
BEGA,11/11/2024,5.1,0.0, ,24.0,12.9,99,48,3.44,29.05
BEGA,12/11/2024,5.0,0.0, ,27.0,12.0,99,54,3.02,26.55
BEGA,13/11/2024,3.9,0.0, ,27.7,13.2,100,51,2.76,16.39
BEGA,14/11/2024,3.6,11.4, ,22.3,12.4,100,50,2.56,18.04
BEGA,15/11/2024,2.8,0.0, ,22.1,11.0,96,63,2.83,12.56
BEGA,16/11/2024,5.6,0.0, ,26.8,15.5,93,54,5.27,27.00
BEGA,17/11/2024,3.7,0.2, ,27.5,18.2,93,59,4.25,12.70
BEGA,18/11/2024,4.9,2.6, ,23.2,9.8,100,47,2.88,28.45
BEGA,19/11/2024,3.6,1.4, ,21.7,11.3,99,52,2.42,19.47
BEGA,20/11/2024,1.8,0.2, ,18.6,14.0,99,71,1.64,8.21
BEGA,21/11/2024,4.9,0.0, ,26.3,14.3,99,58,3.37,25.82
BEGA,22/11/2024,6.0,0.2, ,31.8,13.2,99,36,1.68,29.73
BEGA,23/11/2024,6.4,0.0, ,36.1,14.2,100,30,1.91,27.13
BEGA,24/11/2024,4.5,0.0, ,30.2,15.7,96,44,2.21,18.17
BEGA,25/11/2024,3.4,0.0, ,26.4,16.4,100,66,1.50,16.78
BEGA,26/11/2024,2.7,0.0, ,27.3,17.4,100,65,1.18,11.88
BEGA,27/11/2024,3.3,0.0, ,31.9,17.9,100,37,2.08,7.97
BEGA,28/11/2024,6.1,0.0, ,30.9,17.1,98,48,3.15,27.88
BEGA,29/11/2024,2.9,0.0, ,25.0,18.4,99,67,1.99,13.24
BEGA,30/11/2024, ,12.8, ,22.5,19.2,100,89,4.51, 
Totals:,,122.9,29, ,,,,,, 
