'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BEGA New South Wales for March 2025,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 April 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BEGA,01/03/2025,4.8,0.0, ,30.4,13.6,100,49,2.25,24.16
BEGA,02/03/2025,1.8,0.2, ,22.4,17.2,90,69,2.45,5.43
BEGA,03/03/2025,3.9,0.0, ,25.1,11.3,99,51,2.34,21.82
BEGA,04/03/2025,3.5,3.2, ,24.2,16.7,99,56,2.14,18.74
BEGA,05/03/2025,4.2,0.2, ,27.2,10.7,100,54,2.15,23.35
BEGA,06/03/2025,3.8,0.4, ,27.1,13.1,100,51,1.72,20.41
BEGA,07/03/2025,2.4,0.4, ,23.4,15.0,100,66,1.75,12.03
BEGA,08/03/2025,3.0,0.4, ,25.0,14.9,100,62,2.02,15.61
BEGA,09/03/2025,4.1,0.0, ,28.0,15.9,100,63,3.24,21.09
BEGA,10/03/2025,3.0,0.0, ,29.2,15.9,100,58,1.42,14.27
BEGA,11/03/2025,3.7,1.2, ,27.9,16.9,100,63,2.09,19.16
BEGA,12/03/2025,3.7,0.0, ,28.3,17.0,100,63,1.89,19.30
BEGA,13/03/2025,3.5,0.2, ,26.8,16.5,100,72,2.47,19.50
BEGA,14/03/2025,3.4,0.0, ,28.7,18.3,99,68,2.00,17.61
BEGA,15/03/2025,3.4,0.0, ,30.5,17.6,100,57,1.45,16.31
BEGA,16/03/2025,1.9,0.0, ,25.0,17.3,100,56,2.73,3.56
BEGA,17/03/2025,4.1,9.8, ,20.5,12.3,94,37,4.99,19.71
BEGA,18/03/2025,3.4,0.2, ,22.9,5.2,99,48,2.55,20.80
BEGA,19/03/2025,3.9,0.0, ,28.8,9.2,99,49,2.06,20.29
BEGA,20/03/2025,2.8,0.0, ,32.1,14.1,100,45,0.86,12.83
BEGA,21/03/2025,1.2,1.8, ,20.8,18.9,100,84,1.71,4.45
BEGA,22/03/2025,1.8,7.0, ,21.2,16.2,93,73,1.48,8.76
BEGA,23/03/2025,1.4,0.0, ,20.7,15.5,100,75,1.37,5.72
BEGA,24/03/2025,2.5,0.0, ,26.1,15.7,100,64,1.76,12.47
BEGA,25/03/2025,2.2,0.0, ,24.2,17.9,98,75,1.80,11.08
BEGA,26/03/2025,2.9,0.0, ,25.4,16.1,100,71,2.01,16.81
BEGA,27/03/2025,1.4,0.0, ,20.7,17.1,95,74,1.58,5.12
BEGA,28/03/2025,1.4,0.4, ,21.1,17.1,100,84,0.94,7.00
BEGA,29/03/2025,1.2,5.6, ,20.6,17.0,100,88,1.40,5.50
BEGA,30/03/2025,1.2,4.8, ,19.0,17.3,100,84,4.96,4.70
BEGA,31/03/2025,1.7,35.6, ,19.5,16.4,98,79,5.46,7.86
Totals:,,87.2,71.4, ,,,,,, 
