'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BEGA New South Wales for April 2025,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 May 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BEGA,01/04/2025,3.5,1.4, ,21.6,15.1,85,53,5.47,15.06
BEGA,02/04/2025,3.3,0.0, ,24.1,11.0,99,45,2.57,17.72
BEGA,03/04/2025,2.9,0.0, ,25.1,8.9,100,45,1.92,16.15
BEGA,04/04/2025,2.5,6.2, ,22.3,9.2,100,54,1.70,15.66
BEGA,05/04/2025,3.1,0.0, ,19.4,11.4,100,36,3.58,16.37
BEGA,06/04/2025,1.9,0.0, ,21.4,3.1,99,43,0.95,12.14
BEGA,07/04/2025,3.2,0.0, ,22.4,5.6,99,38,2.90,16.66
BEGA,08/04/2025,2.5,0.0, ,21.9,6.0,99,46,1.45,16.55
BEGA,09/04/2025,2.7,0.0, ,24.7,7.4,100,54,1.93,16.34
BEGA,10/04/2025,2.4,0.0, ,27.4,11.3,100,46,1.01,13.50
BEGA,11/04/2025,3.0,0.2, ,27.4,8.7,100,38,1.76,15.15
BEGA,12/04/2025,2.4,0.0, ,25.0,15.2,99,60,1.22,15.33
BEGA,13/04/2025,2.6,0.0, ,29.1,11.5,100,35,0.98,14.53
BEGA,14/04/2025,2.0,0.2, ,23.2,10.1,100,64,2.41,9.46
BEGA,15/04/2025,2.0,1.8, ,21.3,14.6,100,51,1.36,11.19
BEGA,16/04/2025,2.1,0.0, ,22.1,10.5,99,52,0.91,15.09
BEGA,17/04/2025,2.1,0.2, ,23.0,7.3,100,54,1.05,14.85
BEGA,18/04/2025,2.0,0.0, ,24.6,8.8,100,51,0.68,14.80
BEGA,19/04/2025,2.2,0.2, ,29.0,8.2,100,48,1.00,12.67
BEGA,20/04/2025,2.6,0.2, ,29.1,8.5,100,34,1.27,13.51
BEGA,21/04/2025,2.1,3.0, ,24.1,13.3,100,60,2.68,9.88
BEGA,22/04/2025,1.7,5.8, ,22.0,15.0,99,76,4.32,8.32
BEGA,23/04/2025,1.0,29.4, ,19.7,17.1,100,90,2.83,4.99
BEGA,24/04/2025,2.2,14.2, ,24.3,14.0,100,61,2.09,13.61
BEGA,25/04/2025,2.2,0.0, ,25.7,10.6,100,60,1.68,13.73
BEGA,26/04/2025,1.7,0.0, ,23.8,13.7,100,67,1.12,10.28
BEGA,27/04/2025,1.2,7.6, ,20.2,13.6,100,79,1.35,6.94
BEGA,28/04/2025,1.4,0.0, ,21.6,13.5,100,69,1.07,8.41
BEGA,29/04/2025,1.5,0.4, ,20.9,13.2,100,65,2.38,6.51
BEGA,30/04/2025,2.2,5.2, ,17.6,13.3,91,55,4.45,9.09
Totals:,,68.2,76, ,,,,,, 
