'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BEGA New South Wales for August 2025,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 September 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BEGA,01/08/2025,1.0,0.0, ,13.7,6.1,99,69,1.98,7.76
BEGA,02/08/2025,1.3,6.0, ,14.8,8.1,100,64,2.87,8.42
BEGA,03/08/2025,1.2,5.6, ,17.1,7.9,100,68,1.39,9.49
BEGA,04/08/2025,1.7,0.6, ,19.2,6.6,100,53,2.28,12.17
BEGA,05/08/2025,1.6,0.2, ,20.5,3.5,100,54,1.72,9.90
BEGA,06/08/2025,1.7,0.0, ,20.1,0.8,100,39,1.38,12.36
BEGA,07/08/2025,1.3,0.2, ,15.3,1.2,100,48,1.28,12.72
BEGA,08/08/2025,1.3,0.2, ,16.7,-0.6,100,50,0.96,12.67
BEGA,09/08/2025,1.3,0.8, ,16.4,3.8,100,61,1.27,11.43
BEGA,10/08/2025,1.1,0.4, ,15.7,3.6,100,72,1.06,8.94
BEGA,11/08/2025,1.2,6.4, ,15.9,1.9,100,65,1.09,11.77
BEGA,12/08/2025,1.4,0.4, ,17.8,0.8,100,57,0.90,13.23
BEGA,13/08/2025,1.2,0.0, ,16.8,2.6,100,54,0.80,9.76
BEGA,14/08/2025,1.3,0.2, ,17.7,0.7,100,60,0.96,10.41
BEGA,15/08/2025,1.5,0.0, ,19.0,0.9,100,54,1.13,11.21
BEGA,16/08/2025,2.3,0.6, ,17.8,6.4,93,32,2.79,10.17
BEGA,17/08/2025,1.7,1.8, ,14.9,0.8,99,39,1.95,11.02
BEGA,18/08/2025,1.9,0.0, ,16.2,-1.2,99,45,2.48,12.70
BEGA,19/08/2025,1.5,0.2, ,16.4,0.0,99,56,1.43,13.31
BEGA,20/08/2025,1.4,0.8, ,17.3,4.4,100,70,1.64,10.88
BEGA,21/08/2025,1.1,14.8, ,17.1,6.7,100,82,1.09,8.22
BEGA,22/08/2025,1.9,8.0, ,20.0,10.5,100,66,1.86,13.40
BEGA,23/08/2025,2.8,0.2, ,19.7,9.6,100,39,3.85,13.08
BEGA,24/08/2025,2.4,0.0, ,15.5,10.2,85,56,6.27,7.90
BEGA,25/08/2025,1.8,1.2, ,19.5,12.9,100,68,2.30,11.50
BEGA,26/08/2025,1.0,0.0, ,18.0,11.5,100,84,0.79,5.37
BEGA,27/08/2025,3.8,0.0, ,20.0,10.8,99,29,6.09,15.10
BEGA,28/08/2025,4.1,0.0, ,19.0,11.5,82,30,6.45,15.69
BEGA,29/08/2025,3.2,0.0, ,21.4,0.8,99,28,3.04,15.14
BEGA,30/08/2025,3.6,0.0, ,15.4,7.6,70,39,7.16,12.78
BEGA,31/08/2025,2.9,0.0, ,20.3,9.0,94,37,2.88,16.22
Totals:,,57.5,48.6, ,,,,,, 
