'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BELLAMBI New South Wales for October 2024,,,,,,,,,,
Issued at 22:35 GMT on Friday 01 November 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BELLAMBI,01/10/2024,3.6,0.0, ,19.5,11.2,83,62,3.49,22.61
BELLAMBI,02/10/2024,3.1,17.6, ,18.0,13.5,93,58,5.96,15.16
BELLAMBI,03/10/2024,3.3,0.2, ,19.2,13.3,90,57,4.01,17.43
BELLAMBI,04/10/2024,3.8,0.0, ,23.0,11.7,83,61,4.82,19.46
BELLAMBI,05/10/2024,5.5,0.6, ,26.0,16.6,83,27,4.44,20.06
BELLAMBI,06/10/2024,5.8,0.0, ,25.7,12.7,72,30,4.92,22.46
BELLAMBI,07/10/2024,6.7,0.0, ,28.9,13.4,82,26,6.02,20.47
BELLAMBI,08/10/2024,2.6,2.0, ,15.3,12.4,91,56,8.41,7.04
BELLAMBI,09/10/2024,3.6,0.6, ,18.6,12.1,81,48,4.82,15.96
BELLAMBI,10/10/2024,5.0,0.2, ,22.9,13.0,87,46,5.93,24.37
BELLAMBI,11/10/2024,3.5,0.0, ,20.4,14.9,91,68,5.09,20.65
BELLAMBI,12/10/2024,3.6,0.6, ,17.7,14.5,89,54,9.88,13.10
BELLAMBI,13/10/2024,4.4,0.0, ,20.8,11.9,71,51,5.23,20.59
BELLAMBI,14/10/2024,2.8,0.0, ,20.4,14.3,86,61,4.72,9.71
BELLAMBI,15/10/2024,3.1,18.4, ,17.6,14.3,92,56,7.31,12.14
BELLAMBI,16/10/2024,4.2,0.0, ,19.5,12.2,74,45,3.43,22.14
BELLAMBI,17/10/2024, ,0.0, , ,12.7,85,64,5.49,25.50
BELLAMBI,18/10/2024, , , ,22.3, ,88,70,5.98,14.90
BELLAMBI,19/10/2024,3.4,9.4, ,23.0,18.3,88,58,4.17,13.47
BELLAMBI,20/10/2024,4.2,1.2, ,19.3,16.8,83,63,9.98,21.61
BELLAMBI,21/10/2024,4.3,0.0, ,19.1,15.7,75,62,9.76,18.26
BELLAMBI,22/10/2024,4.3,0.0, ,21.8,11.3,78,59,3.14,25.12
BELLAMBI,23/10/2024,3.4,0.0, ,23.4,14.7,88,65,3.37,16.63
BELLAMBI,24/10/2024,3.8,0.0, ,19.8,17.0,84,43,6.43,9.13
BELLAMBI,25/10/2024,4.6,0.2, ,19.6,11.9,81,45,6.73,20.59
BELLAMBI,26/10/2024,5.3,0.0, ,18.6,11.0,68,36,5.71,27.06
BELLAMBI,27/10/2024,5.3,0.0, ,24.9,12.1,82,47,4.86,25.11
BELLAMBI,28/10/2024,5.6,0.0, ,25.3,16.7,90,29,6.47,15.63
BELLAMBI,29/10/2024,4.1,0.6, ,21.5,14.6,88,63,3.62,23.45
BELLAMBI,30/10/2024,4.9,0.2, ,23.0,16.3,88,61,6.01,27.33
BELLAMBI,31/10/2024,3.8,0.0, ,23.2,14.7,91,72,4.82,21.64
Totals:,,121.6,51.8, ,,,,,, 
