'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BELLAMBI New South Wales for February 2025,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 March 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BELLAMBI,01/02/2025,4.0,0.0, ,25.9,19.1,90,71,3.98,19.00
BELLAMBI,02/02/2025,5.2,0.0, ,26.7,20.9,89,64,3.34,26.08
BELLAMBI,03/02/2025,5.3,0.0, ,27.3,20.6,84,75,4.54,27.73
BELLAMBI,04/02/2025,5.6,0.0, ,29.5,21.5,89,74,5.78,28.78
BELLAMBI,05/02/2025,4.4,0.0, ,27.4,22.4,90,66,6.79,16.97
BELLAMBI,06/02/2025,4.6,0.0, ,26.5,21.0,88,73,3.20,23.28
BELLAMBI,07/02/2025,6.0,0.0, ,27.6,22.8,85,65,7.19,28.45
BELLAMBI,08/02/2025,3.4,0.0, ,26.4,22.0,94,73,4.31,14.64
BELLAMBI,09/02/2025,3.2,6.8, ,25.4,19.6,94,79,4.83,15.95
BELLAMBI,10/02/2025,2.5,0.0, ,24.1,21.1,93,74,6.42,7.19
BELLAMBI,11/02/2025,4.5,16.0, ,25.8,18.3,91,69,3.41,23.68
BELLAMBI,12/02/2025,4.7,3.2, ,26.0,19.5,94,72,2.67,25.93
BELLAMBI,13/02/2025,3.9,5.4, ,25.8,21.9,91,76,8.07,18.81
BELLAMBI,14/02/2025,2.7,0.2, ,25.3,22.2,93,78,4.62,10.78
BELLAMBI,15/02/2025,5.7,13.4, ,24.6,18.7,92,40,5.77,25.43
BELLAMBI,16/02/2025,5.7,0.0, ,21.1,13.4,85,35,7.65,26.95
BELLAMBI,17/02/2025,5.5,0.0, ,21.6,14.6,70,51,6.76,26.82
BELLAMBI,18/02/2025,4.9,0.0, ,24.7,14.9,81,50,3.94,23.51
BELLAMBI,19/02/2025,3.7,0.0, ,24.4,19.1,85,65,5.35,14.05
BELLAMBI,20/02/2025,3.2,0.2, ,21.8,17.7,90,62,6.73,10.05
BELLAMBI,21/02/2025,3.8,0.4, ,24.6,16.6,93,65,4.11,19.17
BELLAMBI,22/02/2025,4.6,0.4, ,26.1,19.7,87,66,6.56,21.05
BELLAMBI,23/02/2025,5.8,0.0, ,27.0,21.0,80,56,7.50,22.78
BELLAMBI,24/02/2025,4.1,0.0, ,24.8,20.4,88,73,7.71,19.65
BELLAMBI,25/02/2025,2.3,1.4, ,23.0,19.2,94,69,6.02,5.04
BELLAMBI,26/02/2025,4.3,0.0, ,26.2,18.7,89,69,4.54,21.46
BELLAMBI,27/02/2025,4.5,0.0, ,27.3,20.8,91,76,3.65,23.90
BELLAMBI,28/02/2025,4.0,0.0, ,27.2,22.1,90,77,5.43,19.49
Totals:,,122.1,47.4, ,,,,,, 
