'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BELLAMBI New South Wales for March 2025,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 April 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BELLAMBI,01/03/2025,4.5,0.0, ,26.7,19.6,93,72,3.09,24.74
BELLAMBI,02/03/2025,2.2,0.0, ,23.3,21.2,95,78,8.10,6.30
BELLAMBI,03/03/2025,3.5,0.0, ,23.1,19.8,82,71,9.28,10.03
BELLAMBI,04/03/2025,3.0,29.0, ,23.9,18.8,96,68,8.84,9.57
BELLAMBI,05/03/2025,4.4,2.6, ,25.7,18.5,87,67,4.41,22.78
BELLAMBI,06/03/2025,3.2,0.0, ,25.3,19.3,91,69,5.56,11.97
BELLAMBI,07/03/2025,3.8,6.4, ,24.8,19.0,92,67,7.07,16.37
BELLAMBI,08/03/2025,2.7,1.6, ,24.7,18.5,89,74,4.44,10.50
BELLAMBI,09/03/2025,3.2,1.4, ,25.8,19.7,94,72,4.49,14.45
BELLAMBI,10/03/2025,3.3,0.0, ,26.7,21.3,88,73,5.43,12.80
BELLAMBI,11/03/2025,1.4,6.2, ,21.9,19.3,97,86,3.59,5.08
BELLAMBI,12/03/2025,3.4,41.4, ,25.1,18.3,96,76,2.01,19.69
BELLAMBI,13/03/2025, , , ,25.6, ,92,74,3.94,22.36
BELLAMBI,14/03/2025,3.8,0.0, ,26.2,20.7,95,80,2.82,21.65
BELLAMBI,15/03/2025,4.1,0.0, ,29.7,22.3,95,81,3.04,21.88
BELLAMBI,16/03/2025,8.2,0.0, ,36.4,21.7,94,28,8.04,15.04
BELLAMBI,17/03/2025,5.2,0.0, ,20.1,15.2,87,37,10.32,21.26
BELLAMBI,18/03/2025,3.8,0.0, ,22.5,15.4,74,56,3.77,17.49
BELLAMBI,19/03/2025,4.3,0.0, ,24.6,19.2,84,65,6.86,19.42
BELLAMBI,20/03/2025,3.6,5.0, ,24.9,20.4,93,76,4.77,20.41
BELLAMBI,21/03/2025,3.2,0.0, ,25.3,21.1,93,58,4.70,10.57
BELLAMBI,22/03/2025,2.9,2.0, ,23.9,19.7,92,76,6.59,13.85
BELLAMBI,23/03/2025,1.4,15.4, ,21.4,19.5,95,85,3.91,5.14
BELLAMBI,24/03/2025,2.2,0.8, ,25.2,20.1,95,77,2.15,9.90
BELLAMBI,25/03/2025,3.0,0.0, ,25.1,21.0,90,77,3.10,15.00
BELLAMBI,26/03/2025,3.5,1.8, ,26.3,20.2,94,71,3.33,18.52
BELLAMBI,27/03/2025,3.1,0.0, ,25.3,18.1,92,73,4.87,14.82
BELLAMBI,28/03/2025,2.3,0.2, ,24.2,19.3,94,77,4.71,9.69
BELLAMBI,29/03/2025,2.1,29.0, ,22.0,17.3,97,74,7.24,6.76
BELLAMBI,30/03/2025,2.4,30.2, ,23.0,18.1,98,76,11.62,8.65
BELLAMBI,31/03/2025,3.2,3.2, ,22.0,18.3,96,70,10.73,16.47
Totals:,,100.9,176.2, ,,,,,, 
