'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BELLAMBI New South Wales for May 2025,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 June 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BELLAMBI,01/05/2025,2.7,13.2, ,18.8,11.9,93,59,7.61,13.23
BELLAMBI,02/05/2025,2.5,16.6, ,19.7,13.2,90,64,5.63,12.84
BELLAMBI,03/05/2025,2.4,0.0, ,21.0,13.9,84,59,2.99,13.77
BELLAMBI,04/05/2025,2.6,0.0, ,22.7,12.1,87,59,4.19,12.57
BELLAMBI,05/05/2025,2.9,0.0, ,23.3,16.7,85,61,4.80,13.22
BELLAMBI,06/05/2025,3.5,0.0, ,25.5,16.9,84,47,4.58,12.19
BELLAMBI,07/05/2025,3.7,0.0, ,25.3,18.1,72,42,4.17,12.88
BELLAMBI,08/05/2025,2.8,0.8, ,18.8,15.0,88,49,5.99,8.80
BELLAMBI,09/05/2025,2.1,0.2, ,19.7,13.2,89,60,3.93,9.86
BELLAMBI,10/05/2025,2.1,0.2, ,21.1,13.2,87,60,2.68,12.59
BELLAMBI,11/05/2025,1.6,0.0, ,20.7,13.3,91,73,2.83,7.80
BELLAMBI,12/05/2025,1.7,1.6, ,21.3,16.8,88,73,2.37,10.11
BELLAMBI,13/05/2025,1.6,5.0, ,21.5,16.3,94,75,2.43,9.86
BELLAMBI,14/05/2025,2.2,1.0, ,23.2,16.4,90,60,3.09,11.51
BELLAMBI,15/05/2025,1.7,2.6, ,20.1,14.6,95,75,5.47,8.12
BELLAMBI,16/05/2025,1.7,17.0, ,20.5,15.6,95,72,4.32,8.22
BELLAMBI,17/05/2025,2.2,0.0, ,20.5,13.9,88,67,5.00,12.00
BELLAMBI,18/05/2025,2.3,0.0, ,17.4,14.2,93,61,9.14,6.21
BELLAMBI,19/05/2025,3.3,5.2, ,18.3,11.7,89,52,12.48,8.15
BELLAMBI,20/05/2025,3.6,0.8, ,19.9,15.3,83,48,9.31,7.36
BELLAMBI,21/05/2025,1.8,0.8, ,19.5,15.8,95,68,5.27,6.60
BELLAMBI,22/05/2025,1.4,37.2, ,20.3,15.6,94,83,8.31,2.54
BELLAMBI,23/05/2025,2.8,68.0, ,21.5,17.0,96,55,8.49,6.60
BELLAMBI,24/05/2025,2.6,10.8, ,21.5,12.9,81,43,3.59,11.32
BELLAMBI,25/05/2025,2.4,0.0, ,20.3,12.0,79,40,3.32,6.49
BELLAMBI,26/05/2025,3.0,0.0, ,20.9,13.1,87,36,4.94,7.48
BELLAMBI,27/05/2025,3.4,4.0, ,18.4,14.4,87,34,7.13,11.06
BELLAMBI,28/05/2025,3.3,0.0, ,19.5,13.2,60,41,5.07,11.37
BELLAMBI,29/05/2025,2.5,0.0, ,19.0,13.5,78,53,4.89,8.88
BELLAMBI,30/05/2025,1.8,0.0, ,20.1,10.3,87,52,2.30,11.24
BELLAMBI,31/05/2025,1.6,0.0, ,19.1,12.1,91,62,2.44,11.07
Totals:,,75.8,185, ,,,,,, 
