'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BOMBALA New South Wales for June 2025,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 July 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BOMBALA,01/06/2025,1.1,0.0, ,15.4,-2.2,100,35,1.23,9.86
BOMBALA,02/06/2025,0.8,0.2, ,10.3,-2.4,100,49,1.02,7.63
BOMBALA,03/06/2025,1.6,0.0, ,12.3,-3.3,100,44,4.08,7.42
BOMBALA,04/06/2025,1.1,0.4, ,7.4,0.5,94,63,4.84,8.46
BOMBALA,05/06/2025,1.1,0.0, ,10.8,0.0,100,48,2.56,9.46
BOMBALA,06/06/2025,0.9,0.0, ,8.5,-2.9,100,55,2.55,5.60
BOMBALA,07/06/2025,1.9,0.2, ,10.9,-0.2,90,47,6.89,8.96
BOMBALA,08/06/2025,1.2,0.0, ,9.2,0.7,89,54,3.59,6.93
BOMBALA,09/06/2025,1.3,5.8, ,7.9,1.5,89,58,5.34,5.12
BOMBALA,10/06/2025,1.6,13.4, ,9.6,4.4,75,56,5.09,7.71
BOMBALA,11/06/2025,1.2,0.0, ,7.9,3.7,87,59,4.24,5.78
BOMBALA,12/06/2025,0.9,0.2, ,9.9,-1.9,100,50,1.82,8.06
BOMBALA,13/06/2025,0.7,0.0, ,9.2,-3.3,100,54,1.35,7.32
BOMBALA,14/06/2025,0.9,0.4, ,11.1,-0.4,97,47,1.54,8.81
BOMBALA,15/06/2025,0.8,0.0, ,11.4,-1.4,100,48,1.25,8.31
BOMBALA,16/06/2025,0.9,0.0, ,8.8,-4.8,100,54,2.53,7.04
BOMBALA,17/06/2025,1.5,0.0, ,11.3,-1.8,100,47,4.81,9.19
BOMBALA,18/06/2025,0.9,0.0, ,9.2,-3.0,100,54,2.53,9.32
BOMBALA,19/06/2025,0.7,0.0, ,10.9,-5.1,100,48,1.14,8.28
BOMBALA,20/06/2025,0.7,0.0, ,12.6,-6.2,100,44,0.86,9.47
BOMBALA,21/06/2025,0.8,0.2, ,13.5,-5.0,100,40,0.91,9.48
BOMBALA,22/06/2025,0.9,0.2, ,13.4,-5.7,100,40,1.30,8.94
BOMBALA,23/06/2025,2.5,0.2, ,16.3,-2.8,100,34,5.27,8.47
BOMBALA,24/06/2025,3.5,0.4, ,14.5,8.3,68,39,10.62,9.37
BOMBALA,25/06/2025,1.4,0.0, ,7.3,3.4,90,61,9.34,5.16
BOMBALA,26/06/2025,1.0,3.4, ,7.8,0.6,95,61,4.63,7.98
BOMBALA,27/06/2025,0.9,0.0, ,7.4,1.7,85,60,2.64,6.20
BOMBALA,28/06/2025,0.7,0.0, ,11.4,-0.6,100,47,0.97,9.52
BOMBALA,29/06/2025,0.6,0.0, ,9.2,-2.4,100,54,0.98,8.76
BOMBALA,30/06/2025,0.6,0.2, ,8.9,-2.9,100,54,0.97,7.32
Totals:,,34.7,25.2, ,,,,,, 
