'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BOURKE AIRPORT New South Wales for September 2024,,,,,,,,,,
Issued at 22:35 GMT on Tuesday 01 October 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BOURKE AIRPORT,01/09/2024,4.4,0.0, ,28.7,9.6,77,19,2.34,18.84
BOURKE AIRPORT,02/09/2024,5.8,0.0, ,26.4,5.7,72,18,4.83,18.94
BOURKE AIRPORT,03/09/2024,4.5,0.0, ,22.1,7.5,57,19,3.51,19.05
BOURKE AIRPORT,04/09/2024,5.7,0.0, ,28.0,3.8,81,12,3.87,19.16
BOURKE AIRPORT,05/09/2024,6.6,0.0, ,30.1,9.8,63,20,4.90,19.22
BOURKE AIRPORT,06/09/2024,6.9,0.0, ,31.6,9.5,70,20,5.05,19.33
BOURKE AIRPORT,07/09/2024,5.9,0.0, ,31.9,13.2,62,23,3.62,19.38
BOURKE AIRPORT,08/09/2024,4.2,0.0, ,25.9,17.7,63,38,3.30,13.59
BOURKE AIRPORT,09/09/2024,3.6,0.0, ,25.2,13.5,74,19,2.04,13.79
BOURKE AIRPORT,10/09/2024,5.0,0.0, ,26.9,9.1,71,21,3.32,19.72
BOURKE AIRPORT,11/09/2024,5.0,0.0, ,29.0,10.0,66,20,3.07,15.46
BOURKE AIRPORT,12/09/2024,5.5,0.0, ,23.5,14.0,63,30,5.53,20.06
BOURKE AIRPORT,13/09/2024,4.8,0.0, ,24.8,8.9,83,25,3.84,20.25
BOURKE AIRPORT,14/09/2024,5.0,0.0, ,24.9,6.6,76,22,3.73,20.38
BOURKE AIRPORT,15/09/2024,5.7,0.0, ,20.3,8.4,52,17,5.94,20.24
BOURKE AIRPORT,16/09/2024,5.3,0.0, ,22.8,3.7,52,12,3.97,20.63
BOURKE AIRPORT,17/09/2024,5.0,0.0, ,23.8,3.2,51,24,3.65,20.81
BOURKE AIRPORT,18/09/2024,4.5,0.0, ,26.9,3.2,68,15,2.11,20.91
BOURKE AIRPORT,19/09/2024,6.3,0.0, ,29.6,4.1,56,7,3.40,21.05
BOURKE AIRPORT,20/09/2024,5.5,0.0, ,25.8,5.3,43,18,3.43,21.19
BOURKE AIRPORT,21/09/2024,4.8,0.0, ,25.3,3.6,59,20,2.72,21.39
BOURKE AIRPORT,22/09/2024,4.8,0.0, ,27.1,4.6,60,15,2.29,21.53
BOURKE AIRPORT,23/09/2024,5.1,0.0, ,30.0,6.6,52,12,2.12,21.66
BOURKE AIRPORT,24/09/2024, ,0.0, , ,13.3,33,9,3.82,18.26
BOURKE AIRPORT,25/09/2024, , , ,29.7, ,83,20,4.07,12.25
BOURKE AIRPORT,26/09/2024,4.1,1.6, ,23.1,16.2,96,33,4.81,13.72
BOURKE AIRPORT,27/09/2024,5.2,0.0, ,24.2,10.6,77,32,5.05,19.13
BOURKE AIRPORT,28/09/2024,5.2,0.0, ,25.7,8.3,75,27,3.45,22.57
BOURKE AIRPORT,29/09/2024,5.5,0.0, ,28.0,10.6,74,23,3.30,21.85
BOURKE AIRPORT,30/09/2024,6.2,0.0, ,26.9,15.7,62,19,4.13,22.35
Totals:,,146.1,1.6, ,,,,,, 
