'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BOURKE AIRPORT New South Wales for February 2025,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 March 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BOURKE AIRPORT,01/02/2025,11.5,0.0, ,40.9,27.3,51,21,6.09,27.51
BOURKE AIRPORT,02/02/2025,11.0,0.0, ,39.1,28.1,49,20,5.77,27.88
BOURKE AIRPORT,03/02/2025,9.4,0.0, ,37.3,23.6,40,19,4.88,22.52
BOURKE AIRPORT,04/02/2025,7.9,0.0, ,34.5,27.8,61,36,5.27,20.51
BOURKE AIRPORT,05/02/2025,7.8,0.0, ,35.6,21.4,81,33,4.17,27.04
BOURKE AIRPORT,06/02/2025,8.4,0.0, ,38.8,25.0,57,24,3.16,27.89
BOURKE AIRPORT,07/02/2025,8.0,0.0, ,40.4,24.0,55,21,2.80,25.35
BOURKE AIRPORT,08/02/2025,6.7,0.0, ,38.7,25.2,52,24,3.28,13.89
BOURKE AIRPORT,09/02/2025,9.7,0.0, ,41.0,23.9,57,19,4.27,26.15
BOURKE AIRPORT,10/02/2025,9.3,1.0, ,40.9,23.4,83,22,5.58,20.14
BOURKE AIRPORT,11/02/2025,8.5,0.0, ,40.0,22.2,84,24,3.68,27.20
BOURKE AIRPORT,12/02/2025,9.4,0.0, ,40.0,25.3,65,25,4.63,26.55
BOURKE AIRPORT,13/02/2025,10.3,0.0, ,40.0,25.4,66,21,5.40,27.18
BOURKE AIRPORT,14/02/2025,8.2,0.0, ,37.1,27.3,56,33,5.21,18.85
BOURKE AIRPORT,15/02/2025,8.8,0.0, ,32.3,20.4,52,16,5.26,26.01
BOURKE AIRPORT,16/02/2025,8.1,0.0, ,27.7,16.8,40,12,4.93,26.82
BOURKE AIRPORT,17/02/2025,7.5,0.0, ,30.8,13.0,41,11,3.61,26.67
BOURKE AIRPORT,18/02/2025,7.6,0.0, ,35.2,14.7,39,12,2.97,25.92
BOURKE AIRPORT,19/02/2025,8.3,0.0, ,35.8,17.1,32,9,3.42,26.32
BOURKE AIRPORT,20/02/2025,8.5,0.0, ,36.0,18.7,32,12,3.65,26.22
BOURKE AIRPORT,21/02/2025,9.9,0.0, ,37.9,22.5,57,22,5.78,25.31
BOURKE AIRPORT,22/02/2025,9.4,0.0, ,36.7,24.0,41,20,4.89,25.58
BOURKE AIRPORT,23/02/2025,8.5,0.0, ,38.2,21.7,46,17,3.81,23.59
BOURKE AIRPORT,24/02/2025,8.3,0.0, ,40.8,22.4,40,16,3.09,25.06
BOURKE AIRPORT,25/02/2025, ,0.0, ,41.7,24.2,40,15,2.84, 
BOURKE AIRPORT,26/02/2025,9.2,0.0, ,41.7,26.7,39,17,3.70,24.64
BOURKE AIRPORT,27/02/2025,8.3,0.0, ,42.5,25.5,51,14,2.89,25.06
BOURKE AIRPORT,28/02/2025,9.2,0.0, ,42.7,24.1,39,13,3.56,24.62
Totals:,,237.7,1, ,,,,,, 
