'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BOURKE AIRPORT New South Wales for April 2025,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 May 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BOURKE AIRPORT,01/04/2025,3.7,0.0, ,26.9,18.8,97,47,4.00,13.36
BOURKE AIRPORT,02/04/2025,4.1,2.4, ,27.2,18.6,97,46,3.40,17.86
BOURKE AIRPORT,03/04/2025,4.5,0.0, ,29.8,17.8,96,22,2.47,18.27
BOURKE AIRPORT,04/04/2025,5.4,0.0, ,28.7,15.1,64,26,3.58,20.04
BOURKE AIRPORT,05/04/2025,4.5,0.0, ,26.0,12.4,88,24,3.02,19.88
BOURKE AIRPORT,06/04/2025,4.1,0.0, ,27.4,11.6,80,24,2.02,19.72
BOURKE AIRPORT,07/04/2025,4.4,0.0, ,29.3,11.1,93,23,2.39,19.57
BOURKE AIRPORT,08/04/2025,4.5,0.0, ,26.7,13.9,67,27,2.74,19.42
BOURKE AIRPORT,09/04/2025,4.4,0.0, ,28.1,11.0,79,25,2.60,19.27
BOURKE AIRPORT,10/04/2025,4.9,0.0, ,30.9,15.8,76,32,3.08,18.84
BOURKE AIRPORT,11/04/2025,4.7,0.0, ,30.6,17.3,87,32,2.89,18.95
BOURKE AIRPORT,12/04/2025,5.0,0.0, ,29.9,16.6,81,33,3.65,18.80
BOURKE AIRPORT,13/04/2025,4.7,0.0, ,29.1,19.0,77,42,3.66,18.64
BOURKE AIRPORT,14/04/2025,4.2,0.0, ,29.7,16.0,85,37,2.63,18.48
BOURKE AIRPORT,15/04/2025,4.5,0.0, ,28.6,14.5,86,33,3.28,18.32
BOURKE AIRPORT,16/04/2025,4.8,0.0, ,27.8,14.9,71,30,3.67,18.16
BOURKE AIRPORT,17/04/2025,3.8,0.0, ,28.1,9.7,81,19,1.85,18.00
BOURKE AIRPORT,18/04/2025,3.7,0.0, ,28.2,8.9,87,28,2.00,17.85
BOURKE AIRPORT,19/04/2025,4.9,0.0, ,30.4,13.2,75,27,3.34,17.16
BOURKE AIRPORT,20/04/2025,6.0,0.0, ,32.9,12.9,81,22,4.38,16.13
BOURKE AIRPORT,21/04/2025,4.6,0.0, ,24.3,13.7,61,31,4.17,17.27
BOURKE AIRPORT,22/04/2025,4.1,0.0, ,26.4,10.7,91,34,3.72,17.02
BOURKE AIRPORT,23/04/2025,4.3,0.0, ,27.4,16.0,74,37,3.63,16.89
BOURKE AIRPORT,24/04/2025,4.5,0.0, ,27.5,16.8,76,43,4.44,16.62
BOURKE AIRPORT,25/04/2025,3.9,0.0, ,27.6,14.3,95,38,3.39,16.77
BOURKE AIRPORT,26/04/2025,1.4,1.6, ,20.5,17.4,99,70,3.24,3.65
BOURKE AIRPORT,27/04/2025,2.2,8.8, ,20.8,13.0,99,68,3.20,12.98
BOURKE AIRPORT,28/04/2025,3.1,0.4, ,25.9,12.0,100,44,2.45,16.39
BOURKE AIRPORT,29/04/2025,3.3,0.2, ,24.8,16.0,91,49,3.38,16.26
BOURKE AIRPORT,30/04/2025,3.4,0.0, ,22.9,10.5,93,35,3.45,16.13
Totals:,,125.6,13.4, ,,,,,, 
