'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BRAIDWOOD RACECOURSE New South Wales for October 2024,,,,,,,,,,
Issued at 22:35 GMT on Friday 01 November 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BRAIDWOOD RACECOURSE,01/10/2024,3.4,0.0, ,20.4,7.8,94,34,1.32,21.72
BRAIDWOOD RACECOURSE,02/10/2024,1.9,0.6, ,14.1,8.7,96,72,2.00,12.53
BRAIDWOOD RACECOURSE,03/10/2024,2.8,0.0, ,18.5,0.9,98,46,0.73,21.28
BRAIDWOOD RACECOURSE,04/10/2024,2.7,0.2, ,20.3,3.1,98,45,1.69,15.19
BRAIDWOOD RACECOURSE,05/10/2024,3.9,0.8, ,19.2,9.5,94,38,4.90,18.51
BRAIDWOOD RACECOURSE,06/10/2024,4.0,0.0, ,18.0,9.2,82,48,4.89,22.73
BRAIDWOOD RACECOURSE,07/10/2024,4.6,0.0, ,22.0,7.3,96,39,5.81,20.80
BRAIDWOOD RACECOURSE,08/10/2024,1.8,0.4, ,11.2,5.9,95,69,3.32,11.65
BRAIDWOOD RACECOURSE,09/10/2024,2.3,0.2, ,13.5,0.3,96,57,1.48,17.50
BRAIDWOOD RACECOURSE,10/10/2024,3.8,0.0, ,22.4,0.0,98,39,1.98,23.64
BRAIDWOOD RACECOURSE,11/10/2024,4.3,0.0, ,24.1,3.4,98,35,2.62,22.81
BRAIDWOOD RACECOURSE,12/10/2024,3.2,0.0, ,15.0,8.0,97,48,3.11,20.75
BRAIDWOOD RACECOURSE,13/10/2024,3.5,0.0, ,20.3,2.6,93,35,0.76,24.80
BRAIDWOOD RACECOURSE,14/10/2024,3.3,0.0, ,21.8,6.6,95,42,2.54,15.97
BRAIDWOOD RACECOURSE,15/10/2024,1.9,6.2, ,12.3,8.8,97,72,3.23,11.65
BRAIDWOOD RACECOURSE,16/10/2024,3.3,0.0, ,18.5,0.8,97,53,1.14,24.61
BRAIDWOOD RACECOURSE,17/10/2024,3.8,0.0, ,24.4,2.2,98,35,0.94,24.45
BRAIDWOOD RACECOURSE,18/10/2024,1.7,0.4, ,20.9,11.5,95,69,1.85,6.36
BRAIDWOOD RACECOURSE,19/10/2024,3.8,4.6, ,22.6,11.5,97,37,2.47,17.91
BRAIDWOOD RACECOURSE,20/10/2024,4.3,0.0, ,21.8,2.0,96,37,2.45,26.00
BRAIDWOOD RACECOURSE,21/10/2024,3.8,0.0, ,18.6,3.8,98,50,3.23,25.52
BRAIDWOOD RACECOURSE,22/10/2024,4.0,0.0, ,25.9,5.2,97,34,0.83,24.79
BRAIDWOOD RACECOURSE,23/10/2024,2.0,0.0, ,22.3,6.5,97,41,0.80,8.43
BRAIDWOOD RACECOURSE,24/10/2024,3.5,0.0, ,18.1,7.0,98,51,2.42,22.82
BRAIDWOOD RACECOURSE,25/10/2024,3.6,0.0, ,17.4,4.2,98,27,1.66,23.26
BRAIDWOOD RACECOURSE,26/10/2024,3.7,0.0, ,16.9,-0.4,96,29,1.68,27.03
BRAIDWOOD RACECOURSE,27/10/2024,3.4,0.0, ,22.2,1.7,97,25,0.99,19.93
BRAIDWOOD RACECOURSE,28/10/2024,4.5,0.0, ,25.4,3.5,96,26,2.81,18.66
BRAIDWOOD RACECOURSE,29/10/2024,4.6,0.0, ,23.0,7.5,96,29,1.58,27.44
BRAIDWOOD RACECOURSE,30/10/2024,5.1,0.0, ,27.2,9.5,98,21,1.70,26.89
BRAIDWOOD RACECOURSE,31/10/2024,4.0,0.0, ,24.6,8.3,98,22,2.51,14.41
Totals:,,106.5,13.4, ,,,,,, 
