'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BRAIDWOOD RACECOURSE New South Wales for December 2024,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 January 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BRAIDWOOD RACECOURSE,01/12/2024,4.2,28.2, ,25.3,15.1,97,49,1.96,20.00
BRAIDWOOD RACECOURSE,02/12/2024,6.4,0.0, ,29.3,9.8,95,26,2.39,31.46
BRAIDWOOD RACECOURSE,03/12/2024,2.5,0.0, ,24.2,14.5,95,71,1.87,10.80
BRAIDWOOD RACECOURSE,04/12/2024,4.6,1.8, ,24.8,16.5,95,58,2.64,23.50
BRAIDWOOD RACECOURSE,05/12/2024,5.4,1.6, ,31.3,13.6,93,45,1.27,26.64
BRAIDWOOD RACECOURSE,06/12/2024,4.9,0.0, ,32.4,16.4,98,47,2.07,20.36
BRAIDWOOD RACECOURSE,07/12/2024,6.2,16.2, ,30.1,18.1,97,42,3.99,25.61
BRAIDWOOD RACECOURSE,08/12/2024,6.6,0.0, ,27.3,17.0,96,23,3.43,29.97
BRAIDWOOD RACECOURSE,09/12/2024,3.3,0.0, ,21.7,12.1,97,40,1.55,15.97
BRAIDWOOD RACECOURSE,10/12/2024,5.1,0.0, ,22.9,11.1,98,47,2.54,29.24
BRAIDWOOD RACECOURSE,11/12/2024,5.7,1.4, ,26.5,12.1,97,30,1.88,30.18
BRAIDWOOD RACECOURSE,12/12/2024,6.1,0.0, ,29.3,12.9,97,28,1.58,31.36
BRAIDWOOD RACECOURSE,13/12/2024,6.8,0.0, ,30.0,12.9,97,23,3.08,29.64
BRAIDWOOD RACECOURSE,14/12/2024,6.0,0.0, ,30.7,14.7,95,28,1.61,29.02
BRAIDWOOD RACECOURSE,15/12/2024,6.0,0.0, ,26.9,15.1,97,44,2.40,31.27
BRAIDWOOD RACECOURSE,16/12/2024,6.4,0.0, ,34.3,11.7,98,28,1.15,31.67
BRAIDWOOD RACECOURSE,17/12/2024,5.3,0.0, ,31.1,18.3,96,38,3.43,18.59
BRAIDWOOD RACECOURSE,18/12/2024,4.9,0.8, ,20.0,11.2,96,44,4.24,28.08
BRAIDWOOD RACECOURSE,19/12/2024,4.8,0.0, ,20.8,7.9,95,48,3.02,29.26
BRAIDWOOD RACECOURSE,20/12/2024,5.6,0.0, ,27.7,5.0,98,29,1.36,32.06
BRAIDWOOD RACECOURSE,21/12/2024,6.0,0.0, ,29.3,8.6,97,30,2.79,26.77
BRAIDWOOD RACECOURSE,22/12/2024,5.5,0.0, ,29.5,12.9,95,22,1.73,25.17
BRAIDWOOD RACECOURSE,23/12/2024,6.3,0.0, ,22.4,8.5,96,17,4.76,30.43
BRAIDWOOD RACECOURSE,24/12/2024,5.7,0.0, ,23.7,4.0,95,30,2.99,32.21
BRAIDWOOD RACECOURSE,25/12/2024,6.1,0.0, ,29.5,6.8,98,26,1.76,32.02
BRAIDWOOD RACECOURSE,26/12/2024,6.8,0.0, ,33.6,8.5,98,17,1.75,32.18
BRAIDWOOD RACECOURSE,27/12/2024,7.1,0.4, ,29.0,14.7,90,27,4.20,30.03
BRAIDWOOD RACECOURSE,28/12/2024,6.2,0.0, ,26.3,12.0,94,20,2.95,29.05
BRAIDWOOD RACECOURSE,29/12/2024,6.1,0.0, ,27.3,5.9,97,26,2.84,29.59
BRAIDWOOD RACECOURSE,30/12/2024,6.2,0.0, ,30.5,13.7,94,22,1.68,30.11
BRAIDWOOD RACECOURSE,31/12/2024,2.8,0.0, ,22.2,14.7,96,73,3.17,13.62
Totals:,,171.6,50.4, ,,,,,, 
