'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BRAIDWOOD RACECOURSE New South Wales for June 2025,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 July 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BRAIDWOOD RACECOURSE,01/06/2025,0.9,0.0, ,17.7,5.2,98,42,0.55,10.18
BRAIDWOOD RACECOURSE,02/06/2025,0.7,0.0, ,15.0,-1.6,98,49,0.36,8.28
BRAIDWOOD RACECOURSE,03/06/2025,1.2,0.2, ,15.2,-2.4,99,40,1.42,10.56
BRAIDWOOD RACECOURSE,04/06/2025,1.8,0.0, ,10.4,4.2,82,49,5.38,10.52
BRAIDWOOD RACECOURSE,05/06/2025,0.9,0.0, ,12.6,-0.6,97,48,1.10,10.48
BRAIDWOOD RACECOURSE,06/06/2025,0.9,0.0, ,11.9,-3.3,97,40,1.01,6.67
BRAIDWOOD RACECOURSE,07/06/2025,1.4,0.0, ,10.5,4.7,88,63,5.43,8.83
BRAIDWOOD RACECOURSE,08/06/2025,1.0,0.4, ,7.3,4.0,91,73,4.94,7.71
BRAIDWOOD RACECOURSE,09/06/2025,1.0,0.6, ,8.5,2.5,89,72,3.96,5.44
BRAIDWOOD RACECOURSE,10/06/2025,1.3,2.4, ,11.9,3.7,92,53,3.05,10.14
BRAIDWOOD RACECOURSE,11/06/2025,0.9,0.0, ,12.1,-1.3,98,48,1.39,9.71
BRAIDWOOD RACECOURSE,12/06/2025,0.7,0.0, ,11.1,-3.4,98,52,0.67,10.05
BRAIDWOOD RACECOURSE,13/06/2025,0.8,0.2, ,10.7,-1.1,96,66,1.77,8.68
BRAIDWOOD RACECOURSE,14/06/2025,0.6,0.0, ,11.9,0.2,98,63,0.43,8.46
BRAIDWOOD RACECOURSE,15/06/2025,0.9,0.0, ,12.7,0.5,98,63,1.57,8.00
BRAIDWOOD RACECOURSE,16/06/2025,0.7,0.2, ,11.2,-4.0,99,61,0.95,9.31
BRAIDWOOD RACECOURSE,17/06/2025,1.4,0.0, ,11.8,1.0,93,51,3.57,10.19
BRAIDWOOD RACECOURSE,18/06/2025,0.6,0.0, ,11.6,-3.4,97,47,0.45,10.20
BRAIDWOOD RACECOURSE,19/06/2025,0.6,0.0, ,13.2,-5.5,97,50,0.48,9.37
BRAIDWOOD RACECOURSE,20/06/2025,0.5,0.2, ,13.5,-5.5,98,40,0.15,10.18
BRAIDWOOD RACECOURSE,21/06/2025,0.5,0.0, ,16.4,-6.6,99,28,0.13,10.16
BRAIDWOOD RACECOURSE,22/06/2025,0.7,0.2, ,16.2,-6.0,97,35,0.44,9.55
BRAIDWOOD RACECOURSE,23/06/2025,1.1,0.0, ,15.9,-1.2,98,61,2.30,9.06
BRAIDWOOD RACECOURSE,24/06/2025,1.8,6.2, ,14.0,8.7,95,47,4.85,8.92
BRAIDWOOD RACECOURSE,25/06/2025,1.2,2.0, ,8.2,4.0,92,65,6.83,7.43
BRAIDWOOD RACECOURSE,26/06/2025,1.0,0.8, ,9.6,-0.8,95,49,2.22,10.15
BRAIDWOOD RACECOURSE,27/06/2025,0.6,0.0, ,10.5,-4.1,97,57,0.68,10.16
BRAIDWOOD RACECOURSE,28/06/2025,0.6,0.0, ,13.7,-4.8,99,50,0.40,10.21
BRAIDWOOD RACECOURSE,29/06/2025,0.6,0.0, ,13.3,-3.7,99,53,0.34,10.14
BRAIDWOOD RACECOURSE,30/06/2025,0.7,0.2, ,10.7,-3.2,99,60,1.12,9.13
Totals:,,27.6,13.6, ,,,,,, 
