'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BRAIDWOOD RACECOURSE New South Wales for August 2025,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 September 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BRAIDWOOD RACECOURSE,01/08/2025,0.8,0.4, ,9.4,2.0,97,85,3.50,8.58
BRAIDWOOD RACECOURSE,02/08/2025,0.9,25.2, ,9.8,5.5,97,85,5.07,8.03
BRAIDWOOD RACECOURSE,03/08/2025,0.9,11.4, ,11.0,6.8,98,89,3.93,10.31
BRAIDWOOD RACECOURSE,04/08/2025,1.2,1.0, ,14.7,5.3,98,61,1.20,10.72
BRAIDWOOD RACECOURSE,05/08/2025,1.6,0.0, ,15.5,5.0,97,46,2.11,10.54
BRAIDWOOD RACECOURSE,06/08/2025,1.5,0.0, ,14.0,-1.5,98,45,1.58,13.09
BRAIDWOOD RACECOURSE,07/08/2025,1.2,0.0, ,12.9,-0.5,97,56,0.97,12.29
BRAIDWOOD RACECOURSE,08/08/2025,1.3,0.0, ,11.7,4.0,93,56,1.50,12.67
BRAIDWOOD RACECOURSE,09/08/2025,0.9,0.0, ,10.5,2.4,97,85,2.98,8.38
BRAIDWOOD RACECOURSE,10/08/2025,1.2,3.0, ,10.6,4.8,98,73,2.59,10.61
BRAIDWOOD RACECOURSE,11/08/2025,1.2,1.2, ,11.6,1.0,98,68,1.60,11.67
BRAIDWOOD RACECOURSE,12/08/2025,1.3,0.0, ,13.9,0.3,98,48,0.74,13.30
BRAIDWOOD RACECOURSE,13/08/2025,1.3,0.2, ,13.1,0.9,99,47,0.89,11.25
BRAIDWOOD RACECOURSE,14/08/2025,1.5,2.2, ,12.3,1.7,98,62,2.36,13.24
BRAIDWOOD RACECOURSE,15/08/2025,1.5,0.0, ,14.5,-0.8,99,59,1.69,12.76
BRAIDWOOD RACECOURSE,16/08/2025,2.0,0.0, ,12.2,4.8,91,40,3.52,12.04
BRAIDWOOD RACECOURSE,17/08/2025,1.4,0.2, ,10.2,-1.7,96,44,1.53,12.24
BRAIDWOOD RACECOURSE,18/08/2025,1.4,0.0, ,10.4,-3.6,97,55,1.99,13.78
BRAIDWOOD RACECOURSE,19/08/2025,1.3,0.0, ,10.2,1.1,97,66,2.66,10.95
BRAIDWOOD RACECOURSE,20/08/2025,1.4,5.0, ,12.2,4.2,99,67,2.72,10.80
BRAIDWOOD RACECOURSE,21/08/2025,1.3,8.4, ,12.5,7.4,97,77,3.50,10.50
BRAIDWOOD RACECOURSE,22/08/2025,1.5,0.6, ,15.5,8.4,98,65,0.93,11.79
BRAIDWOOD RACECOURSE,23/08/2025,2.1,0.0, ,15.7,7.5,98,52,2.66,14.60
BRAIDWOOD RACECOURSE,24/08/2025,2.1,0.0, ,13.4,4.1,79,59,4.44,12.01
BRAIDWOOD RACECOURSE,25/08/2025,1.6,0.0, ,16.3,7.2,98,76,2.67,12.52
BRAIDWOOD RACECOURSE,26/08/2025,2.0,0.0, ,19.0,8.6,98,48,1.67,11.43
BRAIDWOOD RACECOURSE,27/08/2025,2.1,9.8, ,12.4,8.9,95,54,6.07,11.51
BRAIDWOOD RACECOURSE,28/08/2025,2.2,4.6, ,10.1,5.0,79,65,7.98,15.72
BRAIDWOOD RACECOURSE,29/08/2025,2.4,0.0, ,13.2,5.6,93,52,7.08,13.43
BRAIDWOOD RACECOURSE,30/08/2025,2.3,4.2, ,11.3,2.1,90,44,5.00,14.85
BRAIDWOOD RACECOURSE,31/08/2025,1.9,0.0, ,14.9,-0.8,95,52,1.26,16.88
Totals:,,47.3,77.4, ,,,,,, 
