'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BYRON BAY (CAPE BYRON) New South Wales for December 2024,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 January 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BYRON BAY (CAPE BYRON),01/12/2024,2.3,97.4, ,24.4,20.6,99,90,5.52,12.93
BYRON BAY (CAPE BYRON),02/12/2024,4.8,21.6, ,27.2,20.8,99,83,5.55,28.88
BYRON BAY (CAPE BYRON),03/12/2024,4.6,0.0, ,25.9,22.4,97,76,5.91,25.16
BYRON BAY (CAPE BYRON),04/12/2024,4.9,0.0, ,26.8,21.9,98,81,6.07,29.04
BYRON BAY (CAPE BYRON),05/12/2024,5.6,8.2, ,30.5,22.4,98,69,3.95,27.44
BYRON BAY (CAPE BYRON),06/12/2024,6.4,0.0, ,30.4,22.1,93,62,4.25,30.80
BYRON BAY (CAPE BYRON),07/12/2024,5.5,0.0, ,26.6,21.7,95,73,6.60,31.15
BYRON BAY (CAPE BYRON),08/12/2024,4.1,0.0, ,27.5,21.4,95,78,6.36,20.73
BYRON BAY (CAPE BYRON),09/12/2024,2.2,0.0, ,25.4,21.4,97,89,5.57,11.09
BYRON BAY (CAPE BYRON),10/12/2024,3.1,2.2, ,30.3,23.2,99,76,2.72,12.61
BYRON BAY (CAPE BYRON),11/12/2024,3.6,29.6, ,24.7,17.8,99,73,7.27,17.89
BYRON BAY (CAPE BYRON),12/12/2024,6.3,0.0, ,29.5,19.8,88,62,4.38,31.10
BYRON BAY (CAPE BYRON),13/12/2024,6.3,0.0, ,30.7,20.9,92,66,2.93,31.17
BYRON BAY (CAPE BYRON),14/12/2024,3.1,0.0, ,27.8,22.6,95,76,1.95,13.92
BYRON BAY (CAPE BYRON),15/12/2024,4.1,1.4, ,26.5,22.1,98,84,5.73,23.57
BYRON BAY (CAPE BYRON),16/12/2024,4.2,3.2, ,26.5,23.0,96,80,9.99,23.02
BYRON BAY (CAPE BYRON),17/12/2024,4.9,7.8, ,31.0,23.2,96,75,5.14,22.41
BYRON BAY (CAPE BYRON),18/12/2024,4.0,0.2, ,29.1,24.4,97,64,10.66,9.17
BYRON BAY (CAPE BYRON),19/12/2024,6.5,1.8, ,24.6,18.2,78,49,9.75,26.69
BYRON BAY (CAPE BYRON),20/12/2024,5.9,0.0, ,25.0,18.0,90,56,6.44,29.99
BYRON BAY (CAPE BYRON),21/12/2024,6.4,0.0, ,28.5,20.1,83,61,4.41,31.42
BYRON BAY (CAPE BYRON),22/12/2024,6.2,0.0, ,27.6,22.1,87,67,6.20,31.51
BYRON BAY (CAPE BYRON),23/12/2024,6.0,0.0, ,27.0,22.8,89,68,8.71,30.04
BYRON BAY (CAPE BYRON),24/12/2024,6.4,0.0, ,25.5,21.2,83,54,9.07,27.84
BYRON BAY (CAPE BYRON),25/12/2024,6.1,0.0, ,25.7,18.0,78,61,7.11,29.26
BYRON BAY (CAPE BYRON),26/12/2024,7.2,0.0, ,30.8,20.4,76,51,4.47,31.30
BYRON BAY (CAPE BYRON),27/12/2024,6.3,0.0, ,26.4,21.8,88,63,8.36,31.36
BYRON BAY (CAPE BYRON),28/12/2024,5.4,0.0, ,27.1,22.7,93,77,6.83,30.21
BYRON BAY (CAPE BYRON),29/12/2024,4.9,0.0, ,27.8,23.0,95,76,6.00,25.00
BYRON BAY (CAPE BYRON),30/12/2024,4.8,0.0, ,26.3,20.8,93,71,6.85,24.16
BYRON BAY (CAPE BYRON),31/12/2024,6.0,0.0, ,29.3,21.4,90,60,4.84,27.71
Totals:,,158.1,173.4, ,,,,,, 
