'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BYRON BAY (CAPE BYRON) New South Wales for May 2025,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 June 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BYRON BAY (CAPE BYRON),01/05/2025,3.7,0.0, ,20.7,15.6,85,59,10.54,15.41
BYRON BAY (CAPE BYRON),02/05/2025,3.0,3.0, ,21.5,13.5,98,60,8.96,11.43
BYRON BAY (CAPE BYRON),03/05/2025,3.0,11.0, ,21.6,14.0,98,63,9.10,13.36
BYRON BAY (CAPE BYRON),04/05/2025,3.0,4.4, ,22.3,15.6,97,64,7.24,14.99
BYRON BAY (CAPE BYRON),05/05/2025,3.4,1.2, ,24.3,16.9,84,64,6.52,13.91
BYRON BAY (CAPE BYRON),06/05/2025,2.6,1.4, ,22.6,16.7,97,70,5.14,14.99
BYRON BAY (CAPE BYRON),07/05/2025,2.5,0.0, ,21.9,15.9,95,73,4.86,15.42
BYRON BAY (CAPE BYRON),08/05/2025,3.7,0.0, ,23.1,17.3,89,61,9.10,15.69
BYRON BAY (CAPE BYRON),09/05/2025,2.9,5.6, ,21.3,17.5,97,65,12.49,10.14
BYRON BAY (CAPE BYRON),10/05/2025,3.1,5.8, ,21.3,16.4,93,63,10.86,11.57
BYRON BAY (CAPE BYRON),11/05/2025,3.1,1.4, ,22.8,17.1,94,65,9.45,12.59
BYRON BAY (CAPE BYRON),12/05/2025,2.5,3.0, ,22.8,17.8,94,72,7.17,11.72
BYRON BAY (CAPE BYRON),13/05/2025,2.2,2.0, ,22.7,16.8,98,76,6.85,11.64
BYRON BAY (CAPE BYRON),14/05/2025,2.2,0.6, ,21.5,17.6,95,71,5.68,10.59
BYRON BAY (CAPE BYRON),15/05/2025,1.7,15.4, ,20.0,16.6,99,82,7.58,10.57
BYRON BAY (CAPE BYRON),16/05/2025,2.0,0.6, ,22.6,17.1,99,77,4.64,11.54
BYRON BAY (CAPE BYRON),17/05/2025,1.7,42.0, ,21.2,16.3,99,82,4.25,10.84
BYRON BAY (CAPE BYRON),18/05/2025,1.8,0.2, ,20.8,16.4,98,78,7.10,9.75
BYRON BAY (CAPE BYRON),19/05/2025,1.9,4.8, ,18.8,14.2,98,74,8.17,9.18
BYRON BAY (CAPE BYRON),20/05/2025,2.4,0.0, ,21.7,15.0,93,74,6.79,14.54
BYRON BAY (CAPE BYRON),21/05/2025,2.1,0.0, ,22.3,16.5,99,79,5.74,13.91
BYRON BAY (CAPE BYRON),22/05/2025,2.5,0.0, ,23.8,15.6,94,66,3.54,14.39
BYRON BAY (CAPE BYRON),23/05/2025,3.0,0.0, ,24.0,16.5,82,56,4.15,13.03
BYRON BAY (CAPE BYRON),24/05/2025,3.5,0.0, ,25.0,17.0,78,43,4.04,13.23
BYRON BAY (CAPE BYRON),25/05/2025,2.1,0.0, ,22.9,18.7,94,64,2.86,10.79
BYRON BAY (CAPE BYRON),26/05/2025,2.1,0.0, ,23.7,17.8,94,79,4.40,12.52
BYRON BAY (CAPE BYRON),27/05/2025,4.5,0.0, ,26.2,19.7,89,39,7.19,10.95
BYRON BAY (CAPE BYRON),28/05/2025,4.2,0.0, ,20.7,13.3,57,38,5.77,13.84
BYRON BAY (CAPE BYRON),29/05/2025,3.3,0.0, ,19.3,14.7,73,56,6.82,12.14
BYRON BAY (CAPE BYRON),30/05/2025,1.7,0.0, ,19.5,13.8,98,73,6.21,7.91
BYRON BAY (CAPE BYRON),31/05/2025,2.3,38.2, ,20.3,14.9,96,69,9.80,7.03
Totals:,,83.7,140.6, ,,,,,, 
