'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BYRON BAY (CAPE BYRON) New South Wales for August 2025,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 September 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BYRON BAY (CAPE BYRON),01/08/2025,2.7,7.8, ,18.4,11.3,96,57,7.51,13.58
BYRON BAY (CAPE BYRON),02/08/2025,2.8,10.2, ,18.9,11.2,98,51,5.88,14.04
BYRON BAY (CAPE BYRON),03/08/2025,2.4,0.8, ,18.5,7.3,97,69,11.59,12.73
BYRON BAY (CAPE BYRON),04/08/2025,2.0,8.6, ,18.8,8.7,97,77,9.29,13.33
BYRON BAY (CAPE BYRON),05/08/2025,2.8,0.0, ,20.3,14.1,88,65,5.73,15.86
BYRON BAY (CAPE BYRON),06/08/2025,3.7,0.0, ,20.7,14.9,83,48,6.46,15.74
BYRON BAY (CAPE BYRON),07/08/2025,3.0,0.0, ,19.4,13.7,87,59,6.83,13.17
BYRON BAY (CAPE BYRON),08/08/2025,2.9,1.8, ,18.4,15.2,94,56,10.44,8.00
BYRON BAY (CAPE BYRON),09/08/2025,2.9,13.2, ,18.7,14.3,93,62,10.97,11.95
BYRON BAY (CAPE BYRON),10/08/2025,2.2,10.8, ,17.9,12.9,97,71,8.33,12.21
BYRON BAY (CAPE BYRON),11/08/2025,2.3,23.8, ,18.0,10.9,97,71,7.52,15.15
BYRON BAY (CAPE BYRON),12/08/2025,2.3,7.8, ,17.5,11.0,95,68,5.72,15.71
BYRON BAY (CAPE BYRON),13/08/2025,2.7,0.0, ,20.0,12.2,91,64,6.05,13.17
BYRON BAY (CAPE BYRON),14/08/2025,2.4,2.8, ,17.0,11.3,93,66,6.73,14.80
BYRON BAY (CAPE BYRON),15/08/2025,2.3,5.2, ,18.3,10.9,96,70,6.88,14.63
BYRON BAY (CAPE BYRON),16/08/2025,3.3,0.0, ,21.7,12.4,87,47,3.83,17.30
BYRON BAY (CAPE BYRON),17/08/2025,3.7,0.0, ,17.6,12.5,67,45,5.25,17.43
BYRON BAY (CAPE BYRON),18/08/2025,3.4,0.0, ,17.5,10.5,71,60,7.47,16.70
BYRON BAY (CAPE BYRON),19/08/2025,1.8,6.2, ,14.1,9.6,97,70,7.03,9.76
BYRON BAY (CAPE BYRON),20/08/2025,1.5,7.8, ,19.0,10.2,98,85,5.40,9.27
BYRON BAY (CAPE BYRON),21/08/2025,2.2,57.0, ,19.6,12.9,98,72,10.10,8.76
BYRON BAY (CAPE BYRON),22/08/2025,2.6,60.4, ,21.6,13.9,98,74,3.22,17.44
BYRON BAY (CAPE BYRON),23/08/2025,3.3,0.0, ,19.8,13.5,95,52,5.62,18.25
BYRON BAY (CAPE BYRON),24/08/2025,3.0,0.0, ,18.9,14.2,88,67,7.07,17.87
BYRON BAY (CAPE BYRON),25/08/2025,3.2,0.0, ,19.7,13.3,98,59,8.58,16.84
BYRON BAY (CAPE BYRON),26/08/2025,3.0,4.8, ,22.6,15.1,98,60,4.03,16.32
BYRON BAY (CAPE BYRON),27/08/2025,3.3,0.0, ,21.7,14.5,93,67,7.09,18.74
BYRON BAY (CAPE BYRON),28/08/2025,4.5,0.0, ,24.1,17.9,92,30,4.41,18.83
BYRON BAY (CAPE BYRON),29/08/2025,4.6,0.0, ,22.4,13.3,69,35,4.73,19.05
BYRON BAY (CAPE BYRON),30/08/2025,5.6,0.0, ,19.4,13.0,55,23,7.01,19.16
BYRON BAY (CAPE BYRON),31/08/2025,4.0,0.0, ,17.6,11.0,73,47,7.04,19.22
Totals:,,92.4,229, ,,,,,, 
