'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CABRAMURRA SMHEA New South Wales for December 2024,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 January 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CABRAMURRA SMHEA,01/12/2024,3.1,42.2, ,16.5,11.0,100,57,7.13,15.59
CABRAMURRA SMHEA,02/12/2024,6.1,0.0, ,20.6,10.5,71,41,6.57,30.90
CABRAMURRA SMHEA,03/12/2024, ,5.0, , ,12.5,100,49,8.64,6.59
CABRAMURRA SMHEA,04/12/2024, , , , , ,100,63,4.98,25.42
CABRAMURRA SMHEA,05/12/2024, , , ,22.0, ,100,66,3.69,11.84
CABRAMURRA SMHEA,06/12/2024,4.3,0.6, ,23.4,15.7,98,61,4.75,21.55
CABRAMURRA SMHEA,07/12/2024,2.0,39.4, ,20.0,14.5,100,78,7.88,8.12
CABRAMURRA SMHEA,08/12/2024,5.6,2.4, ,17.3,11.4,100,27,7.42,31.76
CABRAMURRA SMHEA,09/12/2024,3.4,0.0, ,13.8,8.0,79,54,3.57,19.85
CABRAMURRA SMHEA,10/12/2024,4.8,0.0, ,17.2,7.2,90,47,3.79,30.95
CABRAMURRA SMHEA,11/12/2024,5.1,0.0, ,17.3,7.8,98,38,4.79,31.90
CABRAMURRA SMHEA,12/12/2024,5.7,0.0, ,19.6,9.3,67,41,3.83,31.95
CABRAMURRA SMHEA,13/12/2024,6.2,0.0, ,21.3,12.9,64,43,5.32,30.64
CABRAMURRA SMHEA,14/12/2024,6.1,0.0, ,21.8,13.0,70,37,4.41,29.60
CABRAMURRA SMHEA,15/12/2024,6.6,0.0, ,23.8,14.6,91,29,4.71,32.05
CABRAMURRA SMHEA,16/12/2024,6.7,0.0, ,26.2,15.6,85,48,5.66,32.04
CABRAMURRA SMHEA,17/12/2024,6.6,0.0, ,22.6,18.4,71,29,7.81,21.02
CABRAMURRA SMHEA,18/12/2024,5.7,0.0, ,18.3,5.5,98,28,8.01,32.00
CABRAMURRA SMHEA,19/12/2024,6.1,0.0, ,20.0,4.3,92,26,6.78,32.13
CABRAMURRA SMHEA,20/12/2024,5.8,0.0, ,21.4,9.9,81,42,4.30,32.03
CABRAMURRA SMHEA,21/12/2024,6.9,0.0, ,23.3,14.2,81,26,5.62,30.83
CABRAMURRA SMHEA,22/12/2024,5.7,0.0, ,19.9,9.2,96,30,6.69,29.55
CABRAMURRA SMHEA,23/12/2024,3.5,1.0, ,11.2,3.6,100,40,8.14,23.51
CABRAMURRA SMHEA,24/12/2024,4.9,0.0, ,17.9,1.4,82,46,5.06,32.08
CABRAMURRA SMHEA,25/12/2024,6.0,0.0, ,22.5,7.5,73,34,3.73,32.06
CABRAMURRA SMHEA,26/12/2024,8.0,0.0, ,24.8,14.4,58,31,7.61,32.02
CABRAMURRA SMHEA,27/12/2024,6.5,1.0, ,17.9,13.2,67,29,8.16,30.64
CABRAMURRA SMHEA,28/12/2024,5.4,0.0, ,15.9,6.9,74,32,6.82,31.19
CABRAMURRA SMHEA,29/12/2024,5.4,0.0, ,19.4,8.5,95,38,4.31,31.71
CABRAMURRA SMHEA,30/12/2024,5.8,0.0, ,22.6,9.5,97,40,5.29,31.20
CABRAMURRA SMHEA,31/12/2024,6.4,0.0, ,23.2,10.8,88,31,6.06,29.79
Totals:,,154.4,91.6, ,,,,,, 
