'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CABRAMURRA SMHEA New South Wales for February 2025,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 March 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CABRAMURRA SMHEA,01/02/2025,6.1,0.0, ,27.3,12.6,94,36,4.54,26.75
CABRAMURRA SMHEA,02/02/2025,6.7,0.0, ,27.7,14.8,85,26,4.35,27.27
CABRAMURRA SMHEA,03/02/2025,7.2,0.0, ,28.3,17.7,58,17,3.61,28.70
CABRAMURRA SMHEA,04/02/2025,6.5,0.0, ,26.7,16.8,73,35,4.84,26.30
CABRAMURRA SMHEA,05/02/2025,5.6,0.2, ,26.1,15.7,92,42,5.62,23.14
CABRAMURRA SMHEA,06/02/2025,6.1,0.2, ,25.5,11.7,64,33,3.44,28.23
CABRAMURRA SMHEA,07/02/2025,5.2,0.0, ,25.4,17.3,93,47,5.36,21.93
CABRAMURRA SMHEA,08/02/2025,3.9,0.4, ,21.1,13.8,90,54,5.97,16.77
CABRAMURRA SMHEA,09/02/2025,3.4,0.0, ,21.0,12.1,96,56,7.94,11.70
CABRAMURRA SMHEA,10/02/2025,3.8,0.4, ,19.3,10.1,95,52,7.82,16.94
CABRAMURRA SMHEA,11/02/2025,3.6,0.2, ,18.8,9.4,96,55,5.36,18.94
CABRAMURRA SMHEA,12/02/2025,5.0,0.2, ,22.4,10.1,99,44,5.43,26.04
CABRAMURRA SMHEA,13/02/2025,4.4,0.0, ,21.9,12.0,91,58,6.62,22.72
CABRAMURRA SMHEA,14/02/2025,1.4,0.2, ,15.3,13.7,100,74,6.76,3.66
CABRAMURRA SMHEA,15/02/2025,2.6,0.0, ,10.4,6.8,100,58,8.29,19.64
CABRAMURRA SMHEA,16/02/2025,3.2,0.2, ,11.0,-1.4,89,50,5.16,25.70
CABRAMURRA SMHEA,17/02/2025,4.0,0.0, ,16.0,1.7,87,44,4.54,26.49
CABRAMURRA SMHEA,18/02/2025,4.1,0.0, ,17.5,6.0,80,38,3.71,22.12
CABRAMURRA SMHEA,19/02/2025,4.4, , ,18.4,8.0,90,41,4.34,24.94
CABRAMURRA SMHEA,20/02/2025,4.1, , ,20.2,6.6,98,50,6.18,22.13
CABRAMURRA SMHEA,21/02/2025,4.6, , ,21.4,7.5,97,38,3.41,25.59
CABRAMURRA SMHEA,22/02/2025,4.5, , ,22.0,12.7,67,53,3.58,22.38
CABRAMURRA SMHEA,23/02/2025,3.2, , ,20.6,14.8,90,64,6.39,13.40
CABRAMURRA SMHEA,24/02/2025,5.9, , ,22.7,13.4,92,24,6.30,25.10
CABRAMURRA SMHEA,25/02/2025,5.5, , ,24.4,10.1,94,37,5.63,24.72
CABRAMURRA SMHEA,26/02/2025,5.7, , ,24.0,14.2,76,25,4.87,21.95
CABRAMURRA SMHEA,27/02/2025,6.2, , ,26.0,16.1,64,28,4.88,22.55
CABRAMURRA SMHEA,28/02/2025,5.9, , ,22.7,16.1,62,31,5.88,21.70
Totals:,,132.8,2, ,,,,,, 
