'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CABRAMURRA SMHEA New South Wales for June 2025,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 July 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CABRAMURRA SMHEA,01/06/2025,1.7,0.0, ,11.5,5.3,52,23,2.13,10.41
CABRAMURRA SMHEA,02/06/2025,1.6,0.0, ,9.1,5.2,50,22,2.05,9.21
CABRAMURRA SMHEA,03/06/2025,1.2,0.0, ,7.1,2.4,100,45,4.08,7.86
CABRAMURRA SMHEA,04/06/2025,1.7,1.0, ,5.3,-2.4,89,41,8.45,9.99
CABRAMURRA SMHEA,05/06/2025,1.6,0.0, ,7.6,-2.8,66,20,2.93,10.23
CABRAMURRA SMHEA,06/06/2025,1.9,0.0, ,7.2,2.1,95,9,4.53,7.86
CABRAMURRA SMHEA,07/06/2025,0.3,6.6, ,0.3,-0.1,100,95,9.85,3.30
CABRAMURRA SMHEA,08/06/2025,0.2,18.4, ,-0.7,-1.5,100,100,5.81,4.08
CABRAMURRA SMHEA,09/06/2025,0.3,6.4, ,0.0,-2.8,100,100,1.85,5.62
CABRAMURRA SMHEA,10/06/2025,0.3,0.2, ,0.4,-2.6,100,99,2.18,6.05
CABRAMURRA SMHEA,11/06/2025,0.4,0.0, ,-0.1,-1.3,100,93,0.94,4.54
CABRAMURRA SMHEA,12/06/2025,0.6,0.0, ,2.9,-2.6,91,74,2.56,7.20
CABRAMURRA SMHEA,13/06/2025,0.6,0.0, ,2.6,-2.4,96,78,6.42,7.00
CABRAMURRA SMHEA,14/06/2025,0.7,0.0, ,4.1,-0.3,95,75,2.97,7.82
CABRAMURRA SMHEA,15/06/2025,0.4,0.0, ,1.0,0.7,100,92,4.02,4.74
CABRAMURRA SMHEA,16/06/2025,0.5,4.0, ,2.0,-3.9,100,84,3.81,6.69
CABRAMURRA SMHEA,17/06/2025,0.2,0.8, ,0.0,-0.6,100,97,10.23,5.42
CABRAMURRA SMHEA,18/06/2025,0.6,1.0, ,6.6,-3.2,100,11,0.46,8.42
CABRAMURRA SMHEA,19/06/2025,1.5,0.0, ,8.5,-2.2,47,6,1.79,7.24
CABRAMURRA SMHEA,20/06/2025,1.7,0.0, ,10.7,4.4,39,4,1.88,8.64
CABRAMURRA SMHEA,21/06/2025,2.2,0.0, ,9.5,4.6,16,2,2.67,8.76
CABRAMURRA SMHEA,22/06/2025,2.2,0.0, ,9.9,6.1,42,3,2.99,8.64
CABRAMURRA SMHEA,23/06/2025, ,0.0, , ,2.7,100,58,8.63,4.08
CABRAMURRA SMHEA,24/06/2025,0.8, , ,4.5,4.2,100,77,12.37,5.32
CABRAMURRA SMHEA,25/06/2025,0.2,12.4, ,-0.7,-1.3,100,99,5.65,3.40
CABRAMURRA SMHEA,26/06/2025,0.4,7.2, ,0.6,-5.7,100,87,0.24,7.29
CABRAMURRA SMHEA,27/06/2025,0.6,0.2, ,5.5,-4.3,100,70,1.76,7.83
CABRAMURRA SMHEA,28/06/2025,0.6,0.0, ,4.4,-1.5,100,73,2.41,7.61
CABRAMURRA SMHEA,29/06/2025,0.9,0.0, ,4.8,-1.1,100,54,3.18,8.18
CABRAMURRA SMHEA,30/06/2025,0.7,0.0, ,2.8,-1.6,97,76,7.63,8.03
Totals:,,26.6,58.2, ,,,,,, 
