'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CABRAMURRA SMHEA New South Wales for August 2025,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 September 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CABRAMURRA SMHEA,01/08/2025,0.9,0.0, ,4.7,-2.3,99,78,9.76,12.35
CABRAMURRA SMHEA,02/08/2025,0.9,0.0, ,4.7,-0.6,98,79,16.30,11.30
CABRAMURRA SMHEA,03/08/2025,1.3,0.0, ,7.4,0.8,100,67,10.74,12.81
CABRAMURRA SMHEA,04/08/2025,1.8,0.0, ,11.1,1.4,100,49,4.66,12.93
CABRAMURRA SMHEA,05/08/2025,1.1,4.8, ,5.7,3.8,100,70,8.41,9.61
CABRAMURRA SMHEA,06/08/2025,0.7,0.0, ,3.8,-0.1,100,83,5.62,7.87
CABRAMURRA SMHEA,07/08/2025,1.3,0.0, ,7.7,-0.3,98,56,2.96,13.30
CABRAMURRA SMHEA,08/08/2025,2.4,0.0, ,9.1,1.0,94,25,6.39,13.41
CABRAMURRA SMHEA,09/08/2025,1.4,0.0, ,6.0,-0.3,97,65,10.69,13.53
CABRAMURRA SMHEA,10/08/2025,1.4,0.0, ,6.2,-0.7,98,64,8.70,13.39
CABRAMURRA SMHEA,11/08/2025,1.7,0.0, ,6.9,-0.8,95,43,5.01,13.81
CABRAMURRA SMHEA,12/08/2025,1.6,0.0, ,7.6,0.1,88,42,2.64,13.94
CABRAMURRA SMHEA,13/08/2025,1.0,0.0, ,5.4,1.8,98,64,2.74,7.96
CABRAMURRA SMHEA,14/08/2025,1.5,0.0, ,6.5,-1.1,93,62,7.68,13.55
CABRAMURRA SMHEA,15/08/2025,1.0,0.0, ,6.6,1.7,100,78,6.34,9.53
CABRAMURRA SMHEA,16/08/2025,0.6,8.2, ,1.4,-1.3,100,85,7.47,8.52
CABRAMURRA SMHEA,17/08/2025,0.9,6.8, ,0.9,-3.3,100,75,4.45,12.61
CABRAMURRA SMHEA,18/08/2025,1.5,0.0, ,4.0,-3.6,94,49,5.64,14.79
CABRAMURRA SMHEA,19/08/2025,2.2,0.0, ,7.5,-2.0,99,38,8.19,14.84
CABRAMURRA SMHEA,20/08/2025,1.5,0.0, ,7.2,0.5,100,67,9.83,14.49
CABRAMURRA SMHEA,21/08/2025,1.3,0.0, ,8.2,2.3,100,74,11.61,13.45
CABRAMURRA SMHEA,22/08/2025,1.6,0.0, ,9.8,4.0,99,70,4.44,15.14
CABRAMURRA SMHEA,23/08/2025,1.7,0.0, ,9.6,2.7,99,63,4.24,15.47
CABRAMURRA SMHEA,24/08/2025,2.0,0.0, ,9.3,-1.6,96,52,6.78,15.49
CABRAMURRA SMHEA,25/08/2025,2.2,0.0, ,14.2,2.1,100,57,5.70,15.87
CABRAMURRA SMHEA,26/08/2025,1.8,0.0, ,11.2,5.6,100,63,7.16,12.90
CABRAMURRA SMHEA,27/08/2025,0.5,30.4, ,1.8,0.5,100,91,12.57,6.57
CABRAMURRA SMHEA,28/08/2025,0.3,19.8, ,1.0,-0.9,100,100,7.72,4.89
CABRAMURRA SMHEA,29/08/2025,0.5,20.4, ,2.5,-0.8,100,90,12.06,6.52
CABRAMURRA SMHEA,30/08/2025,0.8,5.6, ,0.6,-3.3,100,83,7.86,12.17
CABRAMURRA SMHEA,31/08/2025,1.0,0.2, ,3.1,-2.1,97,85,4.53,14.59
Totals:,,40.4,96.2, ,,,,,, 
