'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAMDEN AIRPORT New South Wales for February 2025,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 March 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAMDEN AIRPORT,01/02/2025,3.1,0.0, ,28.1,19.8,90,53,2.16,10.41
CAMDEN AIRPORT,02/02/2025,5.1,0.0, ,29.8,17.5,100,43,1.61,25.38
CAMDEN AIRPORT,03/02/2025,5.9,0.0, ,32.0,16.8,99,44,2.81,26.05
CAMDEN AIRPORT,04/02/2025,6.2,0.0, ,34.7,17.6,100,35,1.71,28.80
CAMDEN AIRPORT,05/02/2025,5.4,0.0, ,31.8,19.4,100,44,2.63,23.03
CAMDEN AIRPORT,06/02/2025,5.8,0.0, ,31.0,19.4,96,47,2.11,27.66
CAMDEN AIRPORT,07/02/2025,6.0,0.0, ,34.0,17.0,100,29,1.69,27.73
CAMDEN AIRPORT,08/02/2025,5.1,0.0, ,32.7,18.5,99,40,2.49,19.87
CAMDEN AIRPORT,09/02/2025,4.4,9.2, ,28.9,18.5,99,54,2.30,20.45
CAMDEN AIRPORT,10/02/2025,2.3,0.0, ,25.0,19.0,99,65,2.13,8.28
CAMDEN AIRPORT,11/02/2025,4.4,22.2, ,28.4,17.7,100,49,2.09,20.71
CAMDEN AIRPORT,12/02/2025,4.2,1.6, ,28.5,16.1,100,50,1.28,21.37
CAMDEN AIRPORT,13/02/2025,4.7,0.4, ,30.6,20.3,100,53,3.19,19.76
CAMDEN AIRPORT,14/02/2025,2.7,0.0, ,27.9,21.2,100,61,1.92,10.32
CAMDEN AIRPORT,15/02/2025,6.1,8.4, ,29.0,17.3,100,27,3.57,26.27
CAMDEN AIRPORT,16/02/2025,5.1,0.0, ,24.0,11.0,99,23,2.71,26.69
CAMDEN AIRPORT,17/02/2025,5.2,0.0, ,25.2,11.3,87,31,2.66,26.98
CAMDEN AIRPORT,18/02/2025,4.8,0.0, ,28.5,9.9,99,32,1.71,25.13
CAMDEN AIRPORT,19/02/2025, ,0.0, , ,14.2,99,42,2.08,22.53
CAMDEN AIRPORT,20/02/2025, , , , , ,81,53,3.70,8.72
CAMDEN AIRPORT,21/02/2025, , , ,27.4, ,99,49,2.04,19.83
CAMDEN AIRPORT,22/02/2025,4.9,2.8, ,30.0,19.0,99,43,2.24,22.28
CAMDEN AIRPORT,23/02/2025,4.8,0.0, ,32.2,13.5,100,38,1.62,22.79
CAMDEN AIRPORT,24/02/2025,5.6,0.0, ,30.9,17.5,99,47,3.22,25.48
CAMDEN AIRPORT,25/02/2025,2.0,0.0, ,23.0,19.9,82,68,2.74,4.07
CAMDEN AIRPORT,26/02/2025,4.9,0.0, ,31.3,17.9,94,45,2.33,21.85
CAMDEN AIRPORT,27/02/2025,5.3,0.0, ,33.2,19.7,99,42,2.04,23.48
CAMDEN AIRPORT,28/02/2025,5.9,0.0, ,37.9,17.4,100,19,1.68,24.48
Totals:,,119.9,44.6, ,,,,,, 
