'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAMPBELLTOWN (MOUNT ANNAN) New South Wales for December 2024,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 January 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAMPBELLTOWN (MOUNT ANNAN),01/12/2024,4.2,30.2, ,30.5,20.0,99,56,1.57,18.72
CAMPBELLTOWN (MOUNT ANNAN),02/12/2024,6.8,7.4, ,35.3,15.7,100,25,1.80,30.66
CAMPBELLTOWN (MOUNT ANNAN),03/12/2024,4.1,0.0, ,32.3,17.6,93,45,1.69,16.08
CAMPBELLTOWN (MOUNT ANNAN),04/12/2024,5.7,0.6, ,28.9,20.2,98,51,2.26,27.68
CAMPBELLTOWN (MOUNT ANNAN),05/12/2024,4.7,0.2, ,29.8,19.2,91,57,1.73,21.70
CAMPBELLTOWN (MOUNT ANNAN),06/12/2024,5.6,0.0, ,34.8,20.3,94,49,1.38,24.65
CAMPBELLTOWN (MOUNT ANNAN),07/12/2024,2.2,4.8, ,29.3,22.1,97,73,1.86,7.78
CAMPBELLTOWN (MOUNT ANNAN),08/12/2024,5.3,9.0, ,32.1,18.7,99,47,1.79,23.81
CAMPBELLTOWN (MOUNT ANNAN),09/12/2024,2.6,0.6, ,24.5,17.3,97,72,1.73,11.58
CAMPBELLTOWN (MOUNT ANNAN),10/12/2024,6.0,0.2, ,27.9,16.3,99,38,2.51,29.89
CAMPBELLTOWN (MOUNT ANNAN),11/12/2024,5.3,0.2, ,27.8,16.9,96,49,1.67,27.64
CAMPBELLTOWN (MOUNT ANNAN),12/12/2024,6.7,0.0, ,32.3,14.2,98,23,1.93,31.98
CAMPBELLTOWN (MOUNT ANNAN),13/12/2024,7.3,0.0, ,35.1,15.9,88,22,2.30,30.77
CAMPBELLTOWN (MOUNT ANNAN),14/12/2024,6.2,0.0, ,31.1,19.9,96,52,1.94,30.15
CAMPBELLTOWN (MOUNT ANNAN),15/12/2024,6.0,0.0, ,30.6,18.3,99,49,1.87,29.48
CAMPBELLTOWN (MOUNT ANNAN),16/12/2024,6.9,0.0, ,34.0,19.0,96,41,2.14,31.53
CAMPBELLTOWN (MOUNT ANNAN),17/12/2024,7.8,0.0, ,39.7,17.6,99,28,2.42,29.57
CAMPBELLTOWN (MOUNT ANNAN),18/12/2024,4.7,0.4, ,23.7,16.4,93,42,3.90,20.11
CAMPBELLTOWN (MOUNT ANNAN),19/12/2024,5.1,1.0, ,24.9,13.5,95,44,2.67,26.61
CAMPBELLTOWN (MOUNT ANNAN),20/12/2024,6.2,0.2, ,28.8,14.0,94,35,2.02,32.03
CAMPBELLTOWN (MOUNT ANNAN),21/12/2024,7.0,0.0, ,34.2,13.3,98,29,2.22,31.38
CAMPBELLTOWN (MOUNT ANNAN),22/12/2024,5.1,0.0, ,28.4,18.2,95,47,1.76,24.75
CAMPBELLTOWN (MOUNT ANNAN),23/12/2024,7.0,0.0, ,27.7,16.1,100,12,3.27,31.86
CAMPBELLTOWN (MOUNT ANNAN),24/12/2024,5.9,0.0, ,25.9,10.1,93,27,2.09,32.15
CAMPBELLTOWN (MOUNT ANNAN),25/12/2024,6.4,0.0, ,31.3,11.9,97,32,1.78,32.14
CAMPBELLTOWN (MOUNT ANNAN),26/12/2024,7.0,0.0, ,33.6,14.2,99,31,2.23,32.11
CAMPBELLTOWN (MOUNT ANNAN),27/12/2024,7.5,1.0, ,37.5,17.5,96,27,3.28,25.51
CAMPBELLTOWN (MOUNT ANNAN),28/12/2024,5.8,0.8, ,28.8,14.9,94,38,2.02,28.97
CAMPBELLTOWN (MOUNT ANNAN),29/12/2024,6.5,0.0, ,31.0,12.3,99,25,2.12,31.52
CAMPBELLTOWN (MOUNT ANNAN),30/12/2024,5.0,0.0, ,28.7,14.5,98,50,2.23,24.21
CAMPBELLTOWN (MOUNT ANNAN),31/12/2024,4.4,0.0, ,29.5,16.7,97,49,1.91,19.42
Totals:,,177,56.6, ,,,,,, 
