'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAMPBELLTOWN (MOUNT ANNAN) New South Wales for February 2025,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 March 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAMPBELLTOWN (MOUNT ANNAN),01/02/2025,3.1,0.0, ,26.9,18.5,93,58,2.01,12.21
CAMPBELLTOWN (MOUNT ANNAN),02/02/2025,5.2,0.0, ,29.8,16.8,99,45,1.57,25.95
CAMPBELLTOWN (MOUNT ANNAN),03/02/2025,5.5,0.0, ,31.7,16.8,95,47,2.32,25.24
CAMPBELLTOWN (MOUNT ANNAN),04/02/2025,6.1,0.0, ,34.9,18.2,99,38,1.48,28.55
CAMPBELLTOWN (MOUNT ANNAN),05/02/2025,5.2,0.0, ,32.0,19.5,98,44,1.95,22.85
CAMPBELLTOWN (MOUNT ANNAN),06/02/2025,5.6,0.0, ,30.4,19.2,96,51,2.00,27.77
CAMPBELLTOWN (MOUNT ANNAN),07/02/2025,6.2,0.0, ,34.0,17.3,99,33,1.94,28.32
CAMPBELLTOWN (MOUNT ANNAN),08/02/2025,4.7,0.0, ,32.9,17.5,97,45,1.79,19.84
CAMPBELLTOWN (MOUNT ANNAN),09/02/2025,4.3,7.8, ,28.8,18.3,96,59,2.16,20.66
CAMPBELLTOWN (MOUNT ANNAN),10/02/2025, ,0.0, , ,18.8,98,67,1.93,7.67
CAMPBELLTOWN (MOUNT ANNAN),11/02/2025,4.3, , ,28.7,16.2,99,51,1.77,20.50
CAMPBELLTOWN (MOUNT ANNAN),12/02/2025,4.3,0.0, ,28.6,16.9,97,55,2.11,20.46
CAMPBELLTOWN (MOUNT ANNAN),13/02/2025,4.5,0.2, ,29.9,20.2,97,59,2.36,20.41
CAMPBELLTOWN (MOUNT ANNAN),14/02/2025,2.5,0.0, ,27.8,20.1,98,69,1.51,10.32
CAMPBELLTOWN (MOUNT ANNAN),15/02/2025,5.7,13.6, ,28.8,17.2,98,27,2.74,26.14
CAMPBELLTOWN (MOUNT ANNAN),16/02/2025,4.9,0.0, ,23.5,10.5,98,25,2.41,26.90
CAMPBELLTOWN (MOUNT ANNAN),17/02/2025,4.7,0.0, ,25.4,8.6,92,33,1.73,26.96
CAMPBELLTOWN (MOUNT ANNAN),18/02/2025,5.1,0.0, ,29.0,9.7,97,34,2.07,25.34
CAMPBELLTOWN (MOUNT ANNAN),19/02/2025,4.4,0.0, ,27.7,13.8,98,48,1.93,22.74
CAMPBELLTOWN (MOUNT ANNAN),20/02/2025,2.8,0.0, ,24.2,18.2,86,56,2.68,9.07
CAMPBELLTOWN (MOUNT ANNAN),21/02/2025,4.1,0.0, ,27.5,15.4,96,53,1.67,20.62
CAMPBELLTOWN (MOUNT ANNAN),22/02/2025,4.6,2.2, ,30.2,18.9,96,49,1.75,22.03
CAMPBELLTOWN (MOUNT ANNAN),23/02/2025,4.7,0.0, ,32.9,13.8,99,39,1.46,22.11
CAMPBELLTOWN (MOUNT ANNAN),24/02/2025,5.2,0.0, ,30.5,17.8,96,52,2.55,25.28
CAMPBELLTOWN (MOUNT ANNAN),25/02/2025, ,0.0, , ,19.9,83,72,2.09,3.89
CAMPBELLTOWN (MOUNT ANNAN),26/02/2025, , , ,31.3, ,96,49,1.99,21.73
CAMPBELLTOWN (MOUNT ANNAN),27/02/2025,5.1,0.0, ,33.1,19.0,98,48,1.74,23.73
CAMPBELLTOWN (MOUNT ANNAN),28/02/2025,5.9,0.0, ,38.3,17.2,98,21,1.71,24.15
Totals:,,118.7,23.8, ,,,,,, 
