'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAMPBELLTOWN (MOUNT ANNAN) New South Wales for April 2025,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 May 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAMPBELLTOWN (MOUNT ANNAN),01/04/2025,2.9,0.2, ,23.1,15.7,89,52,2.91,12.10
CAMPBELLTOWN (MOUNT ANNAN),02/04/2025,3.3,0.2, ,26.1,11.7,96,35,1.58,17.52
CAMPBELLTOWN (MOUNT ANNAN),03/04/2025,3.3,0.0, ,27.0,9.8,99,28,1.35,18.19
CAMPBELLTOWN (MOUNT ANNAN),04/04/2025,2.7,0.0, ,25.8,11.1,98,53,1.47,14.68
CAMPBELLTOWN (MOUNT ANNAN),05/04/2025,3.8,0.0, ,27.1,12.2,97,19,2.06,18.16
CAMPBELLTOWN (MOUNT ANNAN),06/04/2025,2.8,0.0, ,25.3,8.1,99,19,1.34,13.14
CAMPBELLTOWN (MOUNT ANNAN),07/04/2025,3.7,0.0, ,27.1,9.2,84,25,2.06,17.87
CAMPBELLTOWN (MOUNT ANNAN),08/04/2025,2.1,0.0, ,23.5,10.4,97,55,1.38,10.44
CAMPBELLTOWN (MOUNT ANNAN),09/04/2025,2.6,1.2, ,24.8,13.8,97,53,1.23,15.70
CAMPBELLTOWN (MOUNT ANNAN),10/04/2025,2.2,0.0, ,25.8,12.7,99,52,0.73,12.79
CAMPBELLTOWN (MOUNT ANNAN),11/04/2025,3.1,0.0, ,30.3,12.1,99,34,1.26,15.87
CAMPBELLTOWN (MOUNT ANNAN),12/04/2025,2.9,0.0, ,27.9,12.6,98,49,1.56,15.04
CAMPBELLTOWN (MOUNT ANNAN),13/04/2025,2.9,0.0, ,27.7,13.4,99,39,1.23,16.51
CAMPBELLTOWN (MOUNT ANNAN),14/04/2025,3.2,0.0, ,29.1,11.9,99,39,1.89,14.98
CAMPBELLTOWN (MOUNT ANNAN),15/04/2025,3.2,0.2, ,23.8,16.4,86,41,3.12,12.17
CAMPBELLTOWN (MOUNT ANNAN),16/04/2025,3.0,0.2, ,23.5,15.2,85,47,2.74,13.46
CAMPBELLTOWN (MOUNT ANNAN),17/04/2025,3.3,0.0, ,25.7,12.3,94,39,2.73,15.35
CAMPBELLTOWN (MOUNT ANNAN),18/04/2025,3.0,0.0, ,26.5,10.2,97,32,1.73,16.02
CAMPBELLTOWN (MOUNT ANNAN),19/04/2025,2.8,0.0, ,30.3,9.6,99,23,1.10,15.10
CAMPBELLTOWN (MOUNT ANNAN),20/04/2025,2.8,0.0, ,30.6,9.0,99,26,1.09,15.58
CAMPBELLTOWN (MOUNT ANNAN),21/04/2025,3.0,0.0, ,26.9,12.8,91,26,1.76,14.88
CAMPBELLTOWN (MOUNT ANNAN),22/04/2025,2.3,0.4, ,24.8,11.3,96,60,2.80,10.50
CAMPBELLTOWN (MOUNT ANNAN),23/04/2025,2.3,11.4, ,25.0,15.3,99,58,1.88,11.86
CAMPBELLTOWN (MOUNT ANNAN),24/04/2025,1.9,0.2, ,24.5,11.7,99,57,1.17,10.69
CAMPBELLTOWN (MOUNT ANNAN),25/04/2025,1.8,0.6, ,24.2,13.3,99,60,0.93,10.31
CAMPBELLTOWN (MOUNT ANNAN),26/04/2025,1.6,1.8, ,23.5,12.1,99,69,0.84,10.07
CAMPBELLTOWN (MOUNT ANNAN),27/04/2025,1.4,7.8, ,19.8,16.8,97,73,2.59,5.51
CAMPBELLTOWN (MOUNT ANNAN),28/04/2025,2.3,6.4, ,23.7,14.6,95,56,2.70,10.41
CAMPBELLTOWN (MOUNT ANNAN),29/04/2025,2.0,0.0, ,24.7,12.9,97,54,1.68,9.31
CAMPBELLTOWN (MOUNT ANNAN),30/04/2025,1.5,10.8, ,18.0,13.0,96,66,2.35,6.71
Totals:,,79.7,41.4, ,,,,,, 
