'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAMPBELLTOWN (MOUNT ANNAN) New South Wales for May 2025,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 June 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAMPBELLTOWN (MOUNT ANNAN),01/05/2025,2.6,5.8, ,20.0,10.5,91,45,3.41,13.76
CAMPBELLTOWN (MOUNT ANNAN),02/05/2025,2.0,0.6, ,20.1,8.9,97,59,2.46,12.49
CAMPBELLTOWN (MOUNT ANNAN),03/05/2025,1.8,0.0, ,23.0,7.3,99,52,1.11,12.65
CAMPBELLTOWN (MOUNT ANNAN),04/05/2025,2.2,0.0, ,23.0,8.5,98,52,1.95,13.78
CAMPBELLTOWN (MOUNT ANNAN),05/05/2025,1.9,0.2, ,24.5,11.4,99,53,1.16,12.99
CAMPBELLTOWN (MOUNT ANNAN),06/05/2025,1.8,0.0, ,25.2,10.6,99,46,0.96,11.66
CAMPBELLTOWN (MOUNT ANNAN),07/05/2025,2.1,0.2, ,26.6,11.4,99,38,1.11,13.21
CAMPBELLTOWN (MOUNT ANNAN),08/05/2025,2.0,0.0, ,21.0,11.2,85,54,2.11,10.71
CAMPBELLTOWN (MOUNT ANNAN),09/05/2025,1.6,0.0, ,20.2,7.4,98,54,1.55,8.80
CAMPBELLTOWN (MOUNT ANNAN),10/05/2025,2.0,0.0, ,22.5,9.1,98,50,1.88,11.54
CAMPBELLTOWN (MOUNT ANNAN),11/05/2025,1.5,0.2, ,22.1,11.5,97,61,1.52,8.73
CAMPBELLTOWN (MOUNT ANNAN),12/05/2025,1.5,4.4, ,23.3,14.6,98,64,0.90,10.64
CAMPBELLTOWN (MOUNT ANNAN),13/05/2025,1.3,0.2, ,21.4,12.9,99,69,0.83,8.41
CAMPBELLTOWN (MOUNT ANNAN),14/05/2025,1.6,6.4, ,23.9,9.9,99,52,0.84,12.24
CAMPBELLTOWN (MOUNT ANNAN),15/05/2025,1.3,0.0, ,20.3,10.1,99,69,1.46,7.71
CAMPBELLTOWN (MOUNT ANNAN),16/05/2025,1.3,0.4, ,20.8,14.5,99,71,1.32,7.97
CAMPBELLTOWN (MOUNT ANNAN),17/05/2025,1.9,2.8, ,23.2,9.9,99,46,1.73,12.04
CAMPBELLTOWN (MOUNT ANNAN),18/05/2025,1.6,0.0, ,16.1,12.0,90,57,3.12,6.77
CAMPBELLTOWN (MOUNT ANNAN),19/05/2025,2.3,0.6, ,18.2,11.4,84,49,4.18,9.89
CAMPBELLTOWN (MOUNT ANNAN),20/05/2025,1.6,1.2, ,19.5,10.3,97,58,2.47,8.90
CAMPBELLTOWN (MOUNT ANNAN),21/05/2025,1.0,4.6, ,18.5,12.8,97,83,2.31,6.39
CAMPBELLTOWN (MOUNT ANNAN),22/05/2025,0.7,17.8, ,18.1,14.3,99,90,1.91,3.18
CAMPBELLTOWN (MOUNT ANNAN),23/05/2025,1.0,72.8, ,20.1,16.1,98,85,1.60,5.65
CAMPBELLTOWN (MOUNT ANNAN),24/05/2025,1.4,9.8, ,20.9,8.0,99,46,1.02,11.46
CAMPBELLTOWN (MOUNT ANNAN),25/05/2025,1.0,0.0, ,18.1,7.3,98,47,0.70,5.32
CAMPBELLTOWN (MOUNT ANNAN),26/05/2025,1.3,0.0, ,18.3,5.2,98,49,1.32,7.05
CAMPBELLTOWN (MOUNT ANNAN),27/05/2025,1.9,12.0, ,17.7,11.4,99,36,2.72,11.26
CAMPBELLTOWN (MOUNT ANNAN),28/05/2025,2.0,0.0, ,19.3,6.7,89,40,2.63,11.53
CAMPBELLTOWN (MOUNT ANNAN),29/05/2025,1.3,0.0, ,18.5,7.5,96,57,1.62,7.75
CAMPBELLTOWN (MOUNT ANNAN),30/05/2025,1.4,0.0, ,20.8,4.8,98,48,1.20,11.42
CAMPBELLTOWN (MOUNT ANNAN),31/05/2025,1.5,0.0, ,20.6,7.3,99,52,1.59,10.94
Totals:,,50.4,140, ,,,,,, 
