'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CANBERRA AIRPORT New South Wales for November 2024,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 December 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CANBERRA AIRPORT,01/11/2024,5.1,0.0, ,24.0,9.3,94,26,3.58,23.11
CANBERRA AIRPORT,02/11/2024,4.2,0.0, ,23.0,4.7,95,40,3.07,21.03
CANBERRA AIRPORT,03/11/2024,8.7,0.0, ,31.4,8.1,100,14,6.51,26.43
CANBERRA AIRPORT,04/11/2024,6.3,0.0, ,27.0,12.4,84,16,4.91,19.52
CANBERRA AIRPORT,05/11/2024,5.0,0.0, ,26.9,12.2,93,38,3.43,21.49
CANBERRA AIRPORT,06/11/2024,6.1,0.0, ,32.3,9.0,100,23,2.51,25.32
CANBERRA AIRPORT,07/11/2024,6.4,0.0, ,27.7,15.9,80,29,6.73,15.94
CANBERRA AIRPORT,08/11/2024,6.1,0.0, ,22.7,8.9,88,23,5.99,25.86
CANBERRA AIRPORT,09/11/2024,5.2,0.0, ,25.3,6.0,91,23,2.59,24.90
CANBERRA AIRPORT,10/11/2024,6.7,0.0, ,27.6,8.7,76,22,4.12,27.11
CANBERRA AIRPORT,11/11/2024, ,0.0, , ,12.3,85,41,2.86,15.91
CANBERRA AIRPORT,12/11/2024, , , ,25.4, ,99,36,3.16,19.32
CANBERRA AIRPORT,13/11/2024,4.6,0.0, ,25.1,12.8,99,41,3.81,20.07
CANBERRA AIRPORT,14/11/2024,4.9,0.0, ,26.8,7.8,100,33,3.40,19.24
CANBERRA AIRPORT,15/11/2024,4.9,0.0, ,25.4,13.1,80,34,3.57,18.48
CANBERRA AIRPORT,16/11/2024,7.1,0.0, ,31.1,14.6,86,23,3.92,26.92
CANBERRA AIRPORT,17/11/2024,4.1,0.0, ,27.5,12.3,100,45,5.06,10.13
CANBERRA AIRPORT,18/11/2024,6.7,22.8, ,24.7,10.3,90,23,5.33,30.14
CANBERRA AIRPORT,19/11/2024,5.9,0.2, ,26.3,8.4,99,28,3.23,28.58
CANBERRA AIRPORT,20/11/2024,6.3,0.0, ,27.3,13.4,86,25,3.40,27.93
CANBERRA AIRPORT,21/11/2024,5.8,0.0, ,28.1,15.1,83,33,2.75,25.83
CANBERRA AIRPORT,22/11/2024,6.0,0.0, ,31.3,10.8,98,27,2.66,24.61
CANBERRA AIRPORT,23/11/2024,7.0,0.0, ,33.5,12.9,94,22,2.52,29.48
CANBERRA AIRPORT,24/11/2024,7.5,0.0, ,34.3,12.1,77,22,3.57,25.51
CANBERRA AIRPORT,25/11/2024,7.8,0.0, ,35.3,12.6,93,21,4.23,24.09
CANBERRA AIRPORT,26/11/2024,6.8,0.0, ,32.8,15.7,89,30,4.26,22.25
CANBERRA AIRPORT,27/11/2024,4.7,0.0, ,28.2,16.2,96,42,5.13,12.89
CANBERRA AIRPORT,28/11/2024,5.3,2.8, ,29.8,18.3,95,44,4.10,19.49
CANBERRA AIRPORT,29/11/2024,2.4,0.0, ,22.3,15.1,96,67,3.46,8.82
CANBERRA AIRPORT,30/11/2024, ,14.8, ,19.7,17.3,100,94,4.17, 
Totals:,,157.6,40.6, ,,,,,, 
