'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CANBERRA AIRPORT New South Wales for May 2025,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 June 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CANBERRA AIRPORT,01/05/2025,2.0,0.2, ,16.1,2.0,99,49,3.79,9.60
CANBERRA AIRPORT,02/05/2025,2.2,0.0, ,18.7,3.0,99,27,2.03,13.49
CANBERRA AIRPORT,03/05/2025,2.1,0.0, ,20.3,-0.2,100,26,1.55,13.37
CANBERRA AIRPORT,04/05/2025,1.8,0.0, ,20.5,-0.7,100,25,1.05,13.11
CANBERRA AIRPORT,05/05/2025,1.7,0.0, ,21.7,1.6,100,44,1.10,12.83
CANBERRA AIRPORT,06/05/2025,2.8,0.0, ,23.5,3.0,100,35,2.99,11.98
CANBERRA AIRPORT,07/05/2025,3.6,0.0, ,23.6,5.1,99,35,5.20,12.54
CANBERRA AIRPORT,08/05/2025,2.3,0.0, ,17.5,3.0,99,28,2.70,12.52
CANBERRA AIRPORT,09/05/2025,1.7,0.0, ,19.3,-1.2,99,34,1.39,12.57
CANBERRA AIRPORT,10/05/2025,1.9,0.0, ,19.6,0.9,100,40,1.93,12.51
CANBERRA AIRPORT,11/05/2025,1.7,0.0, ,20.8,3.9,100,47,1.63,11.33
CANBERRA AIRPORT,12/05/2025,1.8,1.8, ,21.7,10.1,100,52,1.86,11.11
CANBERRA AIRPORT,13/05/2025,1.4,0.0, ,20.3,8.4,100,56,1.74,7.16
CANBERRA AIRPORT,14/05/2025,1.6,0.8, ,20.6,9.8,100,48,1.65,9.00
CANBERRA AIRPORT,15/05/2025,1.6,1.2, ,19.2,6.7,100,53,2.17,9.64
CANBERRA AIRPORT,16/05/2025,1.2,0.0, ,19.2,6.4,100,54,1.10,8.17
CANBERRA AIRPORT,17/05/2025,1.4,0.0, ,17.7,1.5,100,47,1.48,10.12
CANBERRA AIRPORT,18/05/2025,2.2,0.0, ,14.2,4.6,83,54,6.39,9.95
CANBERRA AIRPORT,19/05/2025,1.9,0.0, ,14.4,4.9,98,45,4.34,9.21
CANBERRA AIRPORT,20/05/2025,1.7,0.0, ,15.8,3.0,99,48,3.33,9.21
CANBERRA AIRPORT,21/05/2025,1.3,0.0, ,17.6,3.3,100,60,1.87,8.51
CANBERRA AIRPORT,22/05/2025,0.8,1.0, ,15.7,10.4,100,88,2.64,4.18
CANBERRA AIRPORT,23/05/2025,1.0,19.6, ,16.1,12.6,100,79,3.98,5.28
CANBERRA AIRPORT,24/05/2025,2.4,10.8, ,16.8,9.1,99,47,6.90,8.96
CANBERRA AIRPORT,25/05/2025,2.3,0.0, ,18.1,2.1,99,30,3.30,8.07
CANBERRA AIRPORT,26/05/2025,1.8,0.0, ,15.1,-0.7,99,48,4.28,5.80
CANBERRA AIRPORT,27/05/2025,1.8,4.8, ,12.3,6.5,95,54,6.74,9.85
CANBERRA AIRPORT,28/05/2025,1.6,0.0, ,15.1,4.9,100,51,3.46,10.75
CANBERRA AIRPORT,29/05/2025,1.2,0.0, ,16.8,-1.7,100,45,1.19,10.89
CANBERRA AIRPORT,30/05/2025,1.0,0.2, ,18.9,-3.9,100,24,0.62,10.85
CANBERRA AIRPORT,31/05/2025,1.1,0.0, ,16.3,-0.4,99,52,1.26,9.49
Totals:,,54.9,40.4, ,,,,,, 
