'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CANTERBURY RACECOURSE New South Wales for May 2025,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 June 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CANTERBURY RACECOURSE,01/05/2025,2.1,10.2, ,18.7,11.5,99,56,3.64,10.28
CANTERBURY RACECOURSE,02/05/2025,1.8,26.8, ,19.8,10.4,100,63,2.26,11.24
CANTERBURY RACECOURSE,03/05/2025,1.9,0.8, ,21.4,9.7,100,48,1.41,13.00
CANTERBURY RACECOURSE,04/05/2025,1.9,0.2, ,22.6,9.6,100,55,1.49,13.02
CANTERBURY RACECOURSE,05/05/2025,1.9,0.0, ,23.9,12.9,100,52,1.09,13.49
CANTERBURY RACECOURSE,06/05/2025,2.0,0.0, ,25.8,11.7,100,46,1.15,11.96
CANTERBURY RACECOURSE,07/05/2025,2.0,0.0, ,26.2,11.0,100,40,1.10,12.60
CANTERBURY RACECOURSE,08/05/2025,2.1,0.0, ,19.5,10.6,94,52,3.45,9.60
CANTERBURY RACECOURSE,09/05/2025,1.6,0.0, ,18.7,10.4,99,60,2.12,9.07
CANTERBURY RACECOURSE,10/05/2025,1.6,0.0, ,21.4,9.7,100,57,1.20,10.99
CANTERBURY RACECOURSE,11/05/2025,1.3,0.0, ,21.3,10.5,100,66,0.93,8.43
CANTERBURY RACECOURSE,12/05/2025,1.3,0.0, ,21.3,15.8,100,71,0.84,8.76
CANTERBURY RACECOURSE,13/05/2025,1.1,0.0, ,23.1,13.7,100,69,0.34,6.34
CANTERBURY RACECOURSE,14/05/2025,1.4,0.0, ,23.1,12.5,100,62,0.71,10.91
CANTERBURY RACECOURSE,15/05/2025,0.9,2.4, ,19.2,12.3,100,85,1.19,5.67
CANTERBURY RACECOURSE,16/05/2025,1.0,9.2, ,19.9,15.4,100,80,0.88,5.87
CANTERBURY RACECOURSE,17/05/2025,1.7,1.8, ,21.1,11.7,100,62,2.15,12.13
CANTERBURY RACECOURSE,18/05/2025,1.6,2.0, ,16.5,12.7,96,62,4.25,5.55
CANTERBURY RACECOURSE,19/05/2025,2.5,20.4, ,17.6,12.7,98,50,6.94,8.71
CANTERBURY RACECOURSE,20/05/2025,2.2,4.4, ,19.6,13.6,94,55,4.76,8.61
CANTERBURY RACECOURSE,21/05/2025,1.5,1.2, ,19.9,14.7,98,67,2.81,7.29
CANTERBURY RACECOURSE,22/05/2025,0.8,17.4, ,19.7,16.2,100,89,3.88,3.43
CANTERBURY RACECOURSE,23/05/2025,1.8,95.4, ,22.3,17.1,100,59,3.59,5.98
CANTERBURY RACECOURSE,24/05/2025,2.1,2.8, ,22.0,8.8,99,41,2.44,11.41
CANTERBURY RACECOURSE,25/05/2025,1.4,0.0, ,19.5,9.0,94,38,1.14,6.73
CANTERBURY RACECOURSE,26/05/2025,1.4,0.0, ,18.4,6.7,100,46,1.72,7.66
CANTERBURY RACECOURSE,27/05/2025,2.7,3.8, ,18.7,12.6,100,29,4.56,10.79
CANTERBURY RACECOURSE,28/05/2025,2.7,0.2, ,19.4,8.7,77,36,3.83,11.60
CANTERBURY RACECOURSE,29/05/2025,1.4,0.0, ,17.6,12.0,98,59,2.74,6.97
CANTERBURY RACECOURSE,30/05/2025,1.3,0.0, ,21.2,5.8,100,54,1.04,11.15
CANTERBURY RACECOURSE,31/05/2025,1.1,0.0, ,20.5,10.1,100,62,0.89,9.50
Totals:,,52.1,199, ,,,,,, 
