'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CASINO AIRPORT New South Wales for December 2024,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 January 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CASINO AIRPORT,01/12/2024,4.4,42.8, ,30.4,20.7,99,62,2.44,19.50
CASINO AIRPORT,02/12/2024,6.6,5.6, ,33.1,19.2,99,50,2.49,30.78
CASINO AIRPORT,03/12/2024,5.5,0.0, ,32.1,20.7,99,49,2.39,23.85
CASINO AIRPORT,04/12/2024,6.7,0.0, ,33.7,20.9,97,47,2.72,29.35
CASINO AIRPORT,05/12/2024,4.6,0.4, ,30.9,22.1,99,63,2.54,20.23
CASINO AIRPORT,06/12/2024,6.1,0.0, ,31.8,19.6,99,46,2.25,28.15
CASINO AIRPORT,07/12/2024,7.5,0.0, ,34.0,19.7,98,38,3.63,31.28
CASINO AIRPORT,08/12/2024,7.1,0.0, ,37.0,24.5,97,41,3.67,25.11
CASINO AIRPORT,09/12/2024,2.4,15.4, ,27.8,22.7,96,78,2.06,9.38
CASINO AIRPORT,10/12/2024,2.6,10.8, ,28.6,22.5,99,68,2.22,9.55
CASINO AIRPORT,11/12/2024,3.5,3.6, ,26.6,19.9,99,63,2.18,15.48
CASINO AIRPORT,12/12/2024,6.3,0.0, ,30.8,17.2,100,48,2.45,31.41
CASINO AIRPORT,13/12/2024,6.5,0.0, ,32.2,17.8,99,47,2.34,30.94
CASINO AIRPORT,14/12/2024,5.1,0.0, ,31.4,19.4,99,59,2.01,23.92
CASINO AIRPORT,15/12/2024,5.8,2.0, ,31.4,20.5,99,59,3.16,26.86
CASINO AIRPORT,16/12/2024,4.8,4.8, ,30.0,22.8,98,62,4.51,20.23
CASINO AIRPORT,17/12/2024,3.2,5.2, ,28.0,22.4,99,84,2.53,15.57
CASINO AIRPORT,18/12/2024,3.3,25.4, ,28.3,23.7,98,66,3.43,12.58
CASINO AIRPORT,19/12/2024,5.8,8.0, ,27.2,17.8,92,46,3.88,27.07
CASINO AIRPORT,20/12/2024,6.1,0.0, ,28.1,17.3,93,46,2.32,31.20
CASINO AIRPORT,21/12/2024,6.7,0.0, ,32.2,17.0,99,32,2.07,31.50
CASINO AIRPORT,22/12/2024,6.9,0.0, ,33.7,17.8,100,37,2.42,30.79
CASINO AIRPORT,23/12/2024,8.6,0.0, ,36.2,20.3,84,26,3.95,30.87
CASINO AIRPORT,24/12/2024,6.6,0.0, ,29.4,19.7,86,47,3.61,30.09
CASINO AIRPORT,25/12/2024,6.0,0.0, ,29.0,14.6,99,44,2.62,30.42
CASINO AIRPORT,26/12/2024,6.6,0.0, ,31.5,16.3,99,39,2.56,31.58
CASINO AIRPORT,27/12/2024,7.7,0.0, ,35.0,15.6,100,34,3.50,31.53
CASINO AIRPORT,28/12/2024,7.4,0.0, ,36.6,22.3,91,44,3.73,27.52
CASINO AIRPORT,29/12/2024,6.0,0.2, ,32.0,22.0,98,57,3.02,27.03
CASINO AIRPORT,30/12/2024,5.7,0.2, ,30.4,18.7,94,49,3.11,25.11
CASINO AIRPORT,31/12/2024,4.9,0.0, ,30.4,19.2,97,54,2.56,21.38
Totals:,,177,124.4, ,,,,,, 
