'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CASINO AIRPORT New South Wales for February 2025,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 March 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CASINO AIRPORT,01/02/2025,5.6,4.2, ,30.9,20.9,99,54,3.60,24.84
CASINO AIRPORT,02/02/2025,5.2,0.0, ,30.0,19.6,96,51,3.35,22.26
CASINO AIRPORT,03/02/2025,5.7,0.0, ,30.9,20.1,99,52,3.46,25.31
CASINO AIRPORT,04/02/2025,4.1,2.2, ,30.5,19.9,99,51,2.29,16.77
CASINO AIRPORT,05/02/2025,3.8,0.2, ,29.6,20.7,99,53,1.77,16.37
CASINO AIRPORT,06/02/2025,5.2,5.4, ,31.4,19.3,99,52,2.40,23.68
CASINO AIRPORT,07/02/2025,5.5,0.0, ,30.6,18.2,100,44,2.39,25.85
CASINO AIRPORT,08/02/2025,5.2,0.0, ,30.6,16.2,100,50,2.43,24.96
CASINO AIRPORT,09/02/2025,5.6,0.0, ,31.9,18.6,99,43,2.34,25.09
CASINO AIRPORT,10/02/2025,5.0,0.6, ,32.4,19.1,99,48,2.48,20.74
CASINO AIRPORT,11/02/2025,5.9,0.2, ,33.1,18.5,99,51,3.25,25.94
CASINO AIRPORT,12/02/2025,4.7,31.4, ,31.5,19.9,100,53,2.32,20.55
CASINO AIRPORT,13/02/2025,4.6,28.0, ,29.7,20.6,99,58,3.00,20.33
CASINO AIRPORT,14/02/2025,5.0,0.0, ,31.1,18.8,100,53,1.96,23.62
CASINO AIRPORT,15/02/2025,5.5,0.0, ,34.0,21.3,99,45,2.28,22.80
CASINO AIRPORT,16/02/2025,5.3,0.0, ,30.6,21.4,95,56,3.45,23.55
CASINO AIRPORT,17/02/2025,5.2,0.0, ,28.0,17.8,87,41,2.48,24.44
CASINO AIRPORT,18/02/2025,5.0,0.0, ,29.9,19.2,92,50,2.12,23.50
CASINO AIRPORT,19/02/2025,4.7,0.2, ,29.2,20.2,98,58,2.46,22.70
CASINO AIRPORT,20/02/2025,3.8,0.0, ,29.4,17.4,99,44,2.11,14.66
CASINO AIRPORT,21/02/2025,5.2,0.8, ,29.8,15.6,100,48,2.51,25.35
CASINO AIRPORT,22/02/2025,5.1,2.0, ,29.6,17.8,100,45,2.43,24.52
CASINO AIRPORT,23/02/2025,4.9,1.0, ,30.3,16.9,99,49,2.59,22.80
CASINO AIRPORT,24/02/2025,5.4,0.2, ,31.8,16.0,100,43,2.25,25.46
CASINO AIRPORT,25/02/2025, ,0.0, ,31.2,16.7,100,48,2.68, 
CASINO AIRPORT,26/02/2025,5.2,0.0, ,30.8,18.5,99,45,2.74,23.34
CASINO AIRPORT,27/02/2025,5.2,0.0, ,30.9,15.9,100,46,2.36,24.65
CASINO AIRPORT,28/02/2025,5.1,0.0, ,31.0,15.9,100,42,2.08,24.14
Totals:,,136.7,76.4, ,,,,,, 
