'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CASINO AIRPORT New South Wales for May 2025,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 June 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CASINO AIRPORT,01/05/2025, , , ,23.6, ,100,50,2.02,16.24
CASINO AIRPORT,02/05/2025,2.2,0.2, ,22.4,11.7,96,67,2.83,12.80
CASINO AIRPORT,03/05/2025,2.9,2.8, ,24.3,12.9,95,56,3.07,15.92
CASINO AIRPORT,04/05/2025,2.4,0.6, ,24.0,11.4,99,60,2.20,13.70
CASINO AIRPORT,05/05/2025,2.3,6.4, ,24.4,15.6,99,66,2.12,12.94
CASINO AIRPORT,06/05/2025,2.3,3.6, ,25.2,15.7,99,59,1.54,12.76
CASINO AIRPORT,07/05/2025,2.5,0.4, ,25.8,13.5,100,51,1.46,15.63
CASINO AIRPORT,08/05/2025,3.0,0.0, ,26.8,12.2,99,46,2.40,15.52
CASINO AIRPORT,09/05/2025,2.8,0.2, ,23.2,15.8,95,57,4.14,12.73
CASINO AIRPORT,10/05/2025,2.4,3.0, ,22.8,14.2,98,63,3.28,14.18
CASINO AIRPORT,11/05/2025,2.5,5.4, ,24.5,13.5,99,55,2.40,13.97
CASINO AIRPORT,12/05/2025,1.9,7.6, ,23.3,15.9,99,71,2.65,10.67
CASINO AIRPORT,13/05/2025,1.8,4.4, ,23.0,15.5,99,82,2.59,11.55
CASINO AIRPORT,14/05/2025,1.8,10.4, ,23.3,16.4,99,71,1.98,10.40
CASINO AIRPORT,15/05/2025,1.3,6.2, ,20.7,16.7,98,85,2.52,6.78
CASINO AIRPORT,16/05/2025,2.3,2.2, ,26.2,15.9,99,59,1.97,12.40
CASINO AIRPORT,17/05/2025,2.1,35.2, ,24.8,16.8,99,60,1.39,12.34
CASINO AIRPORT,18/05/2025,1.9,0.0, ,23.3,15.0,99,63,1.75,10.63
CASINO AIRPORT,19/05/2025,1.7,1.4, ,21.1,13.9,98,61,2.00,9.43
CASINO AIRPORT,20/05/2025,2.3,0.2, ,24.6,11.9,99,56,1.83,14.45
CASINO AIRPORT,21/05/2025,2.0,0.0, ,24.6,14.2,99,64,1.87,12.12
CASINO AIRPORT,22/05/2025,2.4,0.0, ,25.7,12.4,100,45,1.85,14.31
CASINO AIRPORT,23/05/2025,3.0,0.0, ,26.6,14.8,87,42,2.66,14.21
CASINO AIRPORT,24/05/2025,2.5,0.0, ,26.8,13.2,98,41,1.72,14.16
CASINO AIRPORT,25/05/2025,1.8,0.0, ,26.4,10.6,99,50,1.34,8.80
CASINO AIRPORT,26/05/2025,2.0,0.0, ,25.7,12.6,99,66,1.59,12.44
CASINO AIRPORT,27/05/2025,3.2,0.0, ,27.7,13.2,100,43,3.60,12.20
CASINO AIRPORT,28/05/2025,2.8,0.0, ,23.5,8.4,84,29,2.41,13.89
CASINO AIRPORT,29/05/2025,1.8,0.0, ,21.6,10.3,95,44,1.45,11.37
CASINO AIRPORT,30/05/2025,1.2,0.0, ,18.5,11.2,98,73,2.08,6.40
CASINO AIRPORT,31/05/2025,1.3,24.6, ,20.4,15.4,99,85,2.92,8.59
Totals:,,66.4,114.8, ,,,,,, 
