'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CASINO AIRPORT New South Wales for June 2025,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 July 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CASINO AIRPORT,01/06/2025,1.2,1.4, ,19.5,14.6,98,82,2.00,8.20
CASINO AIRPORT,02/06/2025,1.0,2.2, ,18.9,12.7,100,86,1.00,7.16
CASINO AIRPORT,03/06/2025,2.4,6.4, ,23.3,13.9,99,45,2.71,12.29
CASINO AIRPORT,04/06/2025,2.7,0.0, ,22.5,10.4,92,35,2.93,13.11
CASINO AIRPORT,05/06/2025,2.0,0.0, ,20.5,6.3,98,48,2.17,13.46
CASINO AIRPORT,06/06/2025,1.9,0.0, ,21.8,8.2,98,50,1.76,12.19
CASINO AIRPORT,07/06/2025,2.7,0.0, ,24.6,11.0,96,34,2.64,13.13
CASINO AIRPORT,08/06/2025,3.5,0.0, ,23.4,7.9,87,24,3.79,13.35
CASINO AIRPORT,09/06/2025,2.7,0.0, ,18.4,9.7,85,34,3.74,12.32
CASINO AIRPORT,10/06/2025,2.8,0.0, ,20.1,6.2,81,32,3.34,13.29
CASINO AIRPORT,11/06/2025,2.4,0.0, ,19.6,4.2,90,32,2.69,13.27
CASINO AIRPORT,12/06/2025,2.0,0.0, ,17.7,4.8,92,40,2.53,11.68
CASINO AIRPORT,13/06/2025,1.9,0.0, ,18.8,2.3,97,32,1.88,13.23
CASINO AIRPORT,14/06/2025,1.7,0.0, ,19.1,3.4,97,49,1.98,11.20
CASINO AIRPORT,15/06/2025,1.8,0.0, ,21.8,5.2,99,42,1.48,13.20
CASINO AIRPORT,16/06/2025,1.6,0.0, ,20.4,4.0,100,51,1.41,12.36
CASINO AIRPORT,17/06/2025,1.1,0.0, ,16.7,6.6,99,66,1.25,8.62
CASINO AIRPORT,18/06/2025,1.3,0.0, ,17.3,6.2,99,60,1.48,9.37
CASINO AIRPORT,19/06/2025,1.6,0.0, ,21.2,6.0,100,57,1.71,11.50
CASINO AIRPORT,20/06/2025,1.6,0.0, ,20.4,8.9,100,56,1.79,9.36
CASINO AIRPORT,21/06/2025,1.3,0.0, ,20.5,8.1,99,62,1.27,9.03
CASINO AIRPORT,22/06/2025,1.7,0.0, ,23.1,7.8,100,55,1.49,11.26
CASINO AIRPORT,23/06/2025, ,0.0, , ,9.1,100,70,1.30,11.24
CASINO AIRPORT,24/06/2025, , , ,25.0, ,100,53,3.65,13.12
CASINO AIRPORT,25/06/2025,3.0,1.4, ,22.4,13.6,99,28,3.58,13.22
CASINO AIRPORT,26/06/2025,2.2,0.0, ,18.4,4.8,93,29,2.34,13.23
CASINO AIRPORT,27/06/2025,1.7,0.0, ,19.9,4.0,96,54,1.89,12.60
CASINO AIRPORT,28/06/2025,1.1,0.2, ,17.0,10.7,99,83,1.15,8.65
CASINO AIRPORT,29/06/2025,1.2,4.4, ,18.7,10.9,100,73,1.03,9.74
CASINO AIRPORT,30/06/2025,0.7,15.2, ,15.5,13.7,99,95,3.00,4.45
Totals:,,52.8,31.2, ,,,,,, 
