'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CESSNOCK AIRPORT New South Wales for March 2025,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 April 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CESSNOCK AIRPORT,01/03/2025,5.7,0.0, ,33.4,19.0,95,45,2.58,25.10
CESSNOCK AIRPORT,02/03/2025,5.1,0.0, ,34.3,16.6,98,45,2.52,20.42
CESSNOCK AIRPORT,03/03/2025,3.5,0.0, ,28.5,21.3,91,60,3.53,12.04
CESSNOCK AIRPORT,04/03/2025,4.1,1.2, ,27.2,19.4,94,53,4.50,15.45
CESSNOCK AIRPORT,05/03/2025,4.0,2.4, ,27.2,19.9,97,52,3.90,15.73
CESSNOCK AIRPORT,06/03/2025,2.8,6.4, ,25.1,19.3,96,68,4.19,10.74
CESSNOCK AIRPORT,07/03/2025,3.4,1.0, ,24.6,18.2,90,64,4.15,14.61
CESSNOCK AIRPORT,08/03/2025,2.9,18.2, ,26.3,19.1,97,67,3.85,11.52
CESSNOCK AIRPORT,09/03/2025,3.4,6.0, ,27.2,19.5,93,63,3.57,14.07
CESSNOCK AIRPORT,10/03/2025,2.0,0.4, ,23.6,19.9,96,77,2.58,8.53
CESSNOCK AIRPORT,11/03/2025,2.0,1.6, ,23.6,20.0,95,74,3.07,7.09
CESSNOCK AIRPORT,12/03/2025,2.9,0.0, ,26.7,19.9,97,62,1.73,13.08
CESSNOCK AIRPORT,13/03/2025,4.0,0.0, ,30.7,15.9,98,52,1.20,20.56
CESSNOCK AIRPORT,14/03/2025,4.8,0.0, ,34.4,15.5,98,35,1.48,22.69
CESSNOCK AIRPORT,15/03/2025,5.5,0.0, ,36.3,16.5,97,25,2.01,22.47
CESSNOCK AIRPORT,16/03/2025,6.3,0.0, ,36.1,16.9,95,28,3.60,19.49
CESSNOCK AIRPORT,17/03/2025,4.2,0.0, ,23.1,18.9,80,38,4.19,14.78
CESSNOCK AIRPORT,18/03/2025,3.1,0.0, ,24.4,12.4,94,50,2.63,13.16
CESSNOCK AIRPORT,19/03/2025,4.1,0.0, ,29.8,15.1,94,48,2.09,19.68
CESSNOCK AIRPORT,20/03/2025,4.5,0.0, ,32.7,14.9,97,40,2.07,20.15
CESSNOCK AIRPORT,21/03/2025,1.9,0.0, ,25.5,14.8,98,58,1.66,6.24
CESSNOCK AIRPORT,22/03/2025,3.0,11.0, ,28.0,17.0,98,60,1.75,14.61
CESSNOCK AIRPORT,23/03/2025,1.6,7.4, ,23.7,19.2,97,83,1.49,6.99
CESSNOCK AIRPORT,24/03/2025, ,2.8, , ,20.0,97,78,1.74,11.36
CESSNOCK AIRPORT,25/03/2025, , , , , , , , ,8.77
CESSNOCK AIRPORT,26/03/2025, , , , , , , , ,14.13
CESSNOCK AIRPORT,27/03/2025, , , ,26.4, ,97,55,2.58,14.39
CESSNOCK AIRPORT,28/03/2025,2.4,0.0, ,25.0,15.8,96,61,2.48,9.92
CESSNOCK AIRPORT,29/03/2025,1.4,48.0, ,22.7,18.4,98,76,1.72,5.28
CESSNOCK AIRPORT,30/03/2025,3.6,17.6, ,26.3,19.2,84,61,3.96,14.31
CESSNOCK AIRPORT,31/03/2025, ,0.0, , ,18.9,100,57,3.56,14.04
Totals:,,92.2,124, ,,,,,, 
