'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CESSNOCK AIRPORT New South Wales for May 2025,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 June 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CESSNOCK AIRPORT,01/05/2025, ,0.4, ,19.6,12.4,89,53,3.44, 
CESSNOCK AIRPORT,02/05/2025,1.8,1.2, ,20.1,12.2,97,63,2.01,10.99
CESSNOCK AIRPORT,03/05/2025,2.0,0.0, ,22.1,10.9,98,51,1.40,12.74
CESSNOCK AIRPORT,04/05/2025,1.6,0.2, ,22.0,7.8,98,66,1.00,11.44
CESSNOCK AIRPORT,05/05/2025,2.0,0.0, ,23.5,11.3,98,61,1.40,13.57
CESSNOCK AIRPORT,06/05/2025,2.0,0.0, ,25.0,9.3,98,53,1.20,12.60
CESSNOCK AIRPORT,07/05/2025,2.5,0.2, ,25.4,9.4,98,43,1.94,13.70
CESSNOCK AIRPORT,08/05/2025,2.2,0.0, ,21.9,10.4,94,45,2.30,11.24
CESSNOCK AIRPORT,09/05/2025,1.4,0.0, ,18.6,9.0,97,66,1.19,9.36
CESSNOCK AIRPORT,10/05/2025,1.2,0.6, ,18.3,8.4,98,80,1.55,8.35
CESSNOCK AIRPORT,11/05/2025,1.1,4.8, ,18.7,11.1,98,84,1.44,8.20
CESSNOCK AIRPORT,12/05/2025,1.6,4.2, ,21.2,14.4,98,69,1.62,10.31
CESSNOCK AIRPORT,13/05/2025,1.3,0.4, ,21.4,11.8,98,72,0.82,9.16
CESSNOCK AIRPORT,14/05/2025,1.5,0.2, ,22.8,12.2,98,64,0.55,11.20
CESSNOCK AIRPORT,15/05/2025,1.0,0.6, ,19.4,13.0,98,80,1.05,4.73
CESSNOCK AIRPORT,16/05/2025,1.3,9.6, ,20.6,13.9,98,74,1.14,9.18
CESSNOCK AIRPORT,17/05/2025,1.8,0.2, ,22.4,12.6,98,50,1.23,12.53
CESSNOCK AIRPORT,18/05/2025,1.3,0.0, ,16.8,11.2,98,71,2.57,7.50
CESSNOCK AIRPORT,19/05/2025,0.9,49.2, ,15.8,11.6,96,87,3.35,4.19
CESSNOCK AIRPORT,20/05/2025,1.5,45.4, ,18.0,11.7,95,70,3.41,6.84
CESSNOCK AIRPORT,21/05/2025,0.9,22.2, ,18.0,14.5,97,90,2.61,5.14
CESSNOCK AIRPORT,22/05/2025,1.0,22.6, ,19.2,15.8,97,89,2.58,5.59
CESSNOCK AIRPORT,23/05/2025,1.6,37.0, ,21.3,16.7,98,67,2.56,9.22
CESSNOCK AIRPORT,24/05/2025,2.3,0.0, ,20.6,11.6,97,47,3.35,12.35
CESSNOCK AIRPORT,25/05/2025,1.3,0.0, ,19.0,6.0,98,48,1.03,8.33
CESSNOCK AIRPORT,26/05/2025,0.8,0.0, ,15.6,6.7,98,70,1.01,3.80
CESSNOCK AIRPORT,27/05/2025,2.4,20.6, ,18.4,11.2,98,40,4.46,9.60
CESSNOCK AIRPORT,28/05/2025, ,0.4, , ,9.5,94,51,4.06,12.08
CESSNOCK AIRPORT,29/05/2025, , , ,16.0, ,95,61,1.40,6.65
CESSNOCK AIRPORT,30/05/2025,1.4,0.0, ,20.3,7.1,98,57,1.24,11.40
CESSNOCK AIRPORT,31/05/2025,1.2,0.0, ,19.8,5.6,98,56,0.87,10.89
Totals:,,42.9,220, ,,,,,, 
