'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for COBAR AIRPORT New South Wales for October 2024,,,,,,,,,,
Issued at 22:35 GMT on Friday 01 November 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
COBAR AIRPORT,01/10/2024,5.0,0.0, ,24.2,4.8,76,26,3.45,23.28
COBAR AIRPORT,02/10/2024,5.3,0.0, ,27.1,8.1,74,25,3.48,20.55
COBAR AIRPORT,03/10/2024,6.6,0.0, ,27.7,9.5,70,24,5.55,21.76
COBAR AIRPORT,04/10/2024,6.9,0.0, ,31.7,17.4,91,25,5.83,18.87
COBAR AIRPORT,05/10/2024,4.8,5.0, ,27.4,7.3,97,24,2.25,23.21
COBAR AIRPORT,06/10/2024,5.3,0.0, ,28.3,9.9,84,23,2.61,24.23
COBAR AIRPORT,07/10/2024,5.8,0.0, ,31.6,10.2,82,18,2.43,24.00
COBAR AIRPORT,08/10/2024,6.6,0.0, ,27.1,14.3,70,21,4.78,24.09
COBAR AIRPORT,09/10/2024,5.9,0.0, ,26.2,6.9,58,20,3.59,24.68
COBAR AIRPORT,10/10/2024,5.8,0.0, ,29.2,9.3,79,21,2.89,24.48
COBAR AIRPORT,11/10/2024,7.1,0.0, ,31.0,13.7,51,20,3.86,24.72
COBAR AIRPORT,12/10/2024,6.8,0.0, ,27.7,11.5,55,13,4.01,25.12
COBAR AIRPORT,13/10/2024,6.5,0.0, ,29.1,10.8,66,21,3.80,24.36
COBAR AIRPORT,14/10/2024,7.0,0.0, ,32.1,17.2,63,16,3.87,21.08
COBAR AIRPORT,15/10/2024,6.3,0.0, ,31.1,17.1,96,30,5.16,20.26
COBAR AIRPORT,16/10/2024,4.3,24.0, ,24.8,16.5,95,58,4.24,21.22
COBAR AIRPORT,17/10/2024, ,6.4, , ,16.4,96,56,4.23,14.86
COBAR AIRPORT,18/10/2024, , , ,28.9, ,93,51,6.11,17.90
COBAR AIRPORT,19/10/2024,4.7,0.2, ,23.4,14.4,83,49,4.81,21.38
COBAR AIRPORT,20/10/2024,6.1,0.0, ,29.2,11.3,93,25,3.35,26.49
COBAR AIRPORT,21/10/2024,6.2,0.0, ,30.8,12.2,86,22,2.70,26.63
COBAR AIRPORT,22/10/2024,7.0,0.0, ,32.4,16.9,62,17,3.17,25.27
COBAR AIRPORT,23/10/2024,5.4,0.0, ,30.0,17.7,64,28,2.91,17.90
COBAR AIRPORT,24/10/2024,6.8,0.0, ,23.6,15.2,67,18,5.80,25.45
COBAR AIRPORT,25/10/2024,5.6,0.0, ,23.0,6.3,72,22,3.90,25.61
COBAR AIRPORT,26/10/2024,4.7,0.0, ,25.0,6.6,81,16,1.89,22.98
COBAR AIRPORT,27/10/2024,5.2,0.0, ,29.3,9.6,58,14,1.76,23.14
COBAR AIRPORT,28/10/2024,8.5,0.0, ,32.4,13.2,47,14,4.63,27.34
COBAR AIRPORT,29/10/2024,6.9,0.0, ,30.1,9.3,63,15,3.25,27.76
COBAR AIRPORT,30/10/2024,5.9,0.0, ,31.6,8.5,66,14,1.71,27.88
COBAR AIRPORT,31/10/2024,7.1,0.0, ,32.5,13.9,62,14,4.29,16.17
Totals:,,176.1,35.6, ,,,,,, 
