'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for COBAR AIRPORT New South Wales for January 2025,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 February 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
COBAR AIRPORT,01/01/2025,10.2,0.0, ,38.1,17.4,48,10,4.17,31.64
COBAR AIRPORT,02/01/2025,9.6,0.0, ,36.0,17.6,35,11,3.94,31.58
COBAR AIRPORT,03/01/2025,9.4,0.0, ,36.9,19.8,55,15,3.97,30.34
COBAR AIRPORT,04/01/2025,9.8,0.0, ,37.7,24.4,40,19,4.57,26.35
COBAR AIRPORT,05/01/2025,8.8,1.0, ,39.0,25.1,64,18,4.56,20.32
COBAR AIRPORT,06/01/2025,11.0,0.4, ,40.8,24.9,66,17,6.09,24.50
COBAR AIRPORT,07/01/2025,7.4,2.2, ,34.2,21.3,81,30,3.80,26.09
COBAR AIRPORT,08/01/2025,8.1,0.4, ,33.2,17.0,80,25,4.15,30.54
COBAR AIRPORT,09/01/2025,8.3,0.0, ,34.5,19.9,66,17,3.76,28.01
COBAR AIRPORT,10/01/2025,7.8,0.0, ,36.1,21.6,57,20,3.12,25.32
COBAR AIRPORT,11/01/2025,9.2,0.0, ,36.4,22.7,69,19,4.64,27.51
COBAR AIRPORT,12/01/2025,9.0,0.0, ,38.9,21.4,76,15,3.85,26.77
COBAR AIRPORT,13/01/2025,11.5,0.0, ,41.2,24.0,58,15,5.67,27.70
COBAR AIRPORT,14/01/2025,10.9,0.0, ,42.6,24.6,57,14,4.45,29.41
COBAR AIRPORT,15/01/2025,11.9,0.0, ,38.8,29.4,45,13,7.09,21.41
COBAR AIRPORT,16/01/2025,10.5,0.0, ,29.4,17.1,41,13,7.82,30.69
COBAR AIRPORT,17/01/2025,10.2,0.0, ,32.5,17.1,46,14,6.21,30.61
COBAR AIRPORT,18/01/2025,10.1,0.0, ,34.8,18.7,53,23,6.02,30.39
COBAR AIRPORT,19/01/2025,9.4,0.0, ,35.9,21.5,60,19,4.45,30.47
COBAR AIRPORT,20/01/2025,9.3,0.0, ,37.3,20.1,52,13,3.70,30.35
COBAR AIRPORT,21/01/2025,8.7,0.0, ,39.3,23.3,28,13,3.95,16.79
COBAR AIRPORT,22/01/2025,11.9, , ,41.2,22.4,33,14,5.61,27.97
COBAR AIRPORT,23/01/2025,9.3,0.0, ,36.7,20.3,41,14,4.37,25.57
COBAR AIRPORT,24/01/2025,9.3,0.0, ,31.6,14.5,42,20,5.65,29.95
COBAR AIRPORT,25/01/2025,8.4,0.0, ,37.5,13.5,46,16,2.94,29.82
COBAR AIRPORT,26/01/2025,8.5,0.0, ,39.9,21.2,36,13,2.58,29.64
COBAR AIRPORT,27/01/2025,11.0,0.0, ,43.6,24.4,51,14,4.70,26.60
COBAR AIRPORT,28/01/2025,11.0,0.0, ,41.4,26.2,58,20,5.15,29.50
COBAR AIRPORT,29/01/2025,11.1,0.0, ,37.4,24.8,27,12,5.36,29.08
COBAR AIRPORT,30/01/2025,9.8,0.0, ,36.2,13.8,31,9,4.41,29.25
COBAR AIRPORT,31/01/2025,9.0,0.0, ,39.6,14.9,44,13,3.23,29.16
Totals:,,300.4,4, ,,,,,, 
