'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for COBAR AIRPORT New South Wales for February 2025,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 March 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
COBAR AIRPORT,01/02/2025,10.4,0.0, ,39.6,24.4,65,25,5.89,27.50
COBAR AIRPORT,02/02/2025,10.1,0.0, ,38.8,25.3,58,19,5.04,27.34
COBAR AIRPORT,03/02/2025,9.8,0.0, ,37.5,24.6,44,18,4.50,28.35
COBAR AIRPORT,04/02/2025,8.7,0.0, ,37.5,26.8,77,28,5.35,23.41
COBAR AIRPORT,05/02/2025,8.3,0.0, ,36.7,21.5,91,27,4.24,28.64
COBAR AIRPORT,06/02/2025,7.9,10.4, ,36.5,20.7,92,30,3.85,28.64
COBAR AIRPORT,07/02/2025,9.1,0.2, ,39.4,24.4,69,20,4.07,27.09
COBAR AIRPORT,08/02/2025,5.3,0.6, ,33.7,24.0,76,34,3.38,13.27
COBAR AIRPORT,09/02/2025,7.3,0.0, ,37.2,21.5,74,26,3.66,21.14
COBAR AIRPORT,10/02/2025,6.8,1.6, ,34.4,22.7,92,39,4.69,22.65
COBAR AIRPORT,11/02/2025,6.9,10.6, ,34.8,19.8,95,33,3.22,26.82
COBAR AIRPORT,12/02/2025,7.9,0.0, ,35.8,21.1,75,28,3.77,27.48
COBAR AIRPORT,13/02/2025,8.5,0.0, ,37.6,24.4,67,27,4.42,25.17
COBAR AIRPORT,14/02/2025,6.4,5.0, ,31.7,24.4,94,35,4.46,22.95
COBAR AIRPORT,15/02/2025,7.3,0.0, ,27.8,14.5,89,18,5.94,26.20
COBAR AIRPORT,16/02/2025,7.6,0.0, ,24.9,13.8,44,18,5.68,27.27
COBAR AIRPORT,17/02/2025,6.4,0.0, ,29.0,9.1,64,15,2.91,27.08
COBAR AIRPORT,18/02/2025,6.9,0.0, ,32.9,11.9,64,13,2.71,26.89
COBAR AIRPORT,19/02/2025,7.3,0.0, ,31.8,12.5,53,15,3.47,26.73
COBAR AIRPORT,20/02/2025,7.6,0.0, ,32.9,11.0,47,15,3.50,26.58
COBAR AIRPORT,21/02/2025,8.7,0.0, ,36.2,19.2,65,23,5.26,23.80
COBAR AIRPORT,22/02/2025,9.5,0.0, ,36.4,23.7,51,20,5.41,25.44
COBAR AIRPORT,23/02/2025,7.8,0.0, ,36.3,25.4,42,22,4.18,17.50
COBAR AIRPORT,24/02/2025,9.4,0.0, ,39.8,21.7,45,18,4.42,24.84
COBAR AIRPORT,25/02/2025, ,0.0, ,41.4,21.4,41,15,2.71, 
COBAR AIRPORT,26/02/2025,10.2,0.0, ,41.7,26.9,55,15,5.16,22.08
COBAR AIRPORT,27/02/2025,7.9,0.0, ,41.2,22.7,55,11,2.69,25.36
COBAR AIRPORT,28/02/2025,8.3,0.0, ,39.5,21.9,35,16,3.39,23.50
Totals:,,218.3,28.4, ,,,,,, 
