'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for COBAR AIRPORT New South Wales for August 2025,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 September 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
COBAR AIRPORT,01/08/2025,1.8,0.0, ,14.7,5.0,93,53,3.01,11.50
COBAR AIRPORT,02/08/2025,2.5,0.6, ,16.7,5.4,88,53,5.64,12.98
COBAR AIRPORT,03/08/2025,2.9,0.0, ,19.8,6.8,93,40,4.31,14.62
COBAR AIRPORT,04/08/2025,2.7,0.0, ,21.6,3.9,95,46,3.18,14.71
COBAR AIRPORT,05/08/2025,2.6,0.0, ,20.0,7.2,96,29,2.40,14.83
COBAR AIRPORT,06/08/2025,2.2,0.0, ,17.6,0.7,95,33,2.05,14.76
COBAR AIRPORT,07/08/2025,2.3,0.0, ,18.2,1.1,93,38,2.56,13.54
COBAR AIRPORT,08/08/2025,1.7,0.0, ,19.2,5.8,95,68,3.26,7.83
COBAR AIRPORT,09/08/2025,2.5,5.2, ,18.3,9.0,93,52,4.21,14.75
COBAR AIRPORT,10/08/2025,2.7,0.0, ,19.2,7.1,86,47,3.72,14.91
COBAR AIRPORT,11/08/2025,2.9,0.0, ,20.2,7.5,91,36,3.28,15.21
COBAR AIRPORT,12/08/2025,2.4,0.0, ,19.6,6.3,87,39,2.21,12.83
COBAR AIRPORT,13/08/2025,2.3,0.0, ,19.2,6.0,96,51,2.97,13.48
COBAR AIRPORT,14/08/2025,2.4,0.0, ,19.4,3.1,97,40,2.26,15.48
COBAR AIRPORT,15/08/2025,2.8,0.0, ,19.8,2.4,92,32,2.73,15.37
COBAR AIRPORT,16/08/2025,2.9,0.0, ,16.4,6.3,84,34,3.98,14.16
COBAR AIRPORT,17/08/2025,2.6,0.0, ,16.7,-1.4,90,31,2.70,16.18
COBAR AIRPORT,18/08/2025,2.7,0.0, ,19.7,5.7,96,43,3.64,11.22
COBAR AIRPORT,19/08/2025,3.0,0.2, ,18.3,-0.2,90,34,3.52,15.98
COBAR AIRPORT,20/08/2025,1.4,0.0, ,15.0,4.8,96,71,3.27,7.69
COBAR AIRPORT,21/08/2025,1.6,15.0, ,15.5,6.3,98,58,1.43,11.32
COBAR AIRPORT,22/08/2025,2.1,0.2, ,19.2,3.6,96,42,0.97,16.90
COBAR AIRPORT,23/08/2025,2.8,0.0, ,21.8,5.9,96,32,1.78,17.00
COBAR AIRPORT,24/08/2025,2.8,0.0, ,20.3,2.7,96,33,2.17,17.25
COBAR AIRPORT,25/08/2025,3.0,0.0, ,22.6,1.6,94,22,1.74,17.35
COBAR AIRPORT,26/08/2025,6.1,0.0, ,26.5,9.3,71,15,5.76,17.03
COBAR AIRPORT,27/08/2025,4.5,0.0, ,19.8,14.2,75,22,6.00,12.82
COBAR AIRPORT,28/08/2025,3.4,0.0, ,18.7,4.6,89,30,3.76,17.61
COBAR AIRPORT,29/08/2025,4.7,0.0, ,20.4,3.9,81,26,7.00,15.63
COBAR AIRPORT,30/08/2025,3.9,0.2, ,15.5,5.9,76,31,7.05,17.66
COBAR AIRPORT,31/08/2025,2.8,0.0, ,18.1,-1.1,89,37,2.53,18.17
Totals:,,87,21.4, ,,,,,, 
