'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for COBAR MO New South Wales for September 2024,,,,,,,,,,
Issued at 22:35 GMT on Tuesday 01 October 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
COBAR MO,01/09/2024,4.5,0.0, ,25.2,8.2,61,14,2.92,18.47
COBAR MO,02/09/2024,5.3,0.0, ,20.7,10.7,42,19,5.21,18.57
COBAR MO,03/09/2024,3.5,0.0, ,19.6,3.7,72,25,2.82,18.74
COBAR MO,04/09/2024,5.6,0.0, ,25.8,4.3,82,10,4.33,18.87
COBAR MO,05/09/2024,6.9,0.0, ,29.4,11.5,52,17,5.39,18.95
COBAR MO,06/09/2024,7.4,0.0, ,30.8,13.2,55,15,5.59,19.09
COBAR MO,07/09/2024,4.7,0.0, ,26.2,14.7,55,34,3.18,18.87
COBAR MO,08/09/2024,2.8,0.8, ,20.6,12.3,87,36,2.22,11.98
COBAR MO,09/09/2024,4.0,0.0, ,22.8,10.1,79,28,2.78,19.52
COBAR MO,10/09/2024,4.4,0.0, ,24.8,7.7,82,21,2.98,19.71
COBAR MO,11/09/2024,4.9,0.0, ,27.5,8.9,78,18,3.12,18.25
COBAR MO,12/09/2024,3.6,0.0, ,17.3,11.6,76,32,4.96,11.75
COBAR MO,13/09/2024,4.2,0.0, ,22.0,8.1,77,26,3.12,20.18
COBAR MO,14/09/2024,4.6,0.0, ,22.4,5.5,74,20,3.65,20.21
COBAR MO,15/09/2024,4.3,0.0, ,16.6,4.2,64,19,4.77,20.55
COBAR MO,16/09/2024,4.5,0.0, ,20.5,1.1,68,12,3.40,20.71
COBAR MO,17/09/2024,4.3,0.0, ,21.7,4.8,65,24,2.99,20.88
COBAR MO,18/09/2024,5.5,0.0, ,26.0,7.6,64,10,3.39,21.01
COBAR MO,19/09/2024,7.3,0.0, ,27.4,9.0,36,6,5.09,21.12
COBAR MO,20/09/2024,4.6,0.0, ,22.3,6.8,62,17,2.99,21.33
COBAR MO,21/09/2024,5.0,0.0, ,22.7,7.0,57,17,3.45,21.51
COBAR MO,22/09/2024,4.4,0.0, ,25.0,7.0,55,17,2.08,21.66
COBAR MO,23/09/2024,5.2,0.0, ,28.6,10.0,54,10,2.39,21.73
COBAR MO,24/09/2024,7.4,0.0, ,30.7,14.7,37,8,4.75,15.21
COBAR MO,25/09/2024,2.4,0.0, ,23.1,16.9,100,38,2.47,6.28
COBAR MO,26/09/2024,3.7,5.4, ,18.6,11.5,100,33,4.99,15.96
COBAR MO,27/09/2024,4.9,0.2, ,22.2,8.0,83,29,4.61,22.04
COBAR MO,28/09/2024,5.0,0.0, ,24.0,6.8,87,24,3.79,22.36
COBAR MO,29/09/2024,4.7,0.0, ,25.0,10.3,74,24,3.26,17.23
COBAR MO,30/09/2024,5.0,0.0, ,23.0,11.1,94,20,3.84,22.89
Totals:,,144.6,6.4, ,,,,,, 
