'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for COFFS HARBOUR AIRPORT New South Wales for September 2024,,,,,,,,,,
Issued at 22:35 GMT on Tuesday 01 October 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
COFFS HARBOUR AIRPORT,01/09/2024,4.2,0.0, ,29.2,10.9,95,37,2.69,18.95
COFFS HARBOUR AIRPORT,02/09/2024,6.2,0.0, ,32.5,16.2,84,17,4.07,19.12
COFFS HARBOUR AIRPORT,03/09/2024,4.8,0.0, ,19.6,9.1,68,25,5.94,19.19
COFFS HARBOUR AIRPORT,04/09/2024,3.3,0.0, ,20.9,7.0,90,49,3.78,17.64
COFFS HARBOUR AIRPORT,05/09/2024,4.6,0.0, ,25.1,13.6,85,42,5.03,19.44
COFFS HARBOUR AIRPORT,06/09/2024,4.3,0.0, ,25.5,8.8,92,45,4.53,19.59
COFFS HARBOUR AIRPORT,07/09/2024,4.6,0.0, ,28.1,8.3,94,32,3.14,19.75
COFFS HARBOUR AIRPORT,08/09/2024,3.3,0.0, ,25.1,11.4,95,56,2.00,19.25
COFFS HARBOUR AIRPORT,09/09/2024,3.6,0.0, ,23.3,17.1,92,39,3.08,16.32
COFFS HARBOUR AIRPORT,10/09/2024,3.5,0.0, ,22.9,9.9,94,41,2.34,20.00
COFFS HARBOUR AIRPORT,11/09/2024,3.8,0.0, ,24.2,11.6,94,54,4.35,19.27
COFFS HARBOUR AIRPORT,12/09/2024,1.5,1.8, ,16.7,16.7,93,73,3.63,4.62
COFFS HARBOUR AIRPORT,13/09/2024,3.7,26.4, ,21.0,12.4,93,54,8.05,16.37
COFFS HARBOUR AIRPORT,14/09/2024,3.4,0.0, ,21.2,11.1,89,50,3.43,18.36
COFFS HARBOUR AIRPORT,15/09/2024,3.9,0.0, ,19.4,8.8,93,41,7.37,14.80
COFFS HARBOUR AIRPORT,16/09/2024,3.8,0.0, ,20.4,11.4,90,47,4.37,21.27
COFFS HARBOUR AIRPORT,17/09/2024,3.8,0.0, ,20.7,9.7,85,48,4.35,20.55
COFFS HARBOUR AIRPORT,18/09/2024,4.9,0.0, ,26.1,10.4,89,37,4.34,21.57
COFFS HARBOUR AIRPORT,19/09/2024,4.0,0.0, ,24.7,7.8,93,40,2.77,21.03
COFFS HARBOUR AIRPORT,20/09/2024,4.5,0.0, ,26.1,6.4,93,20,2.34,21.92
COFFS HARBOUR AIRPORT,21/09/2024,3.9,0.0, ,23.4,6.2,94,36,2.51,22.06
COFFS HARBOUR AIRPORT,22/09/2024,4.3,0.0, ,23.6,6.5,94,31,2.96,22.25
COFFS HARBOUR AIRPORT,23/09/2024,4.5,0.0, ,25.1,7.2,95,33,2.97,22.46
COFFS HARBOUR AIRPORT,24/09/2024,4.1,0.0, ,25.5,8.6,95,46,3.35,20.49
COFFS HARBOUR AIRPORT,25/09/2024,5.3,0.0, ,28.3,14.9,85,46,5.00,20.94
COFFS HARBOUR AIRPORT,26/09/2024,2.5,0.2, ,21.1,18.3,93,61,5.54,5.96
COFFS HARBOUR AIRPORT,27/09/2024,1.5,52.8, ,16.5,13.9,95,84,10.71,6.47
COFFS HARBOUR AIRPORT,28/09/2024,1.9,101.6, ,22.3,12.9,96,83,9.93,7.53
COFFS HARBOUR AIRPORT,29/09/2024,3.2,25.4, ,23.2,13.9,94,75,4.09,19.59
COFFS HARBOUR AIRPORT,30/09/2024,3.1,1.2, ,23.0,14.0,96,69,4.04,16.20
Totals:,,114,209.4, ,,,,,, 
