'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for COFFS HARBOUR AIRPORT New South Wales for April 2025,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 May 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
COFFS HARBOUR AIRPORT,01/04/2025,6.1,0.0, ,25.7,19.8,26,19,4.36,12.20
COFFS HARBOUR AIRPORT,02/04/2025,4.3,2.2, ,18.5,17.6,31,26,3.94,5.29
COFFS HARBOUR AIRPORT,03/04/2025,4.9,16.6, ,20.5,17.3,31,26,4.47,7.54
COFFS HARBOUR AIRPORT,04/04/2025,4.4,2.0, ,26.3,15.6,35,18,2.02,19.80
COFFS HARBOUR AIRPORT,05/04/2025,5.4,0.2, ,28.1,15.0,35,16,3.04,19.26
COFFS HARBOUR AIRPORT,06/04/2025,5.9,0.0, ,25.9,14.9,35,19,4.17,19.41
COFFS HARBOUR AIRPORT,07/04/2025,4.4,0.0, ,26.7,11.8,43,18,2.20,19.38
COFFS HARBOUR AIRPORT,08/04/2025,5.0,0.0, ,25.3,12.6,41,20,3.54,15.19
COFFS HARBOUR AIRPORT,09/04/2025,5.0,8.4, ,24.7,16.8,34,21,3.16,18.05
COFFS HARBOUR AIRPORT,10/04/2025,4.1,0.0, ,25.2,13.8,38,20,2.17,18.22
COFFS HARBOUR AIRPORT,11/04/2025,4.6,0.2, ,25.8,17.4,31,19,2.60,16.21
COFFS HARBOUR AIRPORT,12/04/2025,4.6,0.0, ,22.5,18.0,29,22,3.44,8.64
COFFS HARBOUR AIRPORT,13/04/2025,5.4,54.8, ,26.3,18.1,29,19,3.63,15.18
COFFS HARBOUR AIRPORT,14/04/2025,5.4,13.6, ,25.2,17.1,31,20,3.73,16.21
COFFS HARBOUR AIRPORT,15/04/2025,7.2,0.0, ,26.0,18.2,29,19,6.42,12.82
COFFS HARBOUR AIRPORT,16/04/2025,7.7,0.0, ,25.2,17.8,30,20,7.53,17.75
COFFS HARBOUR AIRPORT,17/04/2025,7.7,0.2, ,26.3,18.3,29,19,7.15,15.20
COFFS HARBOUR AIRPORT,18/04/2025,5.3,0.0, ,25.8,16.5,35,19,3.61,17.63
COFFS HARBOUR AIRPORT,19/04/2025,3.6,0.2, ,26.2,12.8,40,18,1.72,16.95
COFFS HARBOUR AIRPORT,20/04/2025,5.8,0.0, ,28.5,15.7,33,16,3.84,17.27
COFFS HARBOUR AIRPORT,21/04/2025,4.3,0.0, ,26.4,18.0,33,18,2.81,8.15
COFFS HARBOUR AIRPORT,22/04/2025,5.6,4.6, ,24.8,14.3,37,20,4.58,16.97
COFFS HARBOUR AIRPORT,23/04/2025,6.8,8.6, ,25.4,16.2,33,20,6.55,11.90
COFFS HARBOUR AIRPORT,24/04/2025,5.6,8.6, ,25.2,18.4,30,19,4.28,14.68
COFFS HARBOUR AIRPORT,25/04/2025,4.7,12.2, ,24.6,17.0,31,20,3.42,11.99
COFFS HARBOUR AIRPORT,26/04/2025,4.7,11.2, ,22.4,17.2,31,23,4.03,8.57
COFFS HARBOUR AIRPORT,27/04/2025,4.2,33.0, ,24.4,16.6,32,21,2.88,13.04
COFFS HARBOUR AIRPORT,28/04/2025,7.2,0.2, ,26.2,17.7,29,18,6.63,14.96
COFFS HARBOUR AIRPORT,29/04/2025,6.1,0.0, ,24.6,17.0,31,20,5.30,16.11
COFFS HARBOUR AIRPORT,30/04/2025,5.6,0.0, ,23.9,14.0,37,21,5.35,13.35
Totals:,,161.6,176.8, ,,,,,, 
