'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for COFFS HARBOUR AIRPORT New South Wales for May 2025,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 June 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
COFFS HARBOUR AIRPORT,01/05/2025,6.5,0.0, ,22.7,16.0,36,23,7.45,15.14
COFFS HARBOUR AIRPORT,02/05/2025,5.1,5.2, ,20.3,14.2,37,27,5.87,12.39
COFFS HARBOUR AIRPORT,03/05/2025,4.7,15.0, ,19.4,14.9,36,27,5.18,8.53
COFFS HARBOUR AIRPORT,04/05/2025,4.6,9.4, ,21.9,15.2,35,24,4.27,9.80
COFFS HARBOUR AIRPORT,05/05/2025,3.4,23.4, ,20.9,16.5,35,25,2.60,9.59
COFFS HARBOUR AIRPORT,06/05/2025,3.2,6.2, ,23.8,15.0,35,21,2.00,11.97
COFFS HARBOUR AIRPORT,07/05/2025,3.3,0.2, ,24.2,12.1,43,20,2.13,15.10
COFFS HARBOUR AIRPORT,08/05/2025,5.0,0.2, ,24.8,11.2,45,20,4.55,14.99
COFFS HARBOUR AIRPORT,09/05/2025,5.1,8.6, ,20.2,15.4,35,27,6.00,7.99
COFFS HARBOUR AIRPORT,10/05/2025,4.9,25.4, ,21.3,14.6,37,25,5.17,10.54
COFFS HARBOUR AIRPORT,11/05/2025,4.2,10.8, ,22.8,15.6,34,23,3.38,12.71
COFFS HARBOUR AIRPORT,12/05/2025,4.3,5.8, ,22.7,15.6,34,23,3.56,12.16
COFFS HARBOUR AIRPORT,13/05/2025,3.5,16.4, ,19.7,17.0,34,27,3.02,8.41
COFFS HARBOUR AIRPORT,14/05/2025,2.6,21.0, ,21.7,14.3,37,24,1.60,10.73
COFFS HARBOUR AIRPORT,15/05/2025,4.0,5.8, ,19.9,16.5,32,27,3.80,7.84
COFFS HARBOUR AIRPORT,16/05/2025,4.1,10.0, ,23.2,16.8,32,21,3.28,10.74
COFFS HARBOUR AIRPORT,17/05/2025,3.6,9.0, ,22.6,16.9,32,23,2.66,10.71
COFFS HARBOUR AIRPORT,18/05/2025,5.2,3.0, ,22.5,15.0,35,23,5.39,13.15
COFFS HARBOUR AIRPORT,19/05/2025,4.6,0.8, ,20.0,14.0,38,27,5.42,8.53
COFFS HARBOUR AIRPORT,20/05/2025,5.1,10.8, ,21.1,15.0,35,24,5.74,6.09
COFFS HARBOUR AIRPORT,21/05/2025,5.5,117.8, ,20.9,15.8,33,25,6.41,3.66
COFFS HARBOUR AIRPORT,22/05/2025,5.5,156.0, ,21.6,16.9,30,24,5.85,4.63
COFFS HARBOUR AIRPORT,23/05/2025,4.8,39.0, ,25.7,17.8,35,19,3.94,13.21
COFFS HARBOUR AIRPORT,24/05/2025,2.6,0.2, ,22.1,12.6,41,24,1.77,13.49
COFFS HARBOUR AIRPORT,25/05/2025,2.6,0.0, ,22.3,9.1,51,23,1.95,7.14
COFFS HARBOUR AIRPORT,26/05/2025,3.5,0.2, ,23.4,11.7,44,22,2.86,11.69
COFFS HARBOUR AIRPORT,27/05/2025,5.9,0.0, ,27.5,17.8,32,17,4.96,11.77
COFFS HARBOUR AIRPORT,28/05/2025,3.4,0.0, ,21.5,11.9,50,25,3.27,13.22
COFFS HARBOUR AIRPORT,29/05/2025,3.5,0.0, ,21.1,9.5,50,26,3.53,10.77
COFFS HARBOUR AIRPORT,30/05/2025,4.2,0.0, ,20.7,13.1,36,26,4.52,8.81
COFFS HARBOUR AIRPORT,31/05/2025,4.1,25.0, ,18.9,15.1,36,28,4.53,8.35
Totals:,,132.6,525.2, ,,,,,, 
